date, pm25, o3, no2, so2, co
2019/9/3, 40, 36, , , 
2019/9/4, 31, 39, , , 
2019/9/5, 36, 44, , , 
2019/9/6, 23, 59, , , 
2019/9/7, 30, 43, , , 
2019/9/8, 33, 29, , , 
2019/9/9, 33, 29, , , 
2019/9/10, 29, 30, , , 
2019/9/11, 27, 24, , , 
2019/9/12, 24, 29, , , 
2019/9/13, 22, 44, , , 
2019/9/14, 32, 42, , , 
2019/9/15, 48, 42, , , 
2019/9/16, 39, 38, , , 
2019/9/17, 34, 30, , , 
2019/9/18, 13, 34, , , 
2019/9/19, 11, 32, , , 
2019/9/20, 30, 25, , , 
2019/9/21, 25, 32, , , 
2019/9/22, 25, 29, , , 
2019/9/23, 18, 25, , , 
2019/9/24, 21, 28, , , 
2019/9/25, 16, 33, , , 
2019/9/26, 17, 35, , , 
2019/9/27, 18, 31, , , 
2019/9/28, 20, 25, , , 
2019/9/29, 21, 26, , , 
2019/9/30, 23, 19, , , 
2019/10/1, 25, 30, , , 
2019/4/2, 21, 40, , , 
2019/4/3, 25, 35, , , 
2019/4/4, 26, 35, , , 
2019/4/5, 28, 34, , , 
2019/4/6, 53, 21, , , 
2019/4/7, 43, 36, , , 
2019/4/8, 22, 41, , , 
2019/4/9, 18, 55, , , 
2019/4/10, 29, 47, , , 
2019/4/11, 27, 39, , , 
2019/4/12, 31, 37, , , 
2019/4/13, 29, 30, , , 
2019/4/14, 24, 35, , , 
2019/4/15, 19, 45, , , 
2019/4/16, 21, 37, , , 
2019/4/17, 16, 28, , , 
2019/4/18, 39, 38, , , 
2019/4/19, 18, 41, , , 
2019/4/20, 10, 50, , , 
2019/4/21, 19, 39, , , 
2019/4/22, 19, 35, , , 
2019/4/23, 23, 32, , , 
2019/4/24, 41, 34, , , 
2019/4/25, 13, 39, , , 
2019/4/26, 16, 46, , , 
2019/4/27, 21, 50, , , 
2019/4/28, 30, 36, , , 
2019/4/29, 22, 30, , , 
2019/4/30, 44, 22, , , 
2019/5/1, 51, 21, , , 
2019/5/2, 48, 35, , , 
2019/5/3, 24, 31, , , 
2019/5/4, 16, 35, , , 
2019/5/5, 14, 42, , , 
2019/5/6, 27, 27, , , 
2019/5/7, 29, 31, , , 
2019/5/8, 27, 35, , , 
2019/5/9, 19, 26, , , 
2019/5/10, 43, 26, , , 
2019/5/11, 12, 16, , , 
2019/5/12, 12, 31, , , 
2019/5/13, 11, 39, , , 
2019/5/14, 19, 42, , , 
2019/5/15, 31, 44, , , 
2019/5/16, 28, 36, , , 
2019/5/17, 33, 28, , , 
2019/5/18, 37, 19, , , 
2019/5/19, 55, 36, , , 
2019/5/20, 69, 22, , , 
2019/5/21, 49, 40, , , 
2019/5/22, 37, 25, , , 
2019/5/23, 65, 22, , , 
2019/5/24, 48, 25, , , 
2019/5/25, 37, 25, , , 
2019/5/26, 31, 30, , , 
2019/5/27, 29, 31, , , 
2019/5/28, 32, 24, , , 
2019/5/29, 36, 24, , , 
2019/5/30, 38, 31, , , 
2019/5/31, 26, 19, , , 
2019/6/1, 32, , , , 
2019/6/2, 25, , , , 
2019/6/3, 20, , , , 
2019/6/4, 15, 12, , , 
2019/6/5, 18, 25, , , 
2019/6/6, 10, 38, , , 
2019/6/7, 16, 39, , , 
2019/6/8, 18, 46, , , 
2019/6/9, 26, 43, , , 
2019/6/10, 37, 41, , , 
2019/6/11, 24, 37, , , 
2019/6/12, 28, 50, , , 
2019/6/13, 31, 46, , , 
2019/6/14, 21, 50, , , 
2019/6/15, 33, 27, , , 
2019/6/16, 23, 25, , , 
2019/6/17, 30, 45, , , 
2019/6/18, 16, 43, , , 
2019/6/19, 27, 30, , , 
2019/6/20, 37, 27, , , 
2019/6/21, 52, 19, , , 
2019/6/22, 49, 23, , , 
2019/6/23, 47, 19, , , 
2019/6/24, 39, 32, , , 
2019/6/25, 24, 32, , , 
2019/6/26, 26, 20, , , 
2019/6/27, 46, 26, , , 
2019/6/28, 54, 30, , , 
2019/6/29, 53, 27, , , 
2019/6/30, 58, 29, , , 
2019/7/1, 29, 31, , , 
2019/1/2, 35, 8, , , 
2019/1/3, 14, 17, , , 
2019/1/4, 20, 25, , , 
2019/1/5, 21, 28, , , 
2019/1/6, 29, 28, , , 
2019/1/7, 26, 25, , , 
2019/1/8, 23, 27, , , 
2019/1/9, 20, 27, , , 
2019/1/10, 10, 26, , , 
2019/1/11, 15, 22, , , 
2019/1/12, 21, 21, , , 
2019/1/13, 14, 22, , , 
2019/1/14, 20, 16, , , 
2019/1/15, 27, 15, , , 
2019/1/16, 29, 10, , , 
2019/1/17, 28, 23, , , 
2019/1/18, 14, 12, , , 
2019/1/19, 24, 22, , , 
