date, pm25, o3, no2, co
2022/1/7, 11, , 6, 
2022/1/8, 16, , 5, 
2022/1/9, 38, , 4, 
2022/1/10, 37, , 7, 
2022/1/11, 23, , 6, 
2022/1/12, 29, , 7, 
2022/1/13, 25, , 12, 
2022/1/14, 27, , 6, 
2022/1/15, 56, , 4, 
2022/1/16, 39, , 8, 
2022/1/17, 35, , 5, 
2022/1/18, 25, , 9, 
2022/1/19, 32, , 2, 
2022/1/20, 21, , 5, 
2022/1/21, 18, , 11, 
2022/1/22, 46, , 4, 
2022/1/23, 22, , 3, 
2022/1/24, 24, , 4, 
2022/1/25, 24, , 5, 
2022/1/26, 18, , 13, 
2022/1/27, 26, , 3, 
2022/1/28, 17, , 7, 
2022/1/29, 16, , 9, 
2022/1/30, 25, , 4, 
2022/1/31, 36, , 7, 
2022/2/1, 53, , 5, 
2022/2/2, 41, , 2, 
2022/2/3, 15, , 4, 
2022/2/4, 21, , 10, 
2022/2/5, 35, , 5, 
2022/2/6, 30, , 3, 
2022/2/7, 32, , 7, 
2022/2/8, 44, , 10, 
2022/2/9, 29, , 4, 
2022/2/10, 18, , 2, 
2022/2/11, 16, , 2, 
2022/2/12, 13, , 2, 
2022/2/13, 16, , 3, 
2022/2/14, 16, , 5, 
2022/2/15, 22, , 8, 
2022/2/16, 51, , 5, 
2022/2/17, 56, , 2, 
2022/2/18, 35, , 5, 
2022/2/19, 16, , 2, 
2022/2/20, 15, , 5, 
2022/2/21, 27, , 8, 
2022/2/22, 46, , 2, 
2022/2/23, 47, , 2, 
2022/2/24, 24, , 5, 
2022/2/25, 39, , 7, 
2022/2/26, 49, , 6, 
2022/2/27, 45, , 6, 
2022/2/28, 33, 31, 7, 
2022/3/1, 28, 29, 10, 
2022/3/2, 28, 29, 10, 
2022/3/3, 49, 32, 3, 
2022/3/4, 39, 25, 5, 
2022/3/5, 44, 25, 9, 
2022/3/6, 70, 30, 2, 
2022/3/7, 48, 33, 3, 
2022/3/8, 26, 36, 5, 
2022/3/9, 29, 29, 2, 
2022/3/10, 24, 27, 3, 
2022/3/11, 15, 32, 3, 
2022/3/12, 19, 31, 2, 
2022/3/13, 15, 34, 4, 
2022/3/14, 21, 41, 7, 
2022/3/15, 34, 30, 6, 
2022/3/16, 47, 42, 8, 
2022/3/17, 63, 30, 6, 
2022/3/18, 59, 29, 3, 
2022/3/19, 24, 34, 3, 
2022/3/20, 26, 39, 5, 
2022/3/21, 32, 41, 3, 
2022/3/22, 45, 32, 5, 
2022/3/23, 37, 28, 2, 
2022/3/24, 16, 26, 2, 
2022/3/25, 13, 23, 2, 
2022/3/26, 17, , 1, 
2022/3/27, 13, , 2, 
2022/3/28, 15, 31, 5, 
2022/3/29, 28, 29, 3, 
2022/3/30, 38, 24, 3, 
2022/3/31, 42, 27, 2, 
2022/4/1, 26, 31, 8, 
2021/10/2, 34, 21, 2, 
2021/10/3, 30, 26, 2, 
2021/10/4, 36, 29, 4, 
2021/10/5, 38, 24, 5, 
2021/10/6, 28, 25, 1, 
2021/10/7, 39, 29, 2, 
2021/10/8, 58, 35, 3, 
2021/10/9, 42, 33, 1, 
2021/10/10, 41, 31, 1, 
2021/10/11, 38, 18, 2, 
2021/10/12, 43, 29, 2, 
2021/10/13, 44, 31, 1, 
2021/10/14, 29, 23, 1, 
2021/10/15, 18, 24, 1, 
2021/10/16, 16, 27, 1, 
2021/10/17, 19, 28, 3, 
2021/10/18, 25, 35, 3, 
2021/10/19, 25, 36, 1, 
2021/10/20, 29, 29, 1, 
2021/10/21, 37, 11, , 
2021/10/22, 21, 14, 3, 
2021/10/23, 23, 24, 2, 
2021/10/24, 30, 21, 1, 
2021/10/25, 27, 19, 1, 
2021/10/26, 21, 24, 2, 
2021/10/27, 21, 21, 1, 
2021/10/28, 16, 17, 1, 
2021/10/29, 24, 18, 1, 
2021/10/30, 22, 22, 5, 
2021/10/31, 28, 23, 2, 
2021/11/1, 26, 17, 7, 
2021/11/2, 19, , 8, 
2021/11/3, 28, , 13, 
2021/11/4, 38, , 6, 
2021/11/5, 29, , 4, 
2021/11/6, 31, , 4, 
2021/11/7, 33, , 3, 
2021/11/8, 37, , 6, 
2021/11/9, 44, , 6, 
2021/11/10, 42, , 8, 
2021/11/11, 79, , 2, 
2021/11/12, 52, , 1, 
2021/11/13, 8, , 1, 
2021/11/14, 12, , 3, 
2021/11/15, 16, , 5, 
2021/11/16, 17, , 6, 
2021/11/17, 37, , 3, 
2021/11/18, 25, , 4, 
2021/11/19, 24, , 9, 
2021/11/20, 29, , 5, 
2021/11/21, 33, , 4, 
2021/11/22, 36, , 7, 
2021/11/23, 22, , 6, 
2021/11/24, 28, , 4, 
2021/11/25, 32, , 2, 
2021/11/26, 21, , 9, 
2021/11/27, 23, , 7, 
2021/11/28, 25, , 7, 
2021/11/29, 21, , 6, 
2021/11/30, 21, , 9, 
2021/12/1, 25, , 5, 
2021/12/2, 26, , 9, 
2021/12/3, 24, , 7, 
2021/12/4, 31, , 5, 
2021/12/5, 36, 1, 3, 
2021/12/6, 36, 1, 2, 
2021/12/7, 22, , 7, 
2021/12/8, 20, , 7, 
2021/12/9, 35, , 5, 
2021/12/10, 37, , 5, 
2021/12/11, 46, , 3, 
2021/12/12, 34, , 2, 
2021/12/13, 14, , 7, 
2021/12/14, 24, , 7, 
2021/12/15, 40, 2, 3, 
2021/12/16, 55, 2, 2, 
2021/12/17, 53, , 5, 
2021/12/18, 26, , 3, 
2021/12/19, 30, , 2, 
2021/12/20, 33, , 4, 
2021/12/21, 37, , 5, 
2021/12/22, 21, , 9, 
2021/12/23, 24, , 9, 
2021/12/24, 38, , 6, 
2021/12/25, 50, , 5, 
2021/12/26, 40, , 8, 
2021/12/27, 41, , 4, 
2021/12/28, 44, , 8, 
2021/12/29, 22, , 5, 
2021/12/30, 16, , 8, 
2021/12/31, 36, , 6, 
2022/1/1, 53, , 3, 
2022/1/2, 46, , 6, 
2022/1/3, 21, , 10, 
2021/7/2, 46, 41, 2, 
2021/7/3, 59, 39, 3, 
2021/7/4, 65, 38, 1, 
2021/7/5, 61, 37, 1, 
2021/7/6, 57, 39, 2, 
2021/7/7, 45, 33, 3, 
2021/7/8, 40, 27, 2, 
2021/7/9, 26, 29, 3, 
2021/7/10, 25, 34, 2, 
2021/7/11, 23, 30, 2, 
2021/7/12, 32, 30, 5, 
2021/7/13, 36, 38, 3, 
2021/7/14, 30, 28, 2, 
2021/7/15, 44, 34, 2, 
2021/7/16, 44, 38, 5, 
2021/7/17, 54, 33, 3, 
2021/7/18, 58, 38, 4, 
2021/7/19, 60, 39, 6, 
2021/7/20, 51, 42, 6, 
2021/7/21, 45, 43, 5, 
2021/7/22, 54, 42, 3, 
2021/7/23, 65, 40, 3, 
2021/7/24, 71, 39, 2, 
2021/7/25, 57, 45, 3, 
2021/7/26, 43, 39, 6, 
2021/7/27, 53, 37, 3, 
2021/7/28, 55, 42, 2, 
2021/7/29, 58, 40, 2, 
2021/7/30, 68, 31, 3, 
2021/7/31, 98, 34, 2, 
2021/8/1, 82, 30, 2, 
2021/8/2, 115, 29, 4, 
2021/8/3, 82, 28, 8, 
2021/8/4, 45, 30, 7, 
2021/8/5, 40, 28, 2, 
2021/8/6, 54, 35, 3, 
2021/8/7, 58, 33, 2, 
2021/8/8, 64, 32, 1, 
2021/8/9, 51, 43, 2, 
2021/8/10, 53, 28, 2, 
2021/8/11, 53, 31, 2, 
2021/8/12, 42, 34, 4, 
2021/8/13, 51, 28, 3, 
2021/8/14, 43, 34, 4, 
2021/8/15, 40, 33, 3, 
2021/8/16, 31, 32, 2, 
2021/8/17, 34, 31, 2, 
2021/8/18, 38, 32, 2, 
2021/8/19, 48, 27, 2, 
2021/8/20, 49, 35, 2, 
2021/8/21, 51, 29, 1, 
2021/8/22, 28, 33, 2, 
2021/8/23, 28, 29, 3, 
2021/8/24, 36, 36, 2, 
2021/8/25, 48, 41, 3, 
2021/8/26, 38, 32, 5, 
2021/8/27, 35, 39, 2, 
2021/8/28, 43, 35, 2, 
2021/8/29, 56, 34, 2, 
2021/8/30, 56, 36, 5, 
2021/8/31, 45, 31, 4, 
2021/9/1, 33, 31, 4, 
2021/9/2, 35, 32, 3, 
2021/9/3, 36, 30, 3, 
2021/9/4, 37, 25, 2, 
