date, pm25, pm10, o3, no2
2022/8/15, 42, 24, 45, 2
2022/8/16, 51, 24, 40, 4
2022/8/17, 50, 11, 27, 4
2022/8/18, 19, 14, 38, 5
2022/8/19, 26, 13, 26, 2
2022/8/20, 18, 4, 19, 2
2022/8/21, 14, 4, 20, 2
2022/8/22, 13, 9, 17, 2
2022/8/23, 10, 5, 24, 3
2022/8/24, 13, 12, 38, 7
2022/8/25, 16, 14, 31, 3
2022/8/26, 24, 13, 39, 2
2022/8/27, 19, 10, 41, 3
2022/8/28, 24, 9, 44, 4
2022/8/29, 25, 19, 41, 9
2022/8/30, 29, 18, 43, 7
2022/8/31, 35, 19, 42, 3
2022/9/1, 36, 18, 40, 1
2022/9/2, 35, 13, 32, 5
2022/9/3, 29, 12, 36, 2
2022/9/4, 28, 12, 40, 2
2022/9/5, 31, 20, 37, 5
2022/9/6, 36, 19, 32, 4
2022/9/7, 31, 18, 32, 5
2022/9/8, 30, 11, 26, 6
2022/9/9, 23, 15, 27, 6
2022/9/10, 25, 12, 31, 4
2022/9/11, 29, 7, 28, 3
2022/9/12, 20, 15, 38, 9
2022/9/13, 28, 17, 27, 5
2022/9/14, 39, 27, 32, 5
2022/9/15, 46, 26, 27, 4
2022/9/16, 89, 22, 34, 2
2022/9/17, 48, 8, 33, 2
2022/9/18, 23, 8, 32, 3
2022/9/19, 17, 21, 35, 3
2022/9/20, 19, 21, 33, 2
2022/9/21, 18, 17, 34, 4
2022/9/22, 19, 23, 36, 10
2022/9/23, 30, 29, 31, 12
2022/9/24, 49, 12, 33, 4
2022/9/25, 32, 8, 30, 2
2022/9/26, 24, 27, 31, 6
2022/9/27, 31, 17, 29, 3
2022/9/28, 31, 10, 26, 3
2022/9/29, 17, 10, 24, 4
2022/9/30, 24, 11, 27, 5
2022/10/1, 24, 9, 20, 3
2022/4/2, 18, 10, 36, 2
2022/4/3, 19, 14, 31, 6
2022/4/4, 35, 20, 40, 8
2022/4/5, 52, 24, 35, 10
2022/4/9, 86, 13, 33, 4
2022/4/10, 16, 10, 36, 4
2022/4/11, 19, 17, 34, 3
2022/4/12, 24, 20, 32, 6
2022/4/13, 33, 13, 33, 5
2022/4/14, 26, 23, 39, 6
2022/4/15, 32, 27, 38, 8
2022/4/16, 30, 17, 40, 6
2022/4/17, 29, 12, 38, 4
2022/4/18, 18, 14, 35, 1
2022/4/19, 33, 14, 32, 4
2022/4/20, 21, 11, 27, 6
2022/4/21, 23, 25, 30, 9
2022/4/22, 54, 24, 33, 5
2022/4/23, 53, 11, 32, 4
2022/4/24, 28, 27, 36, 1
2022/4/25, 49, 25, 36, 5
2022/4/26, 46, 18, 37, 6
2022/4/27, 38, 18, 30, 5
2022/4/28, 36, 14, 32, 4
2022/4/29, 37, 16, 36, 3
2022/4/30, 28, 25, 46, 2
2022/5/1, 56, 19, 41, 3
2022/5/2, 46, 26, 38, 5
2022/5/3, 28, 27, 41, 3
