date, pm25, pm10, o3, no2
2022/3/2, 26, 17, , 4
2022/3/3, 37, 9, , 9
2022/3/4, 21, 9, , 7
2022/3/5, 17, 6, , 3
2022/3/6, 20, 8, , 5
2022/3/7, 25, 9, , 4
2022/3/8, 23, 12, , 10
2022/3/9, 24, 7, , 1
2022/3/10, 16, 19, , 2
2022/3/11, 58, 9, , 
2022/3/12, 25, 9, , 2
2022/3/13, 23, 9, , 
2022/3/14, 29, 16, , 6
2022/3/15, 40, 19, , 3
2022/3/16, 58, 7, , 1
2022/3/17, 25, 6, , 2
2022/3/18, 18, 15, , 2
2022/3/19, 33, 11, , 2
2022/3/20, 29, 11, , 8
2022/3/21, 32, 20, , 12
2022/3/22, 40, 22, , 11
2022/3/23, 69, 29, , 14
2022/3/24, 76, 30, , 12
2022/3/25, 81, 14, , 14
2022/3/26, 41, 16, , 9
2022/3/27, 38, 5, , 11
2022/3/28, 15, 18, , 9
2022/3/29, 41, 5, , 9
2022/3/30, 12, 5, , 8
2022/3/31, 9, 6, , 7
2022/4/1, 9, 9, , 7
2021/10/2, 7, 6, 27, 
2021/10/3, 15, 6, 30, 
2021/10/4, 12, 10, 27, 
2021/10/5, 23, 6, 24, 9
2021/10/6, 16, 9, 24, 12
2021/10/7, 21, 4, 27, 4
2021/10/8, 7, 1, 25, 2
2021/10/9, 4, 6, 29, 
2021/10/10, 20, 6, 28, 1
2021/10/11, 18, 6, 27, 3
2021/10/12, 14, 5, 25, 5
2021/10/13, 10, 6, 32, 3
2021/10/14, 14, 12, 32, 1
2021/10/15, 28, 10, 29, 3
2021/10/16, 21, 9, 26, 4
2021/10/17, 22, 6, 20, 5
2021/10/18, 17, 9, 19, 15
2021/10/19, 25, 2, 27, 2
2021/10/20, 6, 4, 27, 2
2021/10/21, 10, 8, 31, 3
2021/10/22, 16, 9, 27, 7
2021/10/23, 20, 12, 28, 5
2021/10/24, 28, 5, 30, 
2021/10/25, 17, 8, 29, 2
2021/10/26, 22, 8, 31, 3
2021/10/27, 18, 14, 29, 2
2021/10/28, 32, 3, 28, 2
2021/10/29, 8, 6, 33, 2
2021/10/30, 19, 6, 30, 1
2021/10/31, 17, 5, 30, 1
2021/11/1, 12, 3, 46, 3
2021/11/2, 8, 4, , 1
2021/11/3, 11, 4, , 3
2021/11/4, 12, 7, , 10
2021/11/5, 18, 7, , 8
2021/11/6, 17, 5, , 4
2021/11/7, 14, 5, , 4
2021/11/8, 16, 4, , 7
2021/11/9, 11, 8, , 3
2021/11/10, 19, 11, , 5
2021/11/11, 25, 7, , 4
2021/11/12, 18, 1, , 10
2021/11/13, 4, , , 9
2021/11/16, 9, 3, , 1
2021/11/17, 8, 8, , 6
2021/11/18, 20, 6, , 3
2021/11/19, 16, 14, , 1
2021/11/20, 32, 6, , 5
2021/11/21, 17, 6, , 7
2021/11/22, 17, 7, , 7
2021/11/23, 21, 5, , 5
2021/11/24, 15, 7, , 5
2021/11/25, 17, 4, , 6
2021/11/26, 11, 5, , 5
2021/11/27, 14, 13, , 13
2021/11/28, 42, 26, , 18
2021/11/29, 78, 17, , 11
2021/11/30, 44, 13, , 14
2021/12/1, 35, 15, , 19
2021/12/2, 47, 18, , 19
2021/12/3, 51, 12, , 12
2021/12/4, 41, 4, , 5
2021/12/5, 14, 9, , 8
2021/12/6, 32, 5, , 2
2021/12/7, 9, 6, , 4
2021/12/8, 18, 4, , 3
2021/12/9, 11, 7, , 5
2021/12/10, 14, 15, , 12
2021/12/11, 33, 12, , 8
2021/12/12, 38, 4, , 1
2021/12/13, 15, 10, , 3
2021/12/14, 26, 6, , 3
2021/12/15, 17, 13, , 3
2021/12/16, 33, 26, , 7
2021/12/17, 58, 6, , 7
2021/12/18, 17, 7, , 6
2021/12/19, 22, 8, , 4
2021/12/20, 21, 14, , 9
2021/12/21, 37, 12, , 11
2021/12/22, 41, 3, , 2
2021/12/23, 11, 5, , 10
2021/12/24, 16, 17, , 10
2021/12/25, 37, 18, , 15
2021/12/26, 53, 20, , 15
2021/12/27, 63, 22, , 22
2021/12/28, 64, 11, , 14
2021/12/29, 36, 14, , 13
2021/12/30, 48, 8, , 4
2021/12/31, 23, 7, , 5
2022/1/1, 22, 13, , 5
2022/1/2, 40, 16, , 1
2022/1/3, 47, 9, , 3
2021/7/2, 36, 12, 25, 6
2021/7/3, 29, 6, 21, 3
2021/7/4, 20, 11, 27, 6
2021/7/5, 43, 11, 27, 4
2021/7/6, 31, 5, 27, 3
2021/7/7, 15, 6, 29, 4
2021/7/8, 13, 5, 23, 2
2021/7/9, 16, 4, 24, 4
2021/7/10, 14, 6, 27, 3
2021/7/11, 20, 4, 27, 
2021/7/12, 12, 6, 27, 4
2021/7/13, 17, 8, 25, 5
2021/7/14, 24, 10, 25, 4
2021/7/15, 30, 8, 27, 1
2021/7/16, 19, 14, 18, 1
2021/7/17, 22, 7, 20, 
2021/7/18, 17, 7, 19, 
2021/7/19, 18, 9, 20, 1
2021/7/20, 19, 7, 19, 1
2021/7/21, 16, 9, 26, 1
2021/7/22, 15, 6, 19, 2
