date, pm25, no2, so2
2021/9/25, 28, , 1
2021/9/26, 26, , 2
2021/9/27, 37, , 1
2021/9/28, 48, , 
2021/9/29, 24, , 
2021/9/30, 31, , 1
2021/10/1, 41, , 7
2021/4/2, 19, 19, 1
2021/4/3, 31, , 
2021/4/5, 115, 11, 2
2021/4/6, 63, 15, 14
2021/4/7, 68, 13, 10
2021/4/8, 85, 8, 1
2021/4/9, 60, 9, 13
2021/4/10, 43, 10, 5
2021/4/11, 46, 4, 1
2021/4/12, 24, 11, 1
2021/4/13, 31, 13, 7
2021/4/14, 50, 10, 4
2021/5/20, 55, 15, 9
2021/5/21, 61, 11, 11
2021/5/22, 59, 10, 3
2021/5/23, 53, 3, 1
2021/5/24, 42, 6, 5
2021/5/25, 26, 9, 1
2021/5/26, 50, 9, 3
2021/5/27, 36, 5, 6
2021/5/28, 16, 5, 7
2021/5/29, 21, 4, 1
2021/5/30, 19, 5, 2
2021/5/31, 26, 7, 7
2021/6/1, 42, 11, 6
2021/6/2, 43, 7, 2
2021/6/3, 42, 9, 7
2021/6/4, 37, 12, 1
2021/6/5, 46, 11, 1
2021/6/6, 53, , 11
2021/6/7, 51, 7, 6
2021/6/8, 37, 10, 
2021/6/9, 37, 10, 
2021/6/10, 37, 7, 
2021/6/11, 42, 6, 
2021/6/12, 35, 8, 4
2021/6/13, 54, 6, 1
2021/6/14, 40, 8, 
2021/6/15, 28, 6, 
2021/6/16, 27, 9, 2
2021/6/17, 31, 12, 9
2021/6/18, 43, 12, 1
2021/6/19, 47, 11, 1
2021/6/20, 40, 6, 
2021/6/21, 33, 6, 1
2021/6/22, 21, 5, 1
2021/6/23, 15, 12, 7
2021/6/24, 36, 9, 9
2021/6/25, 38, 9, 3
2021/6/26, 48, 8, 
2021/6/27, 42, 6, 1
2021/6/28, 40, 10, 
2021/6/29, 36, 13, 
2021/6/30, 32, 9, 
2021/7/1, 30, 6, 1
2021/1/5, 46, 15, 1
2021/1/6, 61, 15, 1
2021/1/7, 57, 12, 1
2021/1/8, 26, 8, 1
2021/1/9, 20, 19, 1
2021/1/10, 35, 21, 1
2021/1/11, 73, 13, 1
2021/1/12, 66, 10, 1
2021/1/13, 69, 11, 2
2021/1/14, 72, 14, 3
2021/1/15, 68, 12, 1
2021/1/16, 47, 11, 1
2021/1/17, 53, 11, 1
2021/1/18, 38, 13, 1
2021/1/19, 45, 10, 1
2021/1/20, 51, 11, 1
2021/1/21, 41, 10, 2
2021/1/22, 29, 7, 1
2021/1/23, 19, 7, 1
2021/1/24, 19, 6, 1
2021/1/25, 35, 18, 1
2021/1/26, 59, 12, 1
2021/1/27, 45, 11, 1
2021/1/28, 27, 10, 1
2021/1/29, 24, 18, 
2021/1/30, 46, 16, 1
2021/1/31, 37, 6, 2
2021/2/1, 34, 9, 1
2021/2/2, 34, 11, 1
2021/2/3, 25, 12, 
2021/2/4, 23, , 
2021/2/17, 10, 26, 4
2021/2/18, 45, 17, 1
2021/2/19, 49, 17, 2
2021/2/20, 67, 13, 1
2021/2/21, 91, 11, 10
2021/2/22, 84, 12, 1
2021/2/23, 55, 12, 3
2021/2/24, 43, 10, 5
2021/2/25, 45, 13, 2
2021/2/26, 33, 13, 1
2021/2/27, 50, 10, 2
2021/2/28, 55, 9, 6
2021/3/1, 59, 5, 1
2021/3/2, 26, 11, 7
2021/3/3, 31, 14, 2
2021/3/4, 54, 12, 1
2021/3/5, 38, 13, 1
2021/3/6, 25, 6, 1
2021/3/7, 21, 11, 7
2021/3/8, 29, 11, 8
2021/3/9, 54, 13, 3
2021/3/10, 71, 15, 35
2021/3/11, 82, 7, 14
2021/3/12, 56, 8, 3
2021/3/13, 26, 11, 7
2021/3/14, 26, 6, 2
2021/3/15, 30, 5, 1
2021/3/16, 23, 8, 6
2021/3/17, 42, 14, 3
2021/3/18, 65, 7, 1
2021/3/19, 30, 7, 3
2021/3/20, 26, 16, 10
2021/3/21, 39, 13, 11
2021/3/22, 40, 16, 9
2021/3/23, 49, 14, 4
2021/3/24, 41, 11, 11
2021/3/25, 30, 11, 9
2021/3/27, 27, 8, 7
2021/3/28, 47, 4, 1
2021/3/29, 25, 7, 5
2021/3/30, 25, 12, 23
2021/3/31, 41, 5, 1
2021/4/1, 36, 7, 1
2020/10/6, 78, , 
2020/10/8, 48, , 
2020/10/13, 27, , 
2020/10/14, 19, , 
2020/10/20, 14, 12, 
2020/10/21, 35, , 
2020/10/23, 19, 14, 9
2020/10/24, 39, , 
2020/10/28, 31, , 
2020/10/30, 62, , 
2020/11/2, 41, 6, 1
2020/11/3, 12, , 
2020/11/5, 59, , 
2020/11/10, 62, , 35
2020/11/11, 39, , 
2020/11/18, 25, , 
2020/11/28, 41, , 
2020/12/1, 46, 9, 1
2020/12/2, 17, , 
2020/12/4, 44, 11, 1
2020/12/5, 57, , 
2020/12/7, 20, 12, 
2020/12/8, 24, , 
2020/12/15, 39, 10, 1
2020/12/16, 23, 8, 1
2020/12/17, 34, 19, 1
2020/12/18, 63, 15, 2
2020/12/19, 63, 12, 13
2020/12/20, 57, 9, 1
2020/12/21, 67, 13, 1
2020/12/22, 69, 9, 1
2020/12/23, 43, 10, 17
2020/12/24, 32, 7, 16
2020/12/25, 26, 5, 2
2020/12/26, 20, 9, 1
2020/12/27, 33, 8, 2
2020/12/28, 52, 8, 3
2020/12/29, 29, 11, 3
2020/12/30, 34, 7, 1
2020/12/31, 35, 9, 1
2021/1/1, 52, 7, 
2021/1/2, 45, 8, 
2021/1/3, 30, 9, 
2021/1/4, 32, 11, 1
2020/7/2, 41, 12, 4
2020/7/3, 60, 9, 1
2020/7/4, 56, 5, 4
2020/7/5, 45, 10, 5
2020/7/6, 93, 12, 6
2020/7/7, 59, , 
2020/7/9, 54, , 
2020/7/16, 42, 10, 1
2020/7/17, 44, 10, 3
