date, pm25, pm10, no2, so2
2017/1/2, , 7, , 
2016/7/2, , 21, 9, 3
2016/7/3, , 27, 4, 4
2016/7/4, , 12, 5, 3
2016/7/5, , 16, 7, 3
2016/7/6, , 20, 6, 3
2016/7/7, , 14, 5, 9
2016/7/8, , 13, 6, 1
2016/7/9, , 16, 3, 3
2016/7/10, , 12, 4, 4
2016/7/11, , 16, 7, 3
2016/7/12, , 21, 7, 3
2016/7/13, , 20, 7, 3
2016/7/14, , 16, 5, 5
2016/7/15, , 9, 3, 10
2016/7/16, , 9, 3, 4
2016/7/17, , 12, 6, 3
2016/7/18, , 19, 8, 7
2016/7/19, , 25, 5, 3
2016/7/20, , 26, 7, 6
2016/7/21, , 24, 7, 2
2016/7/22, , 20, 6, 2
2016/7/23, , 19, 2, 2
2016/7/24, , 22, 3, 2
2016/7/25, , 21, 6, 2
2016/7/26, , 32, 10, 2
2016/7/27, , 38, 4, 1
2016/7/28, , 29, 8, 2
2016/7/29, , 20, 6, 1
2016/7/30, , 27, 6, 1
2016/7/31, , 20, 2, 1
2016/8/1, , 10, 4, 2
2016/8/2, , 13, 7, 1
2016/8/3, , 15, 6, 1
2016/8/4, , 20, 4, 
2016/8/5, , 16, 8, 1
2016/8/6, , 16, 5, 3
2016/8/7, , 15, 2, 1
2016/8/8, , 10, 6, 1
2016/8/9, , 21, 5, 2
2016/8/10, , 16, 8, 1
2016/8/11, , 21, 4, 1
2016/8/12, , 16, 6, 
2016/8/13, , 18, 4, 1
2016/8/14, , 17, 3, 2
2016/8/15, , 10, 2, 3
2016/8/16, , 13, 7, 5
2016/8/17, , 21, 10, 5
2016/8/18, , 18, 6, 
2016/8/19, , 11, 5, 
2016/8/20, , 17, 6, 1
2016/8/21, , 26, 6, 1
2016/8/22, , 21, 8, 3
2016/8/23, , 20, 7, 4
2016/8/24, , 17, 4, 2
2016/8/25, , 11, 11, 
2016/8/26, , 25, 8, 1
2016/8/27, , 27, 4, 
2016/8/28, , 20, 5, 
2016/8/29, , 25, 6, 1
2016/8/30, , 21, 4, 2
2016/8/31, , 20, 3, 
2016/9/1, , 19, 7, 2
2016/9/2, , 30, 6, 2
2016/9/3, , 17, 5, 2
2016/9/4, , 17, 2, 1
2016/9/5, , 7, 1, 1
2016/9/6, , 10, 3, 1
2016/9/7, , 10, 7, 2
2016/9/8, , 28, 7, 2
2016/9/9, , 25, 9, 2
2016/9/10, , 29, 6, 2
2016/9/11, , 29, 2, 1
2016/9/12, , 20, 7, 1
2016/9/13, , 28, 5, 1
2016/9/14, , 21, 5, 1
2016/9/15, , 33, 8, 1
2016/9/16, , 29, 6, 
2016/9/17, , 44, , 
2016/9/18, , 22, , 
2016/9/19, , 21, 4, 
2016/9/20, , 41, 8, 
2016/9/21, , 22, 5, 
2016/9/22, , 17, 9, 1
2016/9/23, , 15, 13, 7
2016/9/24, , 24, 5, 2
2016/9/25, , 19, 4, 
2016/9/26, , 21, 7, 3
2016/9/27, , 20, 11, 4
2016/9/28, , 30, 10, 2
2016/9/29, , 28, 6, 2
2016/9/30, , 21, 7, 1
2016/10/1, , 21, 5, 1
2016/4/2, , 23, 10, 5
2016/4/3, , 25, 8, 4
2016/4/4, , 28, 15, 5
2016/4/5, , 39, 22, 3
2016/4/6, , 54, 9, 1
2016/4/7, , 23, 8, 1
2016/4/8, , 16, 9, 2
2016/4/9, , 19, 11, 3
2016/4/10, , 29, 3, 2
2016/4/11, , 11, 3, 2
2016/4/12, , 15, 8, 2
2016/4/13, , 25, 12, 2
2016/4/14, , 17, 6, 2
2016/4/15, , 13, 6, 3
2016/4/16, , 22, 5, 2
2016/4/17, , 22, 5, 3
2016/4/18, , 11, 3, 2
2016/4/19, , 13, 3, 2
2016/4/20, , 20, 6, 6
2016/4/21, , 24, 7, 3
2016/4/22, , 24, 5, 7
2016/4/23, , 25, 4, 2
2016/4/24, , 17, 5, 6
2016/4/25, , 11, 8, 2
2016/4/26, , 24, 7, 2
2016/4/27, , 26, 6, 4
2016/4/28, , 19, 9, 2
2016/4/29, , 27, 5, 3
2016/4/30, , 18, 6, 3
2016/5/1, , 18, 4, 2
2016/5/2, , 13, 5, 2
2016/5/3, , 17, 5, 3
2016/5/4, , 18, 6, 3
2016/5/5, , 31, 6, 4
2016/5/6, , 32, 8, 3
2016/5/7, , 25, 11, 3
2016/5/8, , 35, 7, 2
2016/5/9, , 30, 9, 2
2016/5/10, , 40, 10, 2
2016/5/11, , 38, 11, 2
2016/5/12, , 36, 4, 2
2016/5/13, , 23, 5, 2
2016/5/14, , 12, 3, 2
2016/5/15, , 14, 1, 2
2016/5/16, , 10, 3, 2
2016/5/17, , 8, 5, 3
2016/5/18, , 10, 8, 3
2016/5/19, , 14, 9, 3
2016/5/20, , 20, 12, 3
2016/5/21, , 31, 4, 3
2016/5/22, , 17, 4, 2
2016/5/23, , 21, 5, 3
2016/5/24, , 17, 3, 1
2016/5/25, , 23, 6, 2
2016/5/26, , 32, 1, 
2016/5/27, , 11, 3, 2
2016/5/28, , 15, , 2
2016/5/29, , 18, , 1
2016/5/30, , 18, , 1
2016/5/31, , 17, , 1
2016/6/1, , 19, , 1
2016/6/2, , 17, , 
2016/6/3, , 15, , 1
2016/6/4, , 25, , 1
2016/6/5, , 14, , 1
2016/6/6, , 11, , 1
2016/6/7, , 14, , 1
2016/6/8, , 15, , 2
2016/6/9, , 29, , 1
2016/6/10, , 17, 2, 2
2016/6/11, , 24, 2, 13
2016/6/12, , 15, 3, 1
2016/6/13, , 18, 1, 1
2016/6/14, , 11, 2, 1
2016/6/15, , 14, 7, 1
2016/6/16, , 23, 6, 1
2016/6/17, , 15, 8, 
2016/6/18, , 18, 3, 2
2016/6/19, , 13, 5, 5
2016/6/20, , 18, 5, 6
2016/6/21, , 16, 6, 6
2016/6/22, , 19, 7, 4
2016/6/23, , 17, 11, 1
2016/6/24, , 22, 8, 2
2016/6/25, , 28, 9, 2
2016/6/26, , 36, 4, 8
2016/6/27, , 18, 6, 4
2016/6/28, , 16, 9, 1
2016/6/29, , 24, 6, 2
2016/6/30, , 16, 9, 1
2016/7/1, , 23, 9, 1
2016/1/5, , 25, 10, 5
2016/1/6, , 49, 9, 14
2016/1/7, , 47, 3, 8
2016/1/8, , 19, 8, 6
2016/1/9, , 35, 12, 9
2016/1/10, , 40, 5, 5
2016/1/11, , 17, 10, 2
2016/1/12, , 27, 13, 6
2016/1/13, , 20, 9, 10
2016/1/14, , 10, 12, 10
2016/1/15, , 22, 13, 4
2016/1/16, , 28, 8, 8
2016/1/17, , 10, 9, 14
2016/1/18, , 13, 16, 3
2016/1/19, , 25, 10, 5
2016/1/20, , 15, 12, 25
2016/1/21, , 17, 16, 32
2016/1/22, , 14, 21, 24
2016/1/23, , 26, 15, 10
2016/1/24, , 45, 10, 9
2016/1/25, , 29, 11, 8
2016/1/26, , 20, 8, 4
2016/1/27, , 13, 8, 3
2016/1/28, , 9, 3, 1
2016/1/29, , 9, 5, 2
2016/1/30, , 12, 3, 2
2016/1/31, , 5, 3, 2
2016/2/1, , 8, 7, 5
2016/2/2, , 10, 4, 1
2016/2/3, , 9, 3, 1
2016/2/4, , 10, 7, 2
2016/2/5, , 10, 10, 3
2016/2/6, , 18, 6, 2
2016/2/7, , 19, 5, 3
2016/2/8, , 20, 6, 5
2016/2/9, , 19, 5, 3
2016/2/10, , 12, 8, 3
2016/2/11, , 14, 14, 11
2016/2/12, , 25, 8, 4
2016/2/13, , 12, 7, 4
2016/2/14, , 23, 3, 2
2016/2/15, , 14, 8, 3
2016/2/16, , 14, 5, 4
2016/2/17, , 13, 8, 3
2016/2/18, , 32, 9, 4
2016/2/19, , 22, 9, 6
2016/2/20, , 20, 6, 4
2016/2/21, , 19, 3, 4
