date, pm10, no2, co
2022/8/5, 21, 11, 3
2022/8/6, 35, 6, 
2022/8/11, 14, 8, 2
2022/8/12, 19, 9, 3
2022/8/13, 22, 6, 2
2022/8/14, 23, 6, 3
2022/8/15, 21, 7, 1
2022/8/16, 24, , 3
2022/8/17, 39, , 1
2022/8/18, 36, , 1
2022/8/19, 40, 9, 3
2022/8/20, 43, 11, 4
2022/8/21, 37, 12, 5
2022/8/22, 42, 7, 2
2022/8/23, 35, , 3
2022/8/24, 29, , 
2022/8/27, 40, 6, 
2022/8/28, 19, 10, 3
2022/8/29, 31, 7, 1
2022/8/30, 28, 6, 2
2022/8/31, 19, , 
2022/9/2, 34, , 
2022/9/5, 26, , 
2022/9/6, 26, , 
2022/9/9, 27, 7, 
2022/9/10, 15, 10, 2
2022/9/11, 23, 8, 1
2022/9/12, 22, , 3
2022/9/13, 29, , 2
2022/9/14, 28, , 2
2022/9/15, 31, , 2
2022/9/16, 23, 5, 2
2022/9/17, 18, 4, 2
2022/9/18, 19, 6, 2
2022/9/19, 26, 5, 1
2022/9/21, 21, , 1
2022/9/22, 49, , 3
2022/9/23, 34, , 2
2022/9/24, 29, , 2
2022/9/25, 17, , 2
2022/9/26, 26, , 4
2022/9/27, 40, , 2
2022/9/28, 45, , 1
2022/9/29, 46, , 2
2022/9/30, 33, , 
2022/4/2, 37, , 2
2022/4/3, 22, , 2
2022/4/4, 21, , 
2022/4/5, 33, , 3
2022/4/6, 39, , 3
2022/4/7, 32, , 2
2022/4/8, 36, , 2
2022/4/9, 34, , 2
2022/4/10, 29, , 2
2022/4/11, 18, , 2
2022/4/12, 19, , 2
2022/4/13, 27, , 3
2022/4/14, 37, , 2
2022/4/15, 35, , 1
2022/4/16, 22, , 1
2022/4/17, 18, , 2
2022/4/18, 16, , 2
2022/4/19, 21, 7, 2
2022/4/20, 25, 7, 3
2022/4/21, 29, 9, 3
2022/4/22, 31, 7, 3
2022/4/23, 29, 4, 2
2022/4/24, 24, 5, 4
2022/4/25, 10, , 3
2022/4/26, 20, 4, 2
2022/4/27, 13, 8, 4
2022/4/28, 26, 5, 2
2022/4/29, 30, 7, 3
2022/4/30, 33, 6, 4
2022/5/1, 36, , 2
2022/5/2, 37, , 
2022/5/3, 32, 12, 8
2022/5/4, 42, 10, 5
2022/5/5, 45, 8, 4
2022/5/6, 40, , 4
2022/5/7, 40, , 2
2022/5/8, 30, , 4
2022/5/9, 32, , 3
2022/5/10, 46, , 1
2022/5/11, 46, 8, 1
2022/5/12, 42, 7, 1
2022/5/13, 39, 8, 3
2022/5/14, 27, 5, 1
2022/5/15, 35, 3, 
2022/5/16, 40, 3, 1
2022/5/18, 32, , 3
2022/5/19, 30, , 3
2022/5/20, 31, , 3
2022/5/21, 34, , 6
2022/5/22, 40, , 3
2022/5/23, 37, , 
2022/5/25, 35, , 1
2022/5/26, 19, 8, 2
2022/5/27, 24, 10, 2
2022/5/28, 25, 7, 2
2022/5/29, 25, 6, 1
2022/5/30, 20, , 2
2022/5/31, 28, 18, 5
2022/6/1, 39, , 
2022/6/3, 40, , 
2022/6/4, 27, , 
2022/6/5, 18, , 
2022/6/6, 38, , 3
2022/6/7, 48, , 
2022/6/19, 43, , 7
2022/6/20, 41, , 2
2022/6/21, 28, , 1
2022/6/22, 39, , 2
2022/6/23, 35, , 
2022/6/25, 23, 7, 2
2022/6/26, 26, 5, 2
2022/6/27, 15, , 
2022/6/30, 41, , 2
2022/7/1, 37, , 3
2022/1/4, 20, , 
2022/1/5, 33, , 
2022/1/6, 27, , 
2022/1/7, 20, , 
2022/1/8, 20, , 
2022/1/9, 17, , 
2022/1/10, 18, , 
2022/1/11, 23, , 
2022/1/12, 35, , 4
2022/1/13, 40, 2, 3
2022/1/14, 33, 6, 4
2022/1/15, 41, 2, 3
2022/1/16, 44, 2, 1
2022/1/17, 24, 2, 1
2022/1/18, 24, , 3
2022/1/19, 20, , 3
2022/1/20, 11, , 4
2022/1/21, 15, , 
2022/1/29, 17, , 
2022/1/30, 14, , 
2022/1/31, 14, , 
2022/2/1, 33, , 
2022/2/2, 26, 6, 
2022/2/3, 26, 7, 
2022/2/4, 21, 6, 
2022/2/5, 22, 1, 
2022/2/6, 13, , 
2022/2/7, 14, 3, 
2022/2/8, 19, 4, 
2022/2/9, 17, 3, 
2022/2/10, 22, , 
2022/2/11, 32, , 
2022/2/12, 29, , 
2022/2/13, 19, , 
2022/2/14, 30, , 2
2022/2/15, 28, 8, 1
2022/2/16, 26, 7, 1
2022/2/17, 34, 5, 1
2022/2/18, 43, 4, 1
2022/2/19, 31, 4, 1
2022/2/20, 21, 3, 2
2022/2/21, 16, 4, 3
2022/2/22, 18, 6, 3
2022/2/23, 20, 5, 2
2022/2/24, 20, , 5
2022/2/25, 21, , 
2022/2/27, 21, 4, 4
2022/2/28, 15, 5, 2
2022/3/1, 20, , 
2022/3/13, 27, 8, 
2022/3/14, 24, 9, 
2022/3/15, 27, 10, 
2022/3/16, 31, , 
2022/3/24, 17, , 1
2022/3/25, 14, , 1
2022/3/26, 15, , 2
2022/3/27, 21, , 3
