date, pm25, pm10
2021/5/6, 73, 43
2021/5/7, 95, 42
2021/5/8, 96, 37
2021/5/9, 76, 37
2021/5/10, 71, 43
2021/5/11, 93, 41
2021/5/12, 85, 32
2021/5/13, 69, 21
2021/5/14, 58, 31
2021/5/15, 58, 37
2021/5/16, 66, 41
2021/5/17, 74, 56
2021/5/18, 96, 51
2021/5/19, 111, 46
2021/5/20, 107, 23
2021/5/21, 66, 21
2021/5/22, 44, 22
2021/5/23, 56, 22
2021/5/24, 51, 30
2021/5/25, 65, 26
2021/5/26, 62, 8
2021/5/27, 15, 9
2021/5/28, 18, 7
2021/5/29, 15, 16
2021/5/30, 34, 31
2021/5/31, 74, 24
2021/6/1, 68, 26
2021/6/2, 64, 26
2021/6/3, 61, 25
2021/6/4, 55, 34
2021/6/5, 69, 39
2021/6/6, 79, 33
2021/6/7, 81, 36
2021/6/8, 74, 41
2021/6/9, 78, 33
2021/6/10, 79, 24
2021/6/11, 66, 21
2021/6/12, 56, 10
2021/6/13, 27, 15
2021/6/14, 42, 12
2021/6/15, 31, 10
2021/6/16, 17, 9
2021/6/17, 22, 10
2021/6/18, 23, 14
2021/6/19, 29, 10
2021/6/20, 14, 22
2021/6/21, 23, 19
2021/6/22, 31, 33
2021/6/23, 41, 21
2021/6/24, 38, 22
2021/6/25, 40, 27
2021/6/26, 42, 18
2021/6/27, 37, 25
2021/6/28, 42, 29
2021/6/29, 53, 25
2021/6/30, 50, 36
2021/7/1, 74, 36
2021/1/5, 302, 
2021/1/6, 305, 
2021/1/7, 164, 
2021/1/8, 143, 
2021/1/9, 141, 
2021/1/10, 148, 
2021/1/11, 148, 
2021/1/12, 151, 
2021/1/13, 169, 
2021/1/14, 172, 
2021/1/15, 166, 
2021/1/16, 171, 
2021/1/17, 161, 
2021/1/18, 157, 
2021/1/19, 156, 
2021/1/20, 146, 
2021/1/21, 149, 
2021/1/22, 155, 
2021/1/23, 164, 
2021/2/5, 135, 
2021/2/6, 159, 
2021/2/7, 116, 
2021/2/8, 98, 
2021/2/9, 151, 
2021/2/10, 151, 
2021/2/11, 163, 
2021/2/12, 158, 
2021/2/13, 167, 
2021/2/14, 167, 
