date, pm25, o3, no2
2020/12/4, 16, 28, 9
2020/12/5, 34, 18, 13
2020/12/6, 40, 33, 6
2020/12/7, 32, 29, 13
2020/12/8, 27, 35, 14
2020/12/9, 26, 38, 16
2020/12/10, 28, 35, 13
2020/12/11, 29, 22, 8
2020/12/12, 34, 22, 5
2020/12/13, 28, 30, 3
2020/12/14, 47, 22, 4
2020/12/15, 14, 28, 6
2020/12/16, 36, 26, 7
2020/12/17, 19, 25, 14
2020/12/18, 35, 23, 11
2020/12/19, 27, 26, 5
2020/12/20, 26, 32, 9
2020/12/21, 31, 29, 18
2020/12/22, 26, 37, 12
2020/12/23, 32, 27, 4
2020/12/24, 25, 29, 4
2020/12/25, 31, 31, 6
2020/12/26, 40, 33, 8
2020/12/27, 36, 33, 5
2020/12/28, 21, 30, 2
2020/12/29, 21, 27, 2
2020/12/30, 16, 24, 1
2020/12/31, 34, 22, 1
2021/1/1, 18, 30, 3
2021/1/2, 30, 31, 7
2021/1/3, 28, 38, 11
2021/1/4, 41, 34, 12
2020/7/2, 74, 24, 
2020/7/3, 96, 26, 
2020/7/4, 68, 28, 
2020/7/5, 56, 26, 
2020/7/6, 55, 27, 
2020/7/7, 50, 23, 
2020/7/8, 58, 27, 
2020/7/9, 69, 23, 
2020/7/10, 61, 29, 
2020/7/11, 42, 26, 
2020/7/12, 28, 26, 
2020/7/13, 45, 31, 
2020/7/14, 39, 32, 
2020/7/15, 63, 25, 
2020/7/16, 74, 26, 
2020/7/17, 63, 26, 
2020/7/18, 62, 26, 
2020/7/19, 63, 29, 
2020/7/20, 54, 41, 
2020/7/21, 22, 37, 
2020/7/22, 17, 32, 
2020/7/23, 25, 28, 
2020/7/24, 17, 30, 
2020/7/25, 18, 25, 
2020/7/26, 17, 25, 
2020/7/27, 22, 32, 
2020/7/28, 18, 27, 
2020/7/29, 18, 25, 
2020/7/30, 20, 21, 
2020/7/31, 39, 27, 
2020/8/1, 33, 45, 
2020/8/2, 22, 46, 
2020/8/3, 24, 49, 
2020/8/4, 30, 43, 
2020/8/5, 31, 34, 
2020/8/6, 27, 29, 
2020/8/7, 22, 29, 
2020/8/8, 22, 21, 
2020/8/9, 25, 19, 
2020/8/10, 61, 19, 
2020/8/11, 38, 22, 
2020/8/12, 34, 20, 
2020/8/13, 51, 21, 
2020/8/14, 56, 25, 
2020/8/15, 41, 31, 
2020/8/16, 26, 33, 
2020/8/17, 20, 46, 
2020/8/18, 27, 52, 
2020/8/19, 32, 56, 
2020/8/20, 32, 61, 
2020/8/21, 31, 41, 
2020/8/22, 32, 49, 
2020/8/23, 27, 46, 
2020/8/24, 31, 49, 
2020/8/25, 40, 42, 
2020/8/26, 38, 32, 
2020/8/27, 28, 44, 
2020/8/28, 23, 31, 
2020/8/29, 51, 27, 1
2020/8/30, 30, 23, 
2020/8/31, 28, 25, 1
2020/9/1, 59, 28, 2
2020/9/2, 67, 30, 4
2020/9/3, 75, 24, 3
2020/9/4, 45, 18, 5
2020/9/5, 23, 26, 2
2020/9/6, 28, 38, 2
2020/9/7, 38, 25, 2
2020/9/8, 49, 20, 2
2020/9/9, 53, 13, 2
2020/9/10, 28, 10, 
2020/9/11, 9, 27, 1
2020/9/12, 28, 39, 2
2020/9/13, 41, 27, 1
2020/9/14, 29, 31, 1
2020/9/15, 33, 29, 2
2020/9/16, 36, 34, 4
2020/9/17, 39, 29, 3
2020/9/18, 34, 37, 1
2020/9/19, 41, 41, 2
2020/9/20, 66, 40, 1
2020/9/21, 68, 23, 1
2020/9/22, 35, 18, 
2020/9/23, 9, 18, 1
2020/9/24, 11, 26, 2
2020/9/25, 15, 38, 6
2020/9/26, 31, 32, 3
2020/9/27, 39, 25, 1
2020/9/28, 34, 31, 1
2020/9/29, 18, 31, 4
2020/9/30, 13, 41, 9
2020/10/1, 21, 55, 12
2020/4/2, 23, 30, 
2020/4/3, 22, 20, 
2020/4/4, 45, 19, 
2020/4/5, 16, 32, 
2020/4/6, 31, 32, 
2020/4/7, 48, 25, 
2020/4/8, 50, 33, 
2020/4/9, 71, 33, 
2020/4/10, 51, 38, 
2020/4/11, 45, 33, 
2020/4/12, 50, 38, 
2020/4/13, 42, 34, 
2020/4/14, 24, 33, 
2020/4/15, 24, 40, 
2020/4/16, 30, 43, 
2020/4/17, 35, 33, 
2020/4/18, 34, 18, 
2020/4/19, 39, 38, 
2020/4/20, 42, 53, 
2020/4/21, 29, 40, 
2020/4/22, 57, 27, 
2020/4/23, 65, 45, 
2020/4/24, 34, 45, 
2020/4/25, 41, 41, 
2020/4/26, 22, 50, 
2020/4/27, 29, 41, 
2020/4/28, 34, 37, 
2020/4/29, 52, 42, 
2020/4/30, 36, 58, 
2020/5/1, 21, 51, 
2020/5/2, 22, 38, 
2020/5/3, 33, 36, 
2020/5/4, 33, 38, 
2020/5/5, 54, 45, 
2020/5/6, 55, 47, 
2020/5/7, 22, 35, 
2020/5/8, 36, 38, 
2020/5/9, 39, 38, 
2020/5/10, 23, 48, 
2020/5/11, 31, 44, 
2020/5/12, 29, 31, 
2020/5/13, 27, 35, 
2020/5/14, 26, 47, 
2020/5/15, 33, 41, 
2020/5/16, 57, 40, 
2020/5/17, 15, 40, 
2020/5/18, 14, 50, 
2020/5/19, 27, 39, 
2020/5/20, 43, 40, 
2020/5/21, 61, 40, 
2020/5/22, 59, 37, 
2020/5/23, 59, 31, 
2020/5/24, 55, 40, 
2020/5/25, 39, 33, 
2020/5/26, 19, 37, 
2020/5/27, 23, 40, 
2020/5/28, 28, 52, 
2020/5/29, 25, 39, 
2020/5/30, 20, 44, 
2020/5/31, 27, 39, 
2020/6/1, 43, 26, 
2020/6/2, 30, 27, 
2020/6/3, 39, 30, 
2020/6/4, 37, 27, 
2020/6/5, 33, 26, 
2020/6/6, 45, 41, 
2020/6/7, 34, 42, 
2020/6/8, 47, 44, 
2020/6/9, 39, 36, 
2020/6/10, 53, 36, 
2020/6/11, 40, 53, 
2020/6/12, 29, 53, 
2020/6/13, 25, 53, 
2020/6/16, 22, 35, 
2020/6/17, 24, 32, 
2020/6/18, 24, 22, 
2020/6/19, 19, 20, 
2020/6/20, 16, 21, 
2020/6/21, 22, 20, 
2020/6/22, 26, 22, 
2020/6/23, 33, 38, 
2020/6/24, 24, 32, 
2020/6/25, 17, 45, 
2020/6/26, 30, 19, 
2020/6/27, 78, 19, 
2020/6/28, 150, 17, 
2020/6/29, 71, 20, 
2020/6/30, 62, 21, 
2020/7/1, 77, 24, 
2020/1/2, 89, 12, 
2020/1/3, 34, 26, 
2020/1/4, 18, 30, 
2020/1/5, 21, 34, 
2020/1/6, 32, 31, 
2020/1/7, 28, 30, 
2020/1/8, 16, 36, 
2020/1/9, 28, 28, 
2020/1/10, 23, 25, 
2020/1/11, 33, 25, 
2020/1/12, 16, 25, 
2020/1/13, 25, 9, 
2020/1/14, 40, 12, 
2020/1/15, 45, 17, 
2020/1/16, 50, 11, 
2020/1/17, 29, 25, 
2020/1/18, 28, 25, 
2020/1/19, 24, 32, 
2020/1/20, 14, 29, 
2020/1/21, 21, 34, 
2020/1/22, 29, 24, 
2020/1/23, 15, 28, 
2020/1/24, 20, 31, 
2020/1/25, 28, 28, 
2020/1/26, 23, 28, 
2020/1/27, 25, 38, 
2020/1/28, 32, 27, 
2020/1/29, 26, 27, 
2020/1/30, 10, 18, 
2020/1/31, 25, 26, 
2020/2/1, 27, 31, 
2020/2/2, 24, 36, 
2020/2/3, 27, 27, 
2020/2/4, 34, 27, 
2020/2/5, 41, 21, 
2020/2/6, 13, 29, 
2020/2/7, 21, 32, 
2020/2/8, 23, 29, 
2020/2/9, 30, 25, 
2020/2/10, 35, 14, 
2020/2/11, 49, 13, 
2020/2/12, 16, 17, 
2020/2/13, 15, 27, 
2020/2/14, 16, 25, 
2020/2/15, 37, 29, 
2020/2/16, 40, 27, 
2020/2/17, 46, 22, 
2020/2/18, 39, 23, 
2020/2/19, 47, 20, 
2020/2/20, 19, 23, 
2020/2/21, 18, 28, 
2020/2/22, 33, 38, 
2020/2/23, 41, 27, 
2020/2/24, 23, 29, 
2020/2/25, 19, 32, 
2020/2/26, 18, 30, 
2020/2/27, 17, 33, 
2020/2/28, 25, 41, 
2020/2/29, 33, , 
2020/3/4, 61, 28, 
2020/3/5, 24, 34, 
2020/3/6, 22, 36, 
2020/3/7, 24, 37, 
2020/3/8, 31, 33, 
2020/3/9, 27, 25, 
2020/3/10, 27, 27, 
2020/3/11, 41, 29, 
2020/3/12, 44, 27, 
2020/3/13, 42, 29, 
2020/3/14, 50, 26, 
2020/3/15, 52, 18, 
2020/3/16, 45, 24, 
2020/3/17, 41, 23, 
2020/3/18, 41, 25, 
2020/3/19, 45, 26, 
2020/3/20, 55, 29, 
2020/3/21, 23, 15, 
2020/3/22, 19, 5, 
2020/3/23, 20, 23, 
2020/3/24, 46, 33, 
2020/3/25, 47, 40, 
2020/3/26, 53, 37, 
2020/3/27, 66, 31, 
2020/3/28, 55, 37, 
2020/3/29, 40, 8, 
2019/10/2, 26, 36, 
2019/10/3, 32, 34, 
2019/10/4, 30, 35, 
2019/10/5, 26, 39, 
2019/10/6, 29, 50, 
2019/10/7, 38, 34, 
2019/10/8, 26, 51, 
2019/10/9, 28, 33, 
2019/10/10, 37, 24, 
2019/10/11, 20, 28, 
2019/10/12, 17, 32, 
2019/10/13, 15, 36, 
2019/10/14, 27, 28, 
2019/10/15, 32, 23, 
2019/10/16, 25, 27, 
2019/10/17, 24, 31, 
2019/10/18, 22, 46, 
2019/10/19, 36, 34, 
2019/10/20, 31, 27, 
2019/10/21, 42, 31, 
2019/10/22, 23, 39, 
2019/10/23, 19, 38, 
2019/10/24, 22, 27, 
2019/10/25, 22, 24, 
2019/10/26, 12, 29, 
2019/10/27, 22, 42, 
2019/10/28, 33, 30, 
2019/10/29, 20, 15, 
2019/10/30, 19, 16, 
2019/10/31, 12, 23, 
2019/11/1, 24, 31, 
2019/11/2, 29, 37, 
2019/11/3, 36, 46, 
2019/11/4, 46, 30, 
2019/11/5, 30, 24, 
2019/11/6, 26, 31, 
2019/11/7, 24, 25, 
2019/11/8, 36, 11, 
2019/11/9, 20, 28, 
2019/11/10, 37, 30, 
2019/11/11, 40, 21, 
2019/11/12, 21, 25, 
2019/11/13, 21, 18, 
2019/11/14, 26, 17, 
2019/11/15, 35, 31, 
2019/11/16, 40, 35, 
2019/11/17, 49, 37, 
2019/11/18, 58, 41, 
2019/11/19, 40, 33, 
2019/11/20, 41, 26, 
2019/11/21, 33, 26, 
2019/11/22, 27, 16, 
2019/11/23, 20, 21, 
2019/11/24, 21, 35, 
2019/11/25, 35, 33, 
2019/11/26, 33, 17, 
2019/11/27, 60, 26, 
2019/11/28, 25, 22, 
2019/11/29, 35, 10, 
2019/11/30, 38, 21, 
2019/12/1, 42, 28, 
2019/12/2, 19, 28, 
2019/12/3, 19, 33, 
2019/12/4, 30, 36, 
2019/12/5, 30, 25, 
2019/12/6, 45, 29, 
2019/12/7, 26, 36, 
2019/12/8, 42, 38, 
2019/12/9, 66, 26, 
2019/12/10, 56, 20, 
2019/12/11, 10, 16, 
2019/12/12, 26, 24, 
2019/12/13, 36, 28, 
2019/12/14, 29, 31, 
2019/12/15, 30, 27, 
2019/12/16, 65, 23, 
2019/12/17, 37, 28, 
2019/12/18, 18, 31, 
2019/12/19, 29, 34, 
2019/12/20, 35, 26, 
2019/12/21, 19, 26, 
2019/12/22, 27, 31, 
2019/12/23, 47, 37, 
2019/12/24, 43, 41, 
2019/12/25, 49, 38, 
2019/12/26, 51, 24, 
2019/12/27, 19, 27, 
2019/12/28, 25, 21, 
2019/12/29, 24, 33, 
2019/12/30, 12, , 
2019/7/2, 47, 28, 
2019/7/3, 35, 22, 
2019/7/4, 54, 23, 
2019/7/5, 64, 23, 
2019/7/6, 51, 24, 
2019/7/7, 44, 25, 
2019/7/8, 32, 30, 
2019/7/9, 39, 29, 
2019/7/10, 64, 39, 
2019/7/11, 39, 36, 
2019/7/12, 23, 43, 
2019/7/13, 40, 38, 
2019/7/14, 38, 31, 
2019/7/15, 39, 39, 
2019/7/16, 45, 25, 
2019/7/17, 36, 22, 
2019/7/18, 30, 26, 
2019/7/19, 30, 27, 
2019/7/20, 37, 26, 
2019/7/21, 55, 25, 
2019/7/22, 59, 35, 
2019/7/23, 44, 36, 
2019/7/24, 31, 44, 
2019/7/25, 37, 65, 
2019/7/26, 40, 66, 
2019/7/27, 45, 55, 
2019/7/28, 39, 21, 
2019/7/29, 57, 24, 
2019/7/30, 45, 28, 
2019/7/31, 51, 37, 
2019/8/1, 60, 40, 
2019/8/2, 45, 45, 
2019/8/3, 35, 45, 
2019/8/4, 36, 41, 
2019/8/5, 27, 43, 
2019/8/6, 25, 38, 
2019/8/7, 39, 25, 
2019/8/8, 51, 28, 
2019/8/9, 51, 25, 
2019/8/10, 42, 25, 
2019/8/11, 41, 26, 
2019/8/12, 35, 31, 
2019/8/13, 36, 35, 
2019/8/14, 35, 41, 
2019/8/15, 38, 45, 
2019/8/16, 37, 49, 
2019/8/17, 46, 29, 
2019/8/18, 44, 26, 
2019/8/19, 53, 26, 
2019/8/20, 37, 26, 
2019/8/21, 71, 29, 
2019/8/22, 57, 30, 
2019/8/23, 35, 34, 
2019/8/24, 22, 36, 
2019/8/25, 41, 40, 
2019/8/26, 54, 37, 
2019/8/27, 61, 30, 
2019/8/28, 50, 34, 
2019/8/29, 39, 37, 
2019/8/30, 38, 33, 
2019/8/31, 40, 30, 
2019/9/1, 31, 41, 
2019/9/2, 31, 41, 
2019/9/3, 49, 42, 
2019/9/4, 37, 40, 
2019/9/5, 41, 31, 
2019/9/6, 33, 50, 
2019/9/7, 34, 40, 
2019/9/8, 41, 28, 
2019/9/9, 29, 27, 
2019/9/10, 20, 32, 
2019/9/11, 23, 21, 
2019/9/12, 29, 33, 
2019/9/13, 24, 43, 
2019/9/14, 31, 47, 
2019/9/15, 47, 42, 
2019/9/16, 40, 44, 
2019/9/17, 34, 35, 
2019/9/18, 24, 37, 
2019/9/19, 25, 32, 
2019/9/20, 48, 24, 
2019/9/21, 28, 34, 
2019/9/22, 35, 28, 
2019/9/23, 24, 30, 
2019/9/24, 33, 27, 
2019/9/25, 23, 32, 
2019/9/26, 23, 37, 
2019/9/27, 22, 37, 
2019/9/28, 23, 27, 
2019/9/29, 25, 27, 
2019/9/30, 31, 17, 
2019/10/1, 34, 28, 
2019/4/2, 25, 42, 
2019/4/3, 31, 32, 
2019/4/4, 30, 29, 
2019/4/5, 43, 38, 
2019/4/6, 57, 24, 
2019/4/7, 72, 34, 
2019/4/8, 32, 41, 
2019/4/9, 29, 51, 
2019/4/10, 32, 41, 
2019/4/11, 39, 40, 
2019/4/12, 29, 34, 
2019/4/13, 38, 34, 
2019/4/14, 39, 38, 
2019/4/15, 18, 41, 
2019/4/16, 28, 33, 
2019/4/17, 32, 28, 
2019/4/18, 57, 34, 
2019/4/19, 24, 37, 
2019/4/20, 14, 46, 
2019/4/21, 23, 35, 
2019/4/22, 26, 31, 
2019/4/23, 29, 32, 
2019/4/24, 60, 30, 
2019/4/25, 30, 36, 
2019/4/26, 21, 47, 
2019/4/27, 34, 46, 
2019/4/28, 34, 34, 
2019/4/29, 27, 25, 
2019/4/30, 48, 18, 
2019/5/1, 66, 20, 
2019/5/2, 57, 30, 
2019/5/3, 47, 34, 
2019/5/4, 31, 36, 
2019/5/5, 22, 43, 
2019/5/6, 34, 26, 
2019/5/7, 36, 28, 
2019/5/8, 52, 30, 
2019/5/9, 40, 27, 
2019/5/10, 66, 17, 
2019/5/11, 21, 19, 
2019/5/12, 20, 28, 
2019/5/13, 20, 38, 
2019/5/14, 33, 42, 
2019/5/15, 44, 40, 
2019/5/16, 42, 34, 
2019/5/17, 42, 23, 
2019/5/18, 49, 20, 
2019/5/19, 69, 37, 
2019/5/20, 82, 22, 
2019/5/21, 68, 45, 
2019/5/22, 55, 24, 
2019/5/23, 82, 19, 
2019/5/24, 62, 19, 
2019/5/25, 50, 21, 
2019/5/26, 45, 24, 
2019/5/27, 42, 27, 
2019/5/28, 46, 26, 
2019/5/29, 45, , 
2019/5/30, 55, 40, 
2019/5/31, 53, 35, 
2019/6/1, 43, 27, 
2019/6/2, 32, 24, 
2019/6/3, 21, 21, 
2019/6/4, 29, 13, 
2019/6/5, 24, 22, 
2019/6/6, 21, 39, 
2019/6/7, 25, 43, 
2019/6/8, 33, 67, 
2019/6/9, 30, 41, 
2019/6/10, 49, 31, 
2019/6/11, 29, 30, 
2019/6/12, 36, 45, 
2019/6/13, 42, 70, 
2019/6/14, 42, 44, 
2019/6/15, 38, 26, 
2019/6/16, 34, 22, 
2019/6/17, 44, 47, 
2019/6/18, 20, 42, 
2019/6/19, 31, 30, 
2019/6/20, 46, 27, 
2019/6/21, 64, 19, 
2019/6/22, 60, 21, 
2019/6/23, 52, 21, 
2019/6/24, 53, 34, 
2019/6/25, 51, 36, 
2019/6/26, 33, 20, 
2019/6/27, 60, 22, 
2019/6/28, 63, 27, 
2019/6/29, 62, 24, 
2019/1/2, 64, 10, 
2019/1/3, 29, 21, 
2019/1/4, 23, 28, 
2019/1/5, 28, 35, 
2019/1/6, 38, 32, 
2019/1/7, 32, 27, 
2019/1/8, 23, 24, 
2019/1/9, 23, 26, 
2019/1/10, 12, 31, 
2019/1/11, 16, 25, 
2019/1/12, 21, 24, 
2019/1/13, 19, 22, 
2019/1/14, 19, 14, 
2019/1/15, 39, 10, 
2019/1/16, 54, 12, 
2019/1/17, 43, 16, 
2019/1/18, 17, 9, 
2019/1/19, 39, 24, 
2019/1/20, 18, 26, 
2019/1/21, 20, 34, 
2019/1/22, 36, 24, 
2019/1/23, 21, 28, 
2019/1/24, 21, 30, 
2019/1/25, 23, 29, 
2019/1/26, 15, 26, 
2019/1/27, 23, 34, 
2019/1/28, 28, 33, 
2019/1/29, 30, 28, 
2019/1/30, 10, 26, 
2019/1/31, 19, 23, 
2019/2/1, 20, 21, 
2019/2/2, 23, 21, 
2019/2/3, 36, , 
2019/2/4, 48, 8, 
2019/2/5, 56, 20, 
2019/2/6, 71, 22, 
2019/2/7, 69, 30, 
2019/2/8, 44, 24, 
2019/2/9, 21, 21, 
2019/2/10, 28, 10, 
2019/2/11, 24, 10, 
2019/2/12, 37, 29, 
2019/2/13, 24, 33, 
2019/2/14, 20, 31, 
2019/2/15, 26, 34, 
2019/2/16, 47, 19, 
2019/2/17, 49, 33, 
2019/2/18, 32, 31, 
2019/2/19, 15, 21, 
2019/2/20, 21, 33, 
2019/2/21, 22, 20, 
2019/2/22, 22, 12, 
2019/2/23, 45, 36, 
2019/2/24, 20, 37, 
2019/2/25, 22, 34, 
2019/2/26, 24, 20, 
2019/2/27, 30, 31, 
2019/2/28, 44, 12, 
2019/3/1, 38, 12, 
2019/3/2, 53, 8, 
2019/3/3, 65, 24, 
2019/3/4, 30, 28, 
2019/3/5, 33, 31, 
2019/3/6, 22, 37, 
2019/3/7, 35, 30, 
2019/3/8, 42, 23, 
2019/3/9, 32, 32, 
2019/3/10, 37, 19, 
2019/3/11, 48, 13, 
2019/3/12, 47, 20, 
2019/3/13, 43, 38, 
2019/3/14, 31, 40, 
2019/3/15, 41, 33, 
2019/3/16, 11, 35, 
2019/3/17, 16, 41, 
2019/3/18, 26, 41, 
2019/3/19, 36, 42, 
2019/3/20, 40, 47, 
2019/3/21, 49, 49, 
2019/3/22, 44, 43, 
2019/3/23, 40, 37, 
2019/3/24, 38, 32, 
2019/3/25, 34, 38, 
2019/3/26, 47, 39, 
2019/3/27, 28, 40, 
2019/3/28, 39, 39, 
2019/3/29, 40, 33, 
2019/3/30, 34, 28, 
2019/3/31, 26, 33, 
2019/4/1, 19, 33, 
2018/10/2, 23, 24, 
2018/10/3, 14, 23, 
2018/10/4, 21, 26, 
2018/10/5, 20, 23, 
2018/10/6, 18, 27, 
2018/10/7, 21, 22, 
2018/10/8, 20, 21, 
2018/10/9, 20, 20, 
2018/10/10, 12, 28, 
2018/10/11, 13, 27, 
2018/10/12, 13, 32, 
2018/10/13, 19, 20, 
2018/10/14, 21, 21, 
2018/10/15, 21, 13, 
2018/10/16, 5, 15, 
2018/10/17, 6, 15, 
2018/10/18, 7, 16, 
2018/10/19, 22, 10, 
2018/10/20, 15, 19, 
2018/10/21, 10, 30, 
2018/10/22, 17, 20, 
2018/10/23, 19, 25, 
2018/10/24, 11, 17, 
2018/10/25, 15, 19, 
2018/10/26, 10, 26, 
2018/10/27, 25, 29, 
2018/10/28, 33, 36, 
2018/10/29, 28, 30, 
2018/10/30, 25, 27, 
2018/10/31, 20, 19, 
2018/11/1, 13, 25, 
2018/11/2, 8, 28, 
2018/11/3, 18, 32, 
2018/11/4, 24, 22, 
2018/11/5, 10, 28, 
2018/11/6, 33, 18, 
2018/11/7, 55, 20, 
2018/11/8, 75, 9, 
2018/11/9, 43, 25, 
2018/11/10, 13, 24, 
2018/11/11, 14, 17, 
2018/11/12, 35, 23, 
2018/11/13, 15, 27, 
2018/11/14, 25, 27, 
2018/11/15, 38, 30, 
2018/11/16, 47, 34, 
2018/11/17, 50, 29, 
2018/11/18, 55, 14, 
2018/11/19, 26, 17, 
2018/11/20, 35, 27, 
2018/11/21, 36, 16, 
2018/11/22, 43, 27, 
2018/11/23, 48, 25, 
2018/11/24, 40, 29, 
2018/11/25, 40, 27, 
2018/11/26, 37, 26, 
2018/11/27, 22, 26, 
2018/11/28, 37, 31, 
2018/11/29, 42, 22, 
2018/11/30, 53, 23, 
2018/12/1, 42, 32, 
2018/12/2, 23, 29, 
2018/12/3, 33, 27, 
2018/12/4, 22, 20, 
2018/12/5, 20, 16, 
2018/12/6, 26, 20, 
2018/12/7, 35, 10, 
2018/12/8, 20, 17, 
2018/12/9, 7, 26, 
2018/12/10, 14, 29, 
2018/12/11, 22, 27, 
2018/12/12, 34, 20, 
2018/12/13, 26, 27, 
2018/12/14, 24, 27, 
2018/12/15, 13, 29, 
2018/12/16, 23, 26, 
2018/12/17, 37, 28, 
2018/12/18, 32, 25, 
2018/12/19, 32, 27, 
2018/12/20, 36, 29, 
2018/12/21, 18, 27, 
2018/12/22, 19, 34, 
2018/12/23, 38, 30, 
2018/12/24, 29, 22, 
2018/12/25, 38, 26, 
2018/12/26, 21, 24, 
2018/12/27, 20, 28, 
2018/12/28, 16, 22, 
2018/12/29, 15, 16, 
2018/12/30, 22, 15, 
2018/12/31, 37, , 
2018/7/2, 93, 26, 
2018/7/3, 67, 29, 
2018/7/4, 69, 28, 
2018/7/5, 57, 30, 
2018/7/6, 35, 38, 
2018/7/7, 35, 38, 
2018/7/8, 23, 37, 
2018/7/9, 21, 20, 
2018/7/10, 33, 25, 
2018/7/11, 56, 28, 
2018/7/12, 49, 29, 
2018/7/13, 54, 25, 
2018/7/14, 44, 24, 
2018/7/15, 40, 21, 
2018/7/16, 87, 23, 
2018/7/17, 95, 29, 
2018/7/18, 69, 31, 
2018/7/19, 57, 34, 
2018/7/20, 54, 32, 
2018/7/21, 55, 29, 
2018/7/22, 59, 31, 
2018/7/23, 64, 45, 
2018/7/24, 43, 53, 
2018/7/25, 54, 55, 
2018/7/26, 51, 62, 
2018/7/27, 41, 61, 
2018/7/28, 48, 35, 
2018/7/29, 65, 35, 
2018/7/30, 50, 41, 
2018/7/31, 37, 49, 
2018/8/1, 33, 56, 
2018/8/2, 21, 76, 
2018/8/3, 26, 58, 
2018/8/4, 31, 33, 
2018/8/5, 24, 23, 
2018/8/6, 40, 38, 
2018/8/7, 19, 28, 
2018/8/8, 21, 30, 
2018/8/9, 18, 32, 
2018/8/10, 21, 34, 
2018/8/11, 35, 23, 
2018/8/12, 35, 17, 
2018/8/13, 59, 20, 
2018/8/14, 67, 23, 
2018/8/15, 66, 27, 
2018/8/16, 41, 26, 
2018/8/17, 41, 26, 
2018/8/18, 40, 29, 
2018/8/19, 43, 29, 
2018/8/20, 30, 33, 
2018/8/21, 26, 30, 
2018/8/22, 24, 34, 
2018/8/23, 23, 36, 
2018/8/24, 28, 29, 
2018/8/25, 25, 28, 
2018/8/26, 23, 28, 
2018/8/27, 29, 27, 
2018/8/28, 24, 26, 
2018/8/29, 25, 25, 
2018/8/30, 24, 34, 
2018/8/31, 18, 37, 
2018/9/1, 12, 38, 
2018/9/2, 13, 33, 
2018/9/3, 24, 29, 
2018/9/4, 25, 27, 
2018/9/5, 16, 32, 
2018/9/6, 14, 25, 
2018/9/7, 13, 24, 
2018/9/8, 10, 14, 
2018/9/9, 11, 21, 
2018/9/10, 5, 17, 
2018/9/11, 13, 23, 
2018/9/12, 16, 28, 
2018/9/13, 8, 20, 
2018/9/14, 14, 21, 
2018/9/15, 12, 20, 
2018/9/16, 9, 19, 
2018/9/17, 10, 26, 
2018/9/18, 14, 21, 
2018/9/19, 22, 22, 
2018/9/20, 23, 19, 
2018/9/21, 19, 15, 
2018/9/22, 17, 17, 
2018/9/23, 8, 16, 
2018/9/24, 6, 32, 
2018/9/25, 22, 19, 
2018/9/26, 25, 24, 
2018/9/27, 32, 39, 
2018/9/28, 16, 33, 
2018/9/29, 37, 19, 
2018/9/30, 21, 26, 
2018/10/1, 20, 24, 
2018/4/2, 29, 26, 2
2018/4/3, 35, 35, 3
2018/4/4, 45, 39, 2
2018/4/5, 12, 34, 4
2018/4/6, 29, 24, 3
2018/4/7, 40, 23, 1
2018/4/8, 17, 33, 3
2018/4/9, 24, 28, 4
2018/4/10, 39, 44, 3
2018/4/11, 28, 48, 7
2018/4/12, 29, 34, 2
2018/4/13, 34, 32, 2
2018/4/14, 53, 39, 1
2018/4/15, 28, 44, 4
2018/4/16, 26, 44, 5
2018/4/17, 29, 42, 4
2018/4/18, 34, 50, 3
2018/4/19, 42, 44, 3
2018/4/20, 21, 37, 6
2018/4/21, 36, 32, 4
2018/4/22, 41, 40, 2
2018/4/23, 13, 64, 7
2018/4/24, 26, 55, 8
2018/4/25, 29, 43, 5
2018/4/26, 24, 47, 5
2018/4/27, 14, 50, 7
2018/4/28, 26, 58, 7
2018/4/29, 35, 54, 3
2018/4/30, 30, 36, 2
2018/5/1, 27, 26, 3
2018/5/2, 38, 24, 2
2018/5/3, 48, 29, 2
2018/5/4, 54, 30, 
2018/5/5, 26, 40, 
2018/5/6, 16, 54, 
2018/5/7, 30, 66, 
2018/5/8, 37, 46, 
2018/5/9, 29, 44, 
2018/5/10, 31, 44, 
2018/5/11, 33, 26, 
2018/5/12, 34, , 
2018/5/13, 46, , 
2018/5/14, 52, 29, 
2018/5/15, 36, 37, 
2018/5/16, 39, 47, 
2018/5/17, 35, 46, 
2018/5/18, 28, 38, 
2018/5/19, 40, 30, 
2018/5/20, 39, 30, 
2018/5/21, 30, 40, 
2018/5/22, 17, 31, 
2018/5/23, 21, 35, 
2018/5/24, 18, 43, 
2018/5/25, 21, 41, 
2018/5/26, 24, 41, 
2018/5/27, 22, 45, 
2018/5/28, 21, 49, 
2018/5/29, 24, 44, 
2018/5/30, 22, 34, 
2018/5/31, 20, 35, 
2018/6/1, 26, 34, 
2018/6/2, 56, 35, 
2018/6/3, 44, 38, 
2018/6/4, 37, 41, 
2018/6/5, 23, 36, 
2018/6/6, 32, 39, 
2018/6/7, 34, 32, 
2018/6/8, 34, 28, 
2018/6/9, 37, 25, 
2018/6/10, 54, 24, 
2018/6/11, 69, 26, 
2018/6/12, 56, 26, 
2018/6/13, 40, 27, 
2018/6/14, 33, 29, 
2018/6/15, 21, 27, 
2018/6/16, 27, 25, 
2018/6/17, 37, 27, 
2018/6/18, 24, 27, 
2018/6/19, 13, 15, 
2018/6/20, 12, 23, 
2018/6/21, 12, 27, 
2018/6/22, 34, 31, 
2018/6/23, 54, 27, 
2018/6/24, 45, 26, 
2018/6/25, 38, 27, 
