date, pm25, pm10, no2, so2, co
2022/11/28, 123, 101, 37, 2, 13
2022/11/29, 167, 92, 38, 1, 13
2022/11/30, 163, 143, 42, 1, 30
2022/12/1, 173, 34, , 1, 6
2022/12/2, 71, 83, , 1, 15
2022/12/3, 147, 93, , 1, 15
2022/12/4, 149, 58, , 1, 8
2022/12/5, 122, 81, , 1, 8
2022/12/6, 156, 79, , 1, 9
2022/12/14, 209, 124, , 1, 15
2022/12/15, 181, 196, , 1, 22
2022/12/16, 229, 119, , 1, 17
2022/12/17, 176, 34, , 1, 8
2022/12/18, 78, 65, , 1, 10
2022/12/19, 131, 97, , 1, 18
2022/12/20, 168, 74, , 2, 19
2022/12/21, 137, 96, , 2, 20
2022/12/22, 99, 39, , 1, 7
2022/12/23, 77, 82, , 1, 8
2022/12/24, 149, 91, , 1, 14
2022/12/25, 160, 104, , 1, 19
2022/12/26, 176, 178, , 1, 32
2022/12/27, 223, 141, , 1, 31
2022/12/28, 129, 90, , 1, 23
2022/12/29, 131, 60, , 1, 17
2022/12/30, 103, 39, , 1, 7
2022/12/31, 93, 83, , 1, 11
2023/1/1, 122, 54, , 1, 6
2023/1/2, 104, 34, , 1, 12
2022/9/7, 64, 23, 54, 2, 9
2022/9/8, 61, 21, 54, 2, 8
2022/9/9, 67, 17, 29, 1, 9
2022/9/10, 72, 25, 37, 2, 4
2022/9/11, 78, 35, 51, 2, 7
2022/9/12, 73, 24, 22, 1, 3
2022/9/13, 73, 23, 20, 1, 4
2022/9/14, 75, 26, 30, 2, 6
2022/9/15, 61, 18, 27, 2, 4
2022/9/16, 69, 23, 44, 2, 8
2022/9/17, 83, 25, 10, 2, 9
2022/9/18, 78, 28, , 2, 7
2022/9/19, 67, 7, , 2, 8
2022/9/20, 71, 32, , 2, 9
2022/9/21, 70, 34, , 2, 10
2022/9/22, 77, 27, , 2, 8
2022/9/23, 63, 28, , 2, 8
2022/9/24, 59, 24, , 2, 5
2022/9/25, 66, 27, , 2, 8
2022/9/26, 62, 17, , 2, 7
2022/9/27, 61, 26, , 2, 6
2022/9/28, 62, 20, , 2, 4
2022/9/29, 56, 15, , 3, 5
2022/9/30, 60, 22, , 2, 4
2022/10/1, 61, 19, , 2, 4
2022/4/2, 83, 26, 37, 2, 7
2022/4/3, 66, 49, 34, 2, 5
2022/4/4, 76, 50, 52, 2, 8
2022/4/5, 80, 52, 59, 3, 8
2022/4/6, 88, 36, 49, 2, 9
2022/4/7, 73, 25, 37, 2, 6
2022/4/8, 55, 26, 18, 2, 5
2022/4/9, 64, 39, 22, 2, 5
2022/4/10, 75, 27, 16, 2, 5
2022/4/11, 65, 25, 23, 2, 7
2022/4/12, 73, 32, 28, 2, 7
2022/4/13, 72, 23, 20, 2, 7
2022/4/14, 38, 27, 16, 2, 7
2022/4/15, 56, 23, , 2, 8
2022/4/16, 44, 17, , 2, 7
2022/4/17, 41, 20, , 2, 7
2022/4/18, 29, 40, , 2, 11
2022/4/19, 82, 23, , 2, 5
2022/4/20, 54, 51, , 2, 6
2022/4/21, 85, 45, , 2, 8
2022/4/22, 87, 33, , 2, 8
2022/4/23, 67, 10, , 2, 5
2022/4/24, 36, 17, , 2, 5
2022/4/25, 46, 20, , 2, 4
2022/4/26, 34, 22, , 2, 5
2022/4/27, 36, 25, , 2, 8
2022/4/28, 51, 16, 5, 2, 5
2022/4/29, 29, 32, 31, 2, 8
2022/4/30, 48, 35, 40, 2, 9
2022/5/1, 69, 33, 26, 2, 7
2022/5/2, 95, 26, 29, 2, 7
2022/1/4, 112, 21, 33, 2, 8
2022/1/5, 44, , , , 
2022/1/6, 110, 74, 14, 2, 6
2022/1/7, 112, , , , 
2022/1/10, 122, 58, 21, 1, 5
2022/1/11, 107, 56, 24, 1, 4
2022/1/12, 113, 78, 34, 1, 17
2022/1/13, 142, 26, 22, 1, 11
2022/1/14, 71, 28, 23, 1, 9
2022/1/15, 55, 39, 22, 2, 9
2022/1/16, 71, 40, 20, 1, 9
2022/1/17, 69, 53, 17, 1, 7
2022/1/18, 101, 52, 17, 1, 9
2022/1/19, 82, 52, 21, 1, 13
2022/1/20, 86, 18, 13, 1, 5
2022/1/21, 37, 50, 23, 1, 9
2022/1/22, 91, 86, 30, 1, 12
2022/1/23, 145, 89, 33, 2, 10
2022/1/24, 150, 38, 24, 2, 6
2022/1/25, 99, 85, 29, 2, 8
2022/1/26, 163, 66, 30, 1, 6
2022/1/27, 126, 86, 48, 1, 18
2022/1/28, 123, 98, 46, 1, 16
2022/1/29, 160, 74, 39, 1, 13
2022/1/30, 137, 52, 26, 2, 8
2022/1/31, 107, 96, 47, 1, 17
2022/2/1, 119, 108, 42, 2, 11
2022/2/2, 173, 102, 41, 2, 13
2022/2/3, 173, 113, 45, 2, 19
2022/2/4, 184, 114, 36, 1, 14
2022/2/5, 180, 94, 37, 2, 11
2022/2/6, 164, 68, 38, 2, 12
2022/2/7, 117, 23, 19, 1, 5
2022/2/8, 54, 54, 18, 1, 6
2022/2/9, 94, 40, 18, 1, 5
2022/2/10, 77, 45, 26, 1, 11
2022/2/11, 78, 74, 37, 2, 15
2022/2/12, 121, 82, 29, 2, 13
2022/2/13, 133, 64, 22, 1, 7
2022/2/14, 109, 49, 29, 2, 10
2022/2/15, 112, 18, 18, 2, 4
2022/2/16, 53, 26, 20, 1, 2
2022/2/17, 63, 42, 33, 1, 10
2022/2/18, 81, 59, 35, 2, 13
2022/2/19, 133, 85, 37, 2, 15
2022/2/20, 158, 112, 48, 2, 17
2022/2/21, 134, 75, 43, 2, 16
2022/2/22, 100, 68, 47, 2, 15
2022/2/23, 124, 63, 42, 2, 13
2022/2/24, 114, 72, 53, 2, 14
2022/2/25, 109, 84, 46, 2, 15
2022/2/26, 128, 112, 33, 2, 15
2022/2/27, 148, 102, 26, 2, 12
2022/2/28, 165, 79, 30, 2, 12
2022/3/1, 138, 63, 30, 2, 11
2022/3/2, 99, 44, 20, 2, 5
2022/3/3, 96, 34, 20, 2, 9
2022/3/4, 58, 39, 35, 2, 11
2022/3/5, 65, 49, 47, 2, 11
2022/3/6, 80, 48, 24, 2, 7
2022/3/7, 98, 31, 16, 2, 7
2022/3/8, 59, 22, 16, 2, 4
2022/3/9, 44, 43, 25, 2, 6
2022/3/10, 76, 28, 18, 2, 8
2022/3/11, 44, 49, 27, 2, 9
2022/3/12, 79, 26, 21, 2, 5
2022/3/13, 43, 28, 24, 2, 7
2022/3/14, 48, 29, 17, 1, 4
2022/3/15, 57, 38, 20, 2, 4
2022/3/16, 67, 32, 18, 2, 5
2022/3/17, 46, 75, 26, 2, 11
2022/3/18, 113, 21, 16, 1, 7
2022/3/19, 62, 18, 13, 2, 3
2022/3/20, 38, 34, 17, 2, 3
2022/3/21, 68, 42, 26, 2, 7
2022/3/22, 75, 27, 15, 2, 2
2022/3/23, 55, 35, 20, 2, 4
2022/3/24, 62, 27, 18, 2, 5
2022/3/25, 44, 57, 21, 2, 6
2022/3/26, 90, 74, 46, 2, 11
2022/3/27, 116, 14, 14, 2, 2
2022/3/28, 40, 44, 9, 1, 3
2022/3/29, 63, 35, 30, 3, 6
2022/3/30, 51, 28, 14, 2, 4
2022/3/31, 41, 36, 35, 2, 10
2022/4/1, 49, 40, 44, 3, 9
2021/10/2, 47, 24, , 2, 4
2021/10/3, 52, 18, , 1, 5
2021/10/4, 38, 16, , 1, 4
2021/10/5, 62, 16, , 1, 3
2021/10/6, 62, 16, , 1, 2
2021/10/7, 41, 57, , 1, 8
2021/10/8, 89, 44, , 1, 8
2021/10/9, 84, 54, , 1, 9
2021/10/10, 96, 18, , 2, 6
2021/10/11, 63, 26, , 1, 4
2021/11/5, 82, 50, , 1, 7
2021/11/6, 117, 68, , 1, 8
2021/11/7, 153, 78, , 1, 10
2021/11/8, 158, 118, , 1, 15
2021/11/9, 188, 80, , 1, 15
2021/11/10, 177, 102, , 1, 17
2021/11/11, 149, 83, , 1, 16
2021/11/12, 165, 58, , 1, 16
2021/11/13, 137, 56, , 1, 14
2021/11/14, 108, 74, , 1, 12
2021/11/15, 116, 31, , 1, 6
2021/11/16, 63, 39, 8, 1, 8
2021/11/17, 123, 47, 23, 2, 11
2021/11/18, 91, 35, 17, 1, 8
2021/11/19, 69, 36, 23, 1, 7
2021/11/20, 94, 59, 36, 1, 13
2021/11/21, 142, 18, 34, 1, 11
2021/11/22, 76, 33, 39, 1, 10
2021/11/23, 83, 74, 62, 2, 22
2021/11/24, 119, 51, 53, 2, 18
2021/11/25, 123, 55, 52, 2, 20
2021/11/26, 115, 21, 17, 1, 4
2021/11/27, 60, 66, 17, 1, 6
2021/11/28, 87, 65, 31, 1, 13
2021/11/29, 149, 41, 46, 2, 17
2021/11/30, 112, 113, 62, 2, 24
2021/12/1, 137, 58, 48, 2, 17
2021/12/2, 136, 60, , 2, 19
2021/12/3, 108, 64, , 2, 21
2021/12/4, 133, 84, , 2, 22
2021/12/5, 130, 76, , 2, 16
2021/12/6, 171, 64, , 2, 11
2021/12/7, 117, 58, , 2, 12
2021/12/8, 166, 41, , 1, 8
2021/12/9, 98, 37, 9, 1, 5
2021/12/10, 74, 75, 32, 1, 18
2021/12/11, 150, 51, 36, 2, 19
2021/12/12, 151, 53, 29, 2, 12
2021/12/13, 131, 45, 29, 2, 14
2021/12/14, 166, 67, 32, 1, 13
2021/12/15, 131, 101, 32, 1, 12
2021/12/16, 166, 63, 27, 1, 12
2021/12/17, 139, 71, 43, 2, 21
2021/12/18, 154, 67, 47, 2, 23
2021/12/19, 103, 50, 39, 2, 13
2021/12/20, 64, 45, 33, 1, 13
2021/12/21, 69, 68, 46, 1, 20
2021/12/22, 96, 48, 35, 2, 16
2021/12/23, 85, 79, 44, 2, 18
2021/12/24, 119, 53, 23, 2, 7
2021/12/25, 110, 89, 24, 1, 14
2021/12/26, 135, 91, 27, 2, 20
2021/12/27, 154, 19, 20, 1, 5
2021/12/28, 56, 37, 25, 1, 8
2021/12/29, 77, 88, 50, 1, 24
2021/12/30, 150, 56, 39, 1, 13
2021/12/31, 105, 84, 44, 2, 17
2022/1/1, 159, 122, 50, 2, 16
2022/1/2, 106, 98, 53, 1, 14
2022/1/3, 130, 63, 47, 2, 12
2021/7/9, 46, 31, 27, 1, 4
2021/7/10, 64, 37, 23, 1, 5
2021/7/11, 91, 54, 15, 1, 5
2021/7/12, 78, 37, 13, 1, 3
2021/7/13, 63, 29, 19, 1, 5
2021/7/14, 44, 24, 25, 1, 4
2021/7/15, 41, 19, 15, 1, 4
2021/7/16, 47, 18, 22, 1, 6
2021/7/17, 42, 15, 23, 1, 6
2021/7/18, 21, 13, 16, 1, 3
2021/7/19, 26, 19, 24, 1, 3
2021/7/20, 17, 17, 26, 1, 4
2021/7/21, 20, 6, 22, 1, 4
2021/7/22, 29, 13, 28, 1, 4
2021/7/23, 28, 13, 20, 1, 4
2021/7/24, 45, 25, 26, 1, 4
2021/7/25, 51, 21, 26, 1, 4
2021/7/26, 47, 17, 25, 1, 4
2021/7/27, 33, 11, 27, 1, 5
2021/7/28, 44, 20, 15, 1, 4
2021/7/29, 36, 20, 19, 1, 5
2021/7/30, 36, 11, 20, 1, 5
2021/7/31, 41, 14, 19, 1, 3
2021/8/1, 25, 15, 21, 1, 4
2021/8/2, 30, 13, 24, 1, 4
2021/8/4, 24, 3, 22, 1, 4
2021/8/5, 22, 20, , 1, 4
2021/8/6, 39, 19, , 1, 5
2021/8/7, 39, 14, , 2, 4
2021/8/8, 40, 18, , 2, 3
2021/8/9, 36, 13, , 1, 4
2021/8/10, 34, 17, , 1, 4
2021/8/11, 37, 12, , 1, 3
2021/8/12, 32, 15, , 1, 3
2021/8/13, 29, 14, , 2, 4
2021/8/14, 57, 26, , 1, 4
2021/8/15, 53, 26, , 1, 5
2021/8/16, 38, 15, , 1, 5
2021/8/17, 50, 24, , 1, 5
2021/8/18, 40, 27, , 1, 6
2021/8/19, 44, 28, 13, 1, 5
2021/8/20, 48, 22, 31, 1, 7
2021/8/21, 45, 31, 32, 1, 10
2021/8/24, 56, 23, 32, 2, 8
2021/8/25, 40, 22, 27, 2, 6
2021/8/26, 35, 15, 28, 1, 7
2021/8/27, 45, 19, 30, 1, 5
2021/8/28, 46, 13, 27, 1, 5
2021/8/29, 32, 19, 22, 1, 4
2021/8/30, 33, 16, 23, 1, 4
2021/8/31, 33, 14, 20, 1, 4
2021/9/1, 40, 19, 25, 1, 4
2021/9/2, 39, 16, 23, 1, 6
2021/9/3, 40, 16, 21, 2, 4
2021/9/4, 41, 20, 18, 2, 5
2021/9/11, 40, 21, 24, 2, 6
2021/9/12, 43, 25, 26, 1, 6
2021/9/13, 40, 14, 18, 1, 3
2021/9/14, 34, 20, 22, 1, 4
2021/9/15, 79, 22, 30, 1, 6
2021/9/16, 60, 23, 37, 2, 7
2021/9/17, 51, 29, 32, 2, 5
2021/9/18, 36, 25, 4, 2, 5
2021/9/19, 49, 15, , 2, 5
2021/9/20, 54, 9, , 1, 4
2021/9/21, 52, 15, , 2, 4
2021/9/22, 46, 26, , 2, 5
2021/9/23, 48, 22, , 2, 5
2021/9/24, 61, 29, , 2, 6
2021/9/25, 48, 21, , 2, 5
2021/9/26, 56, 23, , 1, 5
2021/9/27, 58, 24, , 1, 6
2021/9/28, 88, 43, , 1, 4
2021/9/29, 97, , , 1, 5
2021/9/30, 64, , , 1, 5
2021/10/1, 51, 28, 18, 2, 6
2021/4/2, 48, 19, 21, 1, 6
2021/4/3, 45, 39, 28, 1, 8
2021/4/4, 84, 31, 39, 1, 8
2021/4/5, 68, 16, 16, 1, 4
2021/4/6, 41, 36, 24, 1, 6
2021/4/7, 57, 31, 23, 1, 6
2021/4/8, 64, 24, 30, 1, 6
2021/4/9, 64, 31, 37, 1, 6
2021/4/10, 62, 28, 36, 1, 7
2021/4/11, 70, 29, 35, 1, 6
2021/4/12, 64, 30, 39, 1, 5
2021/4/13, 71, 25, 32, 1, 5
2021/4/14, 55, 38, 32, 1, 3
2021/4/15, 76, 40, 44, 1, 6
2021/4/16, 102, 36, 33, 1, 6
2021/4/17, 81, 25, 28, 1, 6
2021/4/18, 56, 16, 25, 1, 4
2021/4/19, 56, 14, 14, 1, 2
2021/4/20, 30, 17, 33, 1, 5
2021/4/21, 48, 14, 10, 1, 3
2021/4/22, 41, 30, 18, 1, 5
2021/4/23, 56, 22, 17, 1, 5
2021/4/24, 49, 29, 21, 2, 3
2021/4/25, 74, 52, 39, 1, 8
2021/4/26, 115, 28, 22, 2, 6
2021/4/27, 58, 35, 24, 2, 8
2021/4/28, 68, 30, 23, 2, 9
2021/4/29, 66, 24, 28, 1, 5
2021/4/30, 61, 25, 18, 1, 5
2021/5/1, 56, 14, 8, 1, 3
2021/5/2, 44, 39, 14, 1, 5
2021/5/3, 70, 23, 13, 1, 5
2021/5/4, 54, 27, 25, 1, 7
2021/5/5, 58, 45, 38, 1, 8
2021/5/6, 90, 38, 17, 1, 4
2021/5/7, 74, 22, 14, 1, 3
2021/5/8, 53, 17, 15, 1, 5
2021/5/9, 38, 20, 15, 1, 3
2021/5/10, 40, 37, 12, 1, 4
2021/5/11, 57, 16, 16, 1, 2
2021/5/12, 31, 11, 19, 1, 4
2021/5/13, 26, 19, 19, 1, 5
2021/5/14, 38, 22, 22, 2, 5
2021/5/15, 51, 23, 15, 1, 4
2021/5/16, 36, 19, 15, 1, 3
2021/5/17, 40, 21, 20, 1, 6
2021/5/18, 45, 20, 24, 1, 5
2021/5/19, 39, 18, 25, 2, 6
2021/5/20, 43, 13, 16, 1, 5
2021/5/21, 38, 16, 18, 1, 4
2021/5/22, 30, 18, 23, 1, 4
2021/5/23, 35, 26, 26, 2, 4
2021/5/24, 38, 45, 36, 1, 5
2021/5/25, 65, 20, 23, 1, 5
2021/5/26, 50, 20, 30, 2, 7
2021/5/27, 56, 19, 23, 1, 7
2021/5/28, 54, 21, 23, 1, 5
2021/5/29, 56, 20, 18, 1, 3
2021/5/30, 50, 17, 20, 1, 3
2021/5/31, 45, 12, 25, 1, 3
2021/6/1, 50, 9, 22, 1, 4
2021/6/2, 39, 21, 25, 1, 5
2021/6/3, 43, 14, 19, 1, 3
2021/6/4, 36, 11, 18, 1, 5
2021/6/5, 24, 16, 14, 1, 2
2021/6/6, 14, 23, 13, 2, 3
2021/6/8, 41, 31, 22, 1, 5
2021/6/9, 70, 23, 19, 1, 3
2021/6/10, 49, 12, 14, 1, 2
2021/6/11, 35, , 20, 1, 4
2021/6/12, 28, , 17, 1, 5
2021/6/13, 37, , 12, 1, 4
2021/6/14, 27, , 15, 1, 3
2021/6/15, 19, 12, 13, 1, 3
2021/6/16, 31, 12, 18, 1, 6
2021/6/17, 29, 11, 22, 1, 4
2021/6/18, 26, 10, 19, 1, 3
2021/6/19, 30, 8, 15, 1, 3
2021/6/20, 26, 20, 9, 2, 3
2021/6/21, 40, 19, 16, 1, 4
2021/6/22, 51, 16, 10, 1, 1
2021/6/23, 40, 12, 16, 1, 4
2021/1/5, 193, 123, , 1, 21
2021/1/6, 191, 120, , 1, 21
2021/1/7, 209, 157, , 1, 18
2021/1/8, 202, 154, , 1, 19
2021/1/9, 228, 172, , 1, 20
2021/1/10, 221, 71, , 1, 19
2021/1/11, 235, 64, , 1, 21
2021/1/12, 171, 46, , 1, 14
2021/1/13, 132, 43, 2, 1, 5
2021/1/14, 98, 54, 13, 1, 4
2021/1/15, 89, 109, 29, 1, 18
2021/1/16, 178, 55, 24, 1, 19
2021/1/17, 211, 126, 17, 1, 21
2021/1/18, 151, 56, 21, 1, 20
2021/1/19, 207, 35, 20, 1, 15
2021/1/20, 203, 42, 17, 1, 10
2021/1/21, 105, 82, 24, 1, 20
2021/1/22, 159, 14, 21, 1, 6
2021/1/23, 62, 28, 21, 1, 2
2021/1/24, 57, 20, 21, 1, 4
2021/1/25, 54, 119, 25, 1, 14
2021/1/26, 176, 105, , 2, 14
2021/1/27, 177, 106, , 1, 21
2021/1/28, 192, 106, 2, 1, 18
2021/1/29, 194, 173, , 1, 27
2021/1/30, 245, 144, , 1, 24
2021/1/31, 219, 89, , 1, 13
2021/2/1, 176, 39, , 2, 13
2021/2/2, 113, 74, , 1, 11
2021/2/3, 107, 80, , 1, 24
2021/2/4, 187, 71, , 1, 16
2021/2/5, 165, 46, , 1, 12
2021/2/6, 117, 69, , 1, 14
2021/2/7, 148, 34, , 1, 9
2021/2/8, 139, 47, , 1, 18
2021/2/9, 142, 26, , 1, 5
2021/2/10, 55, 64, , 1, 17
2021/2/11, 109, 112, , 1, 30
2021/2/12, 191, 99, , 1, 25
2021/2/13, 175, 73, , 1, 11
2021/2/14, 137, 82, , 1, 10
2021/2/15, 130, 99, , 1, 26
2021/2/16, 169, 53, , 1, 14
2021/2/17, 132, 65, , 1, 17
2021/2/18, 119, 76, , 1, 16
2021/2/19, 133, 59, , 1, 15
2021/2/20, 113, 35, , 1, 5
2021/2/21, 93, 50, , 1, 6
2021/2/22, 80, 73, , 1, 12
2021/2/23, 126, 70, 15, 1, 13
2021/2/24, 154, 45, 14, 1, 7
2021/2/25, 97, 18, , 1, 3
2021/2/26, 51, 42, , 1, 8
2021/2/27, 90, 98, , 2, 15
2021/2/28, 163, 82, , 2, 13
2021/3/1, 136, 45, , 2, 15
2021/3/2, 144, 32, , 2, 11
2021/3/3, 81, 26, , 1, 5
2021/3/4, 62, 51, , 2, 9
2021/3/5, 92, 25, , 1, 8
2021/3/6, 69, 38, , 2, 10
2021/3/7, 95, 24, , 2, 6
2021/3/8, 78, 37, , 2, 8
2021/3/9, 106, 48, 1, 1, 10
2021/3/10, 109, 46, , 2, 9
2021/3/11, 94, 30, , 1, 11
2021/3/12, 71, 39, , 2, 12
2021/3/13, 92, 27, , 1, 7
2021/3/14, 54, 36, , 1, 5
2021/3/15, 77, 38, , 1, 3
2021/3/16, 63, 64, , 1, 6
2021/3/17, 99, 53, , 1, 6
2021/3/18, 94, 46, 8, 1, 7
2021/3/19, 95, 55, 29, 1, 13
2021/3/20, 116, 42, 26, 1, 11
2021/3/21, 96, 36, 17, 1, 8
2021/3/22, 86, 31, 19, 1, 8
2021/3/23, 88, 41, 26, 1, 8
2021/3/24, 93, 28, 11, 1, 5
2021/3/25, 51, 32, 24, 1, 10
2021/3/26, 70, 13, 21, 1, 6
2021/3/27, 63, 26, 14, 1, 3
2021/3/28, 53, 10, 13, 1, 3
2021/3/29, 29, 16, 21, 1, 4
2021/3/30, 43, 13, 18, 1, 4
2021/3/31, 37, 24, 20, 1, 5
2021/4/1, 52, 15, 20, 1, 5
2020/10/2, 73, , , , 
2020/10/3, 85, , , , 
2020/10/4, 77, , , , 
2020/10/5, 56, , , , 
2020/10/6, 52, , , , 
2020/10/7, 53, , , , 
2020/10/8, 77, , , , 
2020/10/9, 78, , , , 
2020/10/10, 64, , , , 
2020/10/11, 75, , , , 
2020/10/12, 92, , , , 
2020/10/13, 104, , , , 
2020/10/14, 92, , , , 
2020/10/15, 98, , , , 
2020/10/16, 99, , , , 
2020/10/17, 104, , , , 
2020/10/18, 91, , , , 
2020/10/20, 72, , , , 
2020/10/21, 115, , , , 
2020/10/22, 83, , , , 
2020/10/23, 81, , , , 
2020/10/24, 89, , , , 
2020/10/25, 48, , , , 
2020/10/26, 41, , , , 
2020/10/27, 115, , , , 
2020/10/28, 94, , , , 
2020/10/29, 85, , , , 
2020/10/30, 78, , , , 
2020/10/31, 117, , , , 
2020/11/1, 103, , , , 
2020/11/2, 159, , , , 
