date, pm25, pm10, o3, no2, so2
2021/2/2, , 24, 10, 4, 3
2021/2/3, , 27, 6, 6, 3
2021/2/4, , 52, , , 
2021/2/6, , 22, 12, 2, 2
2021/2/7, , 25, 12, 3, 2
2021/2/8, , 33, 11, 5, 3
2021/2/9, , 22, 12, 5, 4
2021/2/10, , 22, 16, 4, 4
2021/2/11, , 22, 12, 5, 3
2021/2/12, , 23, 16, 2, 2
2021/2/13, , 22, 13, 2, 2
2021/2/14, , 27, 15, 5, 3
2021/2/15, , 23, 16, 3, 2
2021/2/16, , 25, 15, 2, 2
2021/2/17, , 21, 14, , 1
2021/2/18, , 19, 14, 1, 1
2021/2/19, , 13, 13, , 1
2021/2/20, , 15, 14, 2, 2
2021/2/21, , 20, 14, 5, 6
2021/2/22, , 25, 12, 3, 3
2021/2/23, , 27, 13, 2, 2
2021/2/24, , 31, 15, 1, 2
2021/2/25, , 26, 16, 1, 2
2021/2/26, , 22, 17, 2, 3
2021/2/27, , 23, 15, 3, 3
2021/2/28, , 22, 16, 3, 4
2021/3/1, , 26, 13, 1, 2
2021/3/2, , 23, 15, 2, 2
2021/3/3, , 27, 14, 1, 2
2021/3/4, , 23, 13, , 1
2021/3/5, , 16, 16, , 2
2021/3/6, , 21, 12, 4, 4
2021/3/7, , 24, 16, 3, 3
2021/3/8, , 21, 14, 1, 2
2021/3/9, , 21, 13, 3, 3
2021/3/10, , 25, 12, 2, 2
2021/3/11, , 25, 14, , 1
2021/3/12, , 33, 15, , 1
2021/3/13, , 19, 14, 2, 2
2021/3/14, , 19, 14, 5, 5
2021/3/15, , 28, 16, 3, 2
2021/3/16, , 25, 14, 1, 2
2021/3/17, , 23, 19, , 1
2021/3/18, , 20, 16, , 1
2021/3/19, , 16, 15, , 2
2021/3/20, , 19, 14, 2, 3
2021/3/21, , 21, 20, 1, 2
2021/3/22, , 24, 13, 1, 2
2021/3/23, , 31, 13, 1, 1
2021/3/24, , 62, 18, , 1
2021/3/25, , 49, 16, , 1
2021/3/26, , 16, , , 
2021/3/28, , 15, 17, 1, 2
2021/3/29, , 20, 18, 2, 2
2021/3/30, , 21, 19, 1, 2
2021/3/31, , 24, 17, , 1
2021/4/1, , 23, 17, , 1
2020/10/2, , 49, 13, , 1
2020/10/3, , 28, 14, , 1
2020/10/4, , 29, 14, , 1
2020/10/5, , 27, 17, 2, 1
2020/10/6, , 38, 14, 3, 2
2020/10/7, , 44, 14, 4, 2
2020/10/8, , 46, 13, 5, 2
2020/10/9, , 55, , , 
2020/10/12, , 48, 15, 3, 1
2020/10/13, , 47, 10, 1, 1
2020/10/14, , 33, 12, , 1
