date, pm25, pm10, o3, no2, co
2022/11/17, 154, , , , 
2022/11/18, 143, , , , 
2022/11/19, 130, , , , 
2022/11/20, 138, , , , 
2022/11/21, 167, , , , 
2022/11/22, 160, , , , 
2022/11/23, 162, , , , 
2022/11/24, 166, , , , 
2022/11/27, 154, , , , 
2022/11/28, 118, , , , 
2022/11/29, 119, , , , 
2022/11/30, 156, , , , 
2022/12/1, 156, , , , 
2022/12/2, 151, , , , 
2022/12/3, 159, , , , 
2022/12/4, 110, , , , 
2022/12/5, 105, , , , 
2022/12/6, 103, , , , 
2022/12/7, 98, , , , 
2022/12/8, 136, , , , 
2022/12/9, 161, , , , 
2022/12/10, 173, , , , 
2022/12/13, 158, , , , 
2022/12/14, 164, , , , 
2022/12/15, 186, , , , 
2022/12/16, 183, , , , 
2022/12/17, 171, , , , 
2022/12/18, 162, , , , 
2022/12/19, 161, , , , 
2022/12/20, 160, , , , 
2022/12/21, 160, , , , 
2022/12/22, 163, , , , 
2022/12/23, 93, , , , 
2022/12/24, 107, , , , 
2022/12/25, 82, , , , 
2022/12/26, 112, , , , 
2022/12/27, 162, , , , 
2022/12/28, 122, , , , 
2022/12/29, 121, , , , 
2022/12/30, 152, , , , 
2022/12/31, 168, , , , 
2023/1/1, 172, , , , 
2023/1/2, 177, , , , 
2022/7/2, 167, , , , 
2022/7/3, 165, , , , 
2022/7/4, 193, , , , 
2022/7/5, 197, , , , 
2022/7/6, 166, , , , 
2022/7/7, 175, , , , 
2022/7/8, 167, , , , 
2022/7/9, 170, , , , 
2022/7/10, 176, , , , 
2022/7/11, 175, , , , 
2022/7/12, 167, , , , 
2022/7/13, 163, , , , 
2022/7/14, 157, , , , 
2022/7/15, 155, , , , 
2022/7/16, 155, , , , 
2022/7/17, 160, , , , 
2022/7/18, 159, , , , 
2022/7/19, 154, , , , 
2022/7/20, 154, , , , 
2022/7/21, 154, , , , 
2022/7/22, 157, , , , 
2022/7/23, 159, , , , 
2022/7/24, 157, , , , 
2022/7/25, 184, , , , 
2022/7/26, 228, , , , 
2022/7/27, 180, , , , 
2022/7/28, 178, , , , 
2022/7/29, 203, , , , 
2022/7/30, 162, , , , 
2022/7/31, 132, , , , 
2022/8/1, 123, , , , 
2022/8/2, 119, , , , 
2022/8/3, 114, , , , 
2022/8/4, 136, , , , 
2022/8/5, 139, , , , 
2022/8/6, 156, , , , 
2022/8/7, 145, , , , 
2022/8/8, 161, , , , 
2022/8/9, 137, , , , 
2022/8/10, 161, , , , 
2022/8/11, 175, , , , 
2022/8/12, 154, , , , 
2022/8/13, 124, , , , 
2022/8/14, 121, , , , 
2022/8/15, 141, , , , 
2022/8/16, 146, , , , 
2022/8/17, 105, , , , 
2022/8/18, 88, , , , 
2022/8/19, 84, , , , 
2022/8/20, 85, , , , 
2022/8/21, 79, , , , 
2022/8/22, 94, , , , 
2022/8/23, 100, , , , 
2022/8/24, 102, , , , 
2022/8/25, 103, , , , 
2022/8/26, 96, , , , 
2022/8/27, 86, , , , 
2022/8/28, 84, , , , 
2022/8/29, 87, , , , 
2022/8/30, 89, , , , 
2022/8/31, 86, , , , 
2022/9/1, 86, , , , 
2022/9/2, 92, , , , 
2022/9/3, 93, , , , 
2022/9/4, 91, , , , 
2022/9/5, 96, , , , 
2022/9/6, 100, , , , 
2022/9/7, 108, , , , 
2022/9/8, 92, , , , 
2022/9/9, 100, , , , 
2022/9/10, 97, , , , 
2022/9/11, 131, , , , 
2022/9/12, 132, , , , 
2022/9/13, 98, , , , 
2022/9/14, 93, , , , 
2022/9/15, 97, , , , 
2022/9/16, 115, , , , 
2022/9/17, 120, , , , 
2022/9/18, 80, , , , 
2022/9/19, 84, , , , 
2022/9/20, 93, , , , 
2022/9/21, 86, , , , 
2022/9/22, 82, , , , 
2022/9/23, 82, , , , 
2022/4/2, 93, , , , 
2022/4/3, 110, , , , 
2022/4/4, 118, , , , 
2022/4/5, 96, , , , 
2022/4/6, 104, , , , 
2022/4/7, 80, , , , 
2022/4/8, 115, , , , 
2022/4/9, 275, , , , 
2022/4/10, 197, , , , 
2022/4/11, 151, , , , 
2022/4/12, 110, , , , 
2022/4/13, 125, , , , 
2022/4/14, 145, , , , 
2022/4/15, 109, , , , 
2022/4/16, 113, , , , 
2022/4/17, 82, , , , 
2022/4/18, 83, , , , 
2022/4/19, 72, , , , 
2022/4/20, 75, , , , 
2022/4/21, 103, , , , 
2022/4/22, 136, , , , 
2022/4/23, 105, , , , 
2022/4/24, 98, , , , 
2022/4/25, 94, , , , 
2022/4/26, 100, , , , 
2022/4/27, 146, , , , 
2022/4/28, 107, , , , 
2022/4/29, 120, , , , 
2022/4/30, 108, , , , 
2022/5/1, 89, , , , 
2022/5/2, 83, , , , 
2022/5/3, 82, , , , 
2022/5/4, 105, , , , 
2022/5/5, 84, , , , 
2022/5/6, 92, , , , 
2022/5/7, 98, , , , 
2022/5/8, 136, , , , 
2022/5/9, 165, , , , 
2022/5/10, 121, , , , 
2022/5/11, 71, , , , 
2022/5/12, 90, , , , 
2022/5/13, 121, , , , 
2022/5/14, 82, , , , 
2022/5/15, 72, , , , 
2022/5/16, 77, , , , 
2022/5/17, 101, , , , 
2022/5/18, 170, , , , 
2022/5/19, 160, , , , 
2022/5/20, 128, , , , 
2022/5/21, 92, , , , 
2022/5/22, 121, , , , 
2022/5/23, 134, , , , 
2022/5/24, 138, , , , 
2022/5/25, 153, , , , 
2022/5/26, 232, , , , 
2022/5/27, 160, , , , 
2022/5/28, 101, , , , 
2022/5/29, 88, , , , 
2022/5/30, 78, , , , 
2022/5/31, 74, , , , 
2022/6/1, 76, , , , 
2022/6/2, 75, , , , 
2022/6/3, 74, , , , 
2022/6/4, 78, , , , 
2022/6/5, 77, , , , 
2022/6/6, 92, , , , 
2022/6/7, 97, , , , 
2022/6/8, 100, , , , 
2022/6/9, 122, , , , 
2022/6/11, 141, , , , 
2022/6/12, 147, , , , 
2022/6/13, 142, , , , 
2022/6/14, 133, , , , 
2022/6/15, 125, , , , 
2022/6/16, 145, , , , 
2022/6/17, 111, , , , 
2022/6/18, 116, , , , 
2022/6/19, 128, , , , 
2022/6/20, 97, , , , 
2022/6/21, 112, , , , 
2022/6/22, 103, , , , 
2022/6/23, 94, , , , 
2022/6/24, 132, , , , 
2022/6/25, 161, , , , 
2022/6/26, 155, , , , 
2022/6/27, 131, , , , 
2022/6/28, 152, , , , 
2022/6/29, 145, , , , 
2022/6/30, 152, , , , 
2022/7/1, 160, , , , 
2022/1/4, 106, , , , 
2022/1/5, 93, , , , 
2022/1/6, 74, , , , 
2022/1/7, 79, , , , 
2022/1/8, 141, , , , 
2022/1/9, 160, , , , 
2022/1/10, 158, , , , 
2022/1/11, 154, , , , 
2022/1/12, 161, , , , 
2022/1/13, 129, , , , 
2022/1/14, 107, , , , 
2022/1/15, 95, , , , 
2022/1/16, 82, , , , 
2022/1/17, 50, , , , 
2022/1/18, 67, , , , 
2022/1/19, 60, , , , 
2022/1/20, 120, , , , 
2022/1/21, 110, , , , 
2022/1/22, 62, , , , 
2022/1/23, 107, , , , 
2022/1/24, 136, , , , 
2022/1/25, 160, , , , 
2022/1/26, 148, , , , 
2022/1/27, 147, , , , 
2022/1/28, 95, , , , 
2022/1/29, 57, , , , 
2022/1/30, 98, , , , 
2022/1/31, 85, , , , 
2022/2/1, 79, , , , 
2022/2/2, 120, , , , 
2022/2/3, 142, , , , 
2022/2/4, 158, , , , 
2022/2/5, 158, , , , 
2022/2/6, 94, , , , 
2022/2/7, 60, , , , 
2022/2/8, 81, , , , 
2022/2/9, 85, , , , 
2022/2/10, 96, , , , 
2022/2/11, 104, , , , 
2022/2/12, 98, , , , 
2022/2/13, 129, , , , 
2022/2/14, 147, , , , 
2022/2/15, 111, , , , 
2022/2/16, 97, , , , 
2022/2/17, 107, , , , 
2022/2/18, 80, , , , 
2022/2/19, 89, , , , 
2022/2/20, 87, , , , 
2022/2/21, 70, , , , 
2022/2/22, 101, , , , 
2022/2/23, 107, , , , 
2022/2/24, 110, , , , 
2022/2/25, 95, , , , 
2022/2/26, 91, , , , 
2022/2/27, 79, , , , 
2022/2/28, 75, , , , 
2022/3/1, 85, , , , 
2022/3/2, 103, , , , 
2022/3/3, 103, , , , 
2022/3/4, 103, , , , 
2022/3/5, 104, , , , 
2022/3/6, 85, , , , 
2022/3/7, 66, , , , 
2022/3/8, 78, , , , 
2022/3/9, 101, , , , 
2022/3/10, 111, , , , 
2022/3/11, 92, , , , 
2022/3/12, 106, , , , 
2022/3/13, 79, , , , 
2022/3/14, 95, , , , 
2022/3/15, 137, , , , 
2022/3/16, 143, , , , 
2022/3/17, 143, , , , 
2022/3/18, 74, , , , 
2022/3/19, 72, , , , 
2022/3/20, 76, , , , 
2022/3/21, 70, , , , 
2022/3/22, 100, , , , 
2022/3/23, 101, , , , 
2022/3/24, 79, , , , 
2022/3/25, 85, , , , 
2022/3/26, 80, , , , 
2022/3/27, 60, , , , 
2022/3/28, 55, , , , 
2022/3/29, 61, , , , 
2022/3/30, 77, , , , 
2022/3/31, 77, , , , 
2022/4/1, 83, , , , 
2021/10/2, 115, , , , 
2021/10/3, 96, , , , 
2021/10/4, 91, , , , 
2021/10/5, 92, , , , 
2021/10/6, 90, , , , 
2021/10/7, 91, , , , 
2021/10/8, 95, , , , 
2021/10/9, 84, , , , 
2021/10/10, 88, , , , 
2021/10/11, 74, , , , 
2021/10/12, 75, , , , 
2021/10/13, 106, , , , 
2021/10/14, 122, , , , 
2021/10/15, 117, , , , 
2021/10/16, 89, , , , 
2021/10/17, 97, , , , 
2021/10/18, 93, , , , 
2021/10/19, 99, , , , 
2021/10/20, 91, , , , 
2021/10/21, 88, , , , 
2021/10/22, 74, , , , 
2021/10/23, 74, , , , 
2021/10/24, 99, , , , 
2021/10/25, 99, , , , 
2021/10/26, 100, , , , 
2021/10/27, 109, , , , 
2021/10/28, 98, , , , 
2021/10/29, 85, , , , 
2021/10/30, 94, , , , 
2021/10/31, 93, , , , 
2021/11/1, 143, , , , 
2021/11/2, 107, , , , 
2021/11/3, 162, , , , 
2021/11/4, 135, , , , 
2021/11/5, 78, , , , 
2021/11/6, 53, , , , 
2021/11/7, 66, , , , 
2021/11/8, 69, , , , 
2021/11/9, 127, , , , 
2021/11/10, 156, , , , 
2021/11/11, 156, , , , 
2021/11/12, 153, , , , 
2021/11/13, 73, , , , 
2021/11/14, 105, , , , 
2021/11/15, 156, , , , 
2021/11/16, 142, , , , 
2021/11/17, 154, , , , 
2021/11/18, 81, , , , 
2021/11/19, 108, , , , 
2021/11/20, 162, , , , 
2021/11/21, 168, , , , 
2021/11/22, 173, , , , 
2021/11/23, 148, , , , 
2021/11/24, 120, , , , 
2021/11/25, 152, , , , 
2021/11/26, 152, , , , 
2021/11/27, 138, , , , 
2021/11/28, 132, , , , 
2021/11/29, 127, , , , 
2021/11/30, 174, , , , 
2021/12/1, 178, , , , 
2021/12/2, 184, , , , 
2021/12/3, 145, , , , 
2021/12/4, 63, , , , 
2021/12/5, 139, , , , 
2021/12/6, 166, , , , 
2021/12/7, 178, , , , 
2021/12/8, 147, , , , 
2021/12/9, 162, , , , 
2021/12/10, 166, , , , 
2021/12/11, 140, , , , 
2021/12/12, 114, , , , 
2021/12/13, 153, , , , 
2021/12/14, 165, , , , 
2021/12/15, 164, , , , 
2021/12/16, 159, , , , 
2021/12/17, 143, , , , 
2021/12/18, 158, , , , 
2021/12/19, 122, , , , 
2021/12/20, 149, , , , 
2021/12/21, 147, , , , 
2021/12/22, 113, , , , 
2021/12/23, 98, , , , 
2021/12/24, 83, , , , 
2021/12/25, 108, , , , 
2021/12/26, 74, , , , 
2021/12/27, 109, , , , 
2021/12/28, 150, , , , 
2021/12/29, 159, , , , 
2021/12/30, 162, , , , 
2021/12/31, 164, , , , 
2022/1/1, 155, , , , 
2022/1/2, 160, , , , 
2022/1/3, 108, , , , 
2021/7/2, 135, , , , 
2021/7/3, 133, , , , 
2021/7/4, 151, , , , 
2021/7/5, 153, , , , 
2021/7/6, 152, , , , 
2021/7/7, 162, , , , 
2021/7/8, 172, , , , 
2021/7/9, 164, , , , 
2021/7/10, 211, , , , 
2021/7/11, 199, , , , 
2021/7/12, 212, , , , 
2021/7/13, 178, , , , 
2021/7/14, 178, , , , 
2021/7/15, 198, , , , 
2021/7/16, 189, , , , 
2021/7/17, 206, , , , 
2021/7/18, 137, , , , 
2021/7/19, 73, , , , 
2021/7/20, 75, , , , 
2021/7/21, 77, , , , 
2021/7/22, 72, , , , 
2021/7/23, 75, , , , 
2021/7/24, 79, , , , 
2021/7/25, 80, , , , 
2021/7/26, 86, , , , 
2021/7/27, 85, , , , 
2021/7/28, 84, , , , 
2021/7/29, 75, , , , 
2021/7/30, 99, , , , 
2021/7/31, 69, , , , 
2021/8/1, 65, , , , 
2021/8/2, 65, , , , 
2021/8/3, 65, , , , 
2021/8/4, 78, , , , 
2021/8/5, 75, , , , 
2021/8/6, 72, , , , 
2021/8/7, 70, , , , 
2021/8/8, 66, , , , 
2021/8/9, 68, , , , 
2021/8/10, 68, , , , 
2021/8/11, 67, , , , 
2021/8/12, 75, , , , 
2021/8/13, 88, , , , 
2021/8/14, 89, , , , 
2021/8/15, 87, , , , 
2021/8/16, 102, , , , 
2021/8/17, 85, , , , 
2021/8/18, 76, , , , 
2021/8/19, 88, , , , 
2021/8/20, 69, , , , 
2021/8/21, 77, , , , 
2021/8/22, 77, , , , 
2021/8/23, 69, , , , 
2021/8/24, 69, , , , 
2021/8/25, 68, , , , 
2021/8/26, 67, , , , 
2021/8/27, 68, , , , 
2021/8/28, 73, , , , 
2021/8/29, 68, , , , 
2021/8/30, 72, , , , 
2021/8/31, 72, , , , 
2021/9/1, 79, , , , 
2021/9/2, 70, , , , 
2021/9/3, 64, , , , 
2021/9/4, 75, , , , 
2021/9/5, 105, , , , 
2021/9/6, 125, , , , 
2021/9/7, 111, , , , 
2021/9/8, 87, , , , 
2021/9/9, 84, , , , 
2021/9/10, 89, , , , 
2021/9/11, 98, , , , 
2021/9/12, 94, , , , 
2021/9/13, 95, , , , 
2021/9/14, 91, , , , 
2021/9/15, 81, , , , 
2021/9/16, 90, , , , 
2021/9/17, 83, , , , 
2021/9/18, 92, , , , 
2021/9/19, 95, , , , 
2021/9/20, 92, , , , 
2021/9/21, 95, , , , 
2021/9/22, 101, , , , 
2021/9/23, 101, , , , 
2021/9/24, 110, , , , 
2021/9/25, 128, , , , 
2021/9/26, 99, , , , 
2021/9/27, 111, , , , 
2021/9/28, 136, , , , 
2021/9/29, 118, , , , 
2021/9/30, 134, , , , 
2021/10/1, 130, , , , 
2021/4/2, 66, , , , 
2021/4/3, 73, , , , 
2021/4/4, 75, , , , 
2021/4/5, 54, , , , 
2021/4/6, 51, , , , 
2021/4/7, 81, , , , 
2021/4/8, 83, , , , 
2021/4/9, 98, , , , 
2021/4/10, 85, , , , 
2021/4/11, 91, , , , 
2021/4/12, 80, , , , 
2021/4/13, 68, , , , 
2021/4/14, 75, , , , 
2021/4/15, 80, , , , 
2021/4/16, 66, , , , 
2021/4/17, 59, , , , 
2021/4/18, 67, , , , 
2021/4/19, 70, , , , 
2021/4/20, 77, , , , 
2021/4/21, 87, , , , 
2021/4/22, 92, , , , 
2021/4/23, 78, , , , 
2021/4/24, 98, , , , 
2021/4/25, 82, , , , 
2021/4/26, 68, , , , 
2021/4/27, 78, , , , 
2021/4/28, 90, , , , 
2021/4/29, 94, , , , 
2021/4/30, 79, , , , 
2021/5/1, 69, , , , 
2021/5/2, 72, , , , 
2021/5/3, 69, , , , 
2021/5/4, 64, , , , 
2021/5/5, 65, , , , 
2021/5/6, 81, , , , 
2021/5/7, 68, , , , 
2021/5/8, 73, , , , 
2021/5/9, 75, , , , 
2021/5/10, 74, , , , 
2021/5/11, 82, , , , 
2021/5/12, 67, , , , 
2021/5/13, 83, , , , 
2021/5/14, 78, , , , 
2021/5/15, 77, , , , 
2021/5/16, 62, , , , 
2021/5/17, 65, , , , 
2021/5/18, 69, , , , 
2021/5/19, 86, , , , 
2021/5/20, 91, , , , 
2021/5/21, 73, , , , 
2021/5/22, 69, , , , 
2021/5/23, 66, , , , 
2021/5/24, 85, , , , 
2021/5/25, 93, , , , 
2021/5/26, 95, , , , 
2021/5/27, 81, , , , 
2021/5/28, 76, , , , 
2021/5/29, 74, , , , 
2021/5/30, 75, , , , 
2021/5/31, 73, , , , 
2021/6/1, 75, , , , 
2021/6/2, 64, , , , 
2021/6/3, 77, , , , 
2021/6/6, 77, , , , 
2021/6/7, 88, , , , 
2021/6/8, 87, , , , 
2021/6/9, 79, , , , 
2021/6/10, 80, , , , 
2021/6/11, 80, , , , 
2021/6/12, 81, , , , 
2021/6/13, 85, , , , 
2021/6/14, 100, , , , 
2021/6/15, 94, , , , 
2021/6/16, 95, , , , 
2021/6/17, 96, , , , 
2021/6/18, 90, , , , 
2021/6/19, 98, , , , 
2021/6/20, 89, , , , 
2021/6/21, 102, , , , 
2021/6/22, 162, , , , 
2021/6/23, 159, , , , 
2021/6/24, 145, , , , 
2021/6/25, 139, , , , 
2021/6/26, 152, , , , 
2021/6/27, 150, , , , 
2021/6/28, 157, , , , 
2021/6/29, 143, , , , 
2021/6/30, 146, , , , 
2021/7/1, 159, , , , 
2021/1/5, 144, , , , 
2021/1/6, 126, , , , 
2021/1/7, 156, , , , 
2021/1/8, 163, , , , 
2021/1/9, 167, , , , 
2021/1/10, 166, , , , 
2021/1/11, 170, , , , 
2021/1/12, 158, , , , 
2021/1/13, 165, , , , 
2021/1/14, 159, , , , 
2021/1/15, 162, , , , 
2021/1/16, 155, , , , 
2021/1/17, 96, , , , 
2021/1/18, 136, , , , 
2021/1/19, 97, , , , 
2021/1/20, 74, , , , 
2021/1/21, 87, , , , 
2021/1/22, 75, , , , 
2021/1/23, 74, , , , 
2021/1/24, 77, , , , 
2021/1/25, 104, , , , 
2021/1/26, 146, , , , 
2021/1/27, 157, , , , 
2021/1/28, 159, , , , 
2021/1/29, 161, , , , 
2021/1/30, 160, , , , 
2021/1/31, 63, , , , 
2021/2/1, 57, , , , 
2021/2/2, 81, , , , 
2021/2/3, 130, , , , 
2021/2/4, 147, , , , 
2021/2/5, 151, , , , 
2021/2/6, 158, , , , 
2021/2/7, 78, , , , 
2021/2/8, 104, , , , 
2021/2/9, 160, , , , 
2021/2/10, 137, , , , 
2021/2/11, 103, , , , 
2021/2/12, 93, , , , 
2021/2/13, 71, , , , 
2021/2/14, 90, , , , 
2021/2/15, 93, , , , 
2021/2/16, 110, , , , 
2021/2/17, 120, , , , 
2021/2/18, 84, , , , 
2021/2/19, 65, , , , 
2021/2/20, 52, , , , 
2021/2/21, 64, , , , 
2021/2/22, 69, , , , 
2021/2/23, 66, , , , 
2021/2/24, 76, , , , 
2021/2/25, 85, , , , 
2021/2/26, 105, , , , 
2021/2/27, 96, , , , 
2021/2/28, 110, , , , 
2021/3/1, 137, , , , 
2021/3/2, 124, , , , 
2021/3/3, 106, , , , 
2021/3/4, 77, , , , 
2021/3/5, 85, , , , 
2021/3/6, 66, , , , 
2021/3/7, 58, , , , 
2021/3/8, 63, , , , 
2021/3/9, 70, , , , 
2021/3/10, 66, , , , 
2021/3/11, 58, , , , 
2021/3/12, 71, , , , 
2021/3/13, 57, , , , 
2021/3/14, 65, , , , 
2021/3/15, 123, , , , 
2021/3/16, 150, , , , 
2021/3/17, 143, , , , 
2021/3/18, 126, , , , 
2021/3/19, 87, , , , 
2021/3/20, 50, , , , 
2021/3/21, 44, , , , 
2021/3/22, 38, , , , 
2021/3/23, 56, , , , 
2021/3/24, 80, , , , 
2021/3/25, 86, , , , 
2021/3/26, 117, , , , 
2021/3/27, 96, , , , 
2021/3/28, 114, , , , 
2021/3/29, 51, , , , 
2021/3/30, 50, , , , 
2021/3/31, 53, , , , 
2021/4/1, 59, , , , 
2020/10/2, 115, , , , 
2020/10/3, 136, , , , 
2020/10/4, 136, , , , 
2020/10/5, 118, , , , 
2020/10/6, 91, , , , 
2020/10/7, 95, , , , 
2020/10/8, 84, , , , 
2020/10/9, 82, , , , 
2020/10/10, 73, , , , 
2020/10/11, 87, , , , 
2020/10/12, 149, , , , 
2020/10/13, 135, , , , 
2020/10/14, 145, , , , 
2020/10/15, 144, , , , 
2020/10/16, 139, , , , 
2020/10/17, 150, , , , 
2020/10/18, 139, , , , 
2020/10/19, 121, , , , 
2020/10/20, 124, , , , 
2020/10/21, 140, , , , 
2020/10/22, 118, , , , 
2020/10/23, 119, , , , 
2020/10/24, 129, , , , 
2020/10/25, 113, , , , 
2020/10/26, 122, , , , 
2020/10/28, 132, , , , 
2020/10/29, 123, , , , 
2020/10/30, 99, , , , 
2020/10/31, 115, , , , 
2020/11/1, 125, , , , 
2020/11/2, 105, , , , 
2020/11/3, 133, , , , 
2020/11/4, 138, , , , 
2020/11/5, 125, , , , 
2020/11/6, 116, , , , 
2020/11/7, 119, , , , 
2020/11/8, 114, , , , 
2020/11/9, 87, , , , 
2020/11/10, 100, , , , 
2020/11/11, 134, , , , 
2020/11/12, 123, , , , 
2020/11/13, 93, , , , 
2020/11/14, 82, , , , 
2020/11/15, 69, , , , 
2020/11/16, 101, , , , 
2020/11/17, 110, , , , 
2020/11/18, 102, , , , 
2020/11/19, 143, , , , 
2020/11/20, 93, , , , 
2020/11/21, 75, , , , 
2020/11/22, 112, , , , 
2020/11/23, 104, , , , 
2020/11/24, 153, , , , 
2020/11/25, 145, , , , 
2020/11/26, 136, , , , 
2020/11/27, 171, , , , 
2020/11/28, 106, , , , 
2020/11/29, 138, , , , 
2020/11/30, 127, , , , 
2020/12/1, 115, , , , 
2020/12/2, 134, , , , 
2020/12/3, 173, , , , 
2020/12/4, 150, , , , 
2020/12/5, 136, , , , 
2020/12/6, 153, , , , 
2020/12/7, 111, , , , 
2020/12/8, 88, , , , 
2020/12/9, 121, , , , 
2020/12/10, 151, , , , 
2020/12/11, 165, , , , 
2020/12/12, 155, , , , 
2020/12/13, 147, , , , 
2020/12/14, 159, , , , 
2020/12/15, 161, , , , 
2020/12/16, 151, , , , 
2020/12/17, 164, , , , 
2020/12/18, 126, , , , 
2020/12/19, 153, , , , 
2020/12/20, 124, , , , 
2020/12/21, 123, , , , 
2020/12/22, 131, , , , 
2020/12/23, 150, , , , 
2020/12/24, 169, , , , 
2020/12/25, 131, , , , 
2020/12/26, 62, , , , 
2020/12/27, 106, , , , 
2020/12/28, 138, , , , 
2020/12/29, 161, , , , 
2020/12/30, 162, , , , 
2020/12/31, 182, , , , 
2021/1/1, 166, , , , 
2021/1/2, 177, , , , 
2021/1/3, 170, , , , 
2021/1/4, 173, , , , 
2020/7/2, 141, , , , 
2020/7/3, 149, , , , 
2020/7/4, 164, , , , 
2020/7/5, 153, , , , 
2020/7/6, 147, , , , 
2020/7/7, 107, , , , 
2020/7/8, 123, , , , 
2020/7/9, 99, , , , 
2020/7/10, 100, , , , 
2020/7/11, 113, , , , 
2020/7/12, 114, , , , 
2020/7/13, 98, , , , 
2020/7/14, 83, , , , 
2020/7/15, 94, , , , 
2020/7/16, 94, , , , 
2020/7/17, 88, , , , 
2020/7/18, 76, , , , 
2020/7/19, 81, , , , 
2020/7/20, 84, , , , 
2020/7/21, 91, , , , 
2020/7/22, 85, , , , 
2020/7/23, 80, , , , 
2020/7/24, 86, , , , 
2020/7/25, 100, , , , 
2020/7/26, 85, , , , 
2020/7/27, 92, , , , 
2020/7/28, 80, , , , 
2020/7/29, 80, , , , 
2020/7/30, 92, , , , 
2020/7/31, 100, , , , 
2020/8/1, 98, , , , 
2020/8/2, 68, , , , 
2020/8/3, 93, , , , 
2020/8/4, 93, , , , 
2020/8/5, 88, , , , 
2020/8/6, 88, , , , 
2020/8/7, 101, , , , 
2020/8/8, 86, , , , 
2020/8/9, 88, , , , 
2020/8/10, 83, , , , 
2020/8/11, 88, , , , 
2020/8/12, 109, , , , 
2020/8/13, 100, , , , 
2020/8/14, 112, , , , 
2020/8/15, 105, , , , 
2020/8/16, 116, , , , 
2020/8/17, 112, , , , 
2020/8/18, 111, , , , 
2020/8/19, 96, , , , 
2020/8/20, 89, , , , 
2020/8/21, 105, , , , 
2020/8/22, 104, , , , 
2020/8/23, 102, , , , 
2020/8/24, 114, , , , 
2020/8/25, 125, , , , 
2020/8/26, 129, , , , 
2020/8/27, 122, , , , 
2020/8/28, 104, , , , 
2020/8/29, 115, , , , 
2020/8/30, 116, , , , 
2020/8/31, 122, , , , 
2020/9/1, 110, , , , 
