date, pm25, pm10, o3, no2, so2
2020/10/7, 14, 8, 23, 4, 
2020/10/8, 18, 7, 20, 6, 
2020/10/9, 17, 7, 27, 4, 
2020/10/10, 18, 6, 24, 3, 
2020/10/11, 14, 7, 23, 5, 
2020/10/12, 16, 8, 20, 7, 
2020/10/13, 23, 8, 18, 8, 
2020/10/14, 23, 13, 25, 7, 
2020/10/15, 43, 10, 24, 7, 
2020/10/16, 23, 10, 18, 9, 
2020/10/17, 26, 11, 25, 9, 
2020/10/18, 32, 20, 17, 11, 
2020/10/19, 63, 19, 26, 7, 
2020/10/20, 61, 12, 26, 3, 
2020/10/21, 35, 14, 22, 6, 
2020/10/22, 39, 10, 25, 5, 
2020/10/23, 28, 10, 22, 5, 
2020/10/24, 29, 9, 27, 2, 
2020/10/25, 21, 6, 25, 3, 
2020/10/26, 13, 6, 21, 2, 
2020/10/27, 15, , , , 
2020/10/29, 18, 11, 27, 2, 
2020/10/30, 24, 7, 28, 5, 
2020/10/31, 20, 9, 27, 1, 
2020/11/1, 24, 18, 30, 1, 
2020/11/2, 47, 9, 30, 1, 
2020/11/3, 23, 10, 27, 6, 
2020/11/4, 24, 13, 20, 15, 
2020/11/5, 35, 44, 18, 15, 
2020/11/6, 87, 82, 15, 15, 
2020/11/7, 178, 51, 7, 13, 
2020/11/8, 126, 52, 5, 9, 
2020/11/9, 138, 25, 11, 7, 
2020/11/10, 74, 11, 18, 7, 
2020/11/11, 37, 8, 22, 3, 
2020/11/12, 23, 8, 26, 3, 
2020/11/13, 19, 11, 26, 5, 
2020/11/14, 28, 11, 23, 2, 
2020/11/15, 29, 10, 28, 1, 
2020/11/16, 25, 8, 25, 2, 
2020/11/17, 18, 5, 24, 2, 
2020/11/18, 12, 10, 27, 2, 
2020/11/19, 27, 9, 28, 9, 
2020/11/20, 23, 9, 19, 5, 
2020/11/21, 26, 5, 27, 2, 
2020/11/22, 15, 18, 20, 7, 
2020/11/23, 44, 17, 16, 7, 
2020/11/24, 52, 11, 21, 3, 
2020/11/25, 33, 15, 16, 12, 
2020/11/26, 46, 14, 12, 14, 
2020/11/27, 41, 25, 9, 20, 
2020/11/28, 71, 30, 7, 13, 
2020/11/29, 84, 26, 8, 9, 
2020/11/30, 80, 19, 19, 6, 
2020/12/1, 62, 14, 18, 17, 
2020/12/2, 40, 15, 11, 13, 
2020/12/3, 46, 9, 17, 11, 
2020/12/4, 27, 7, 20, 7, 
2020/12/5, 24, 9, 18, 9, 
2020/12/6, 26, 18, 4, 16, 
2020/12/7, 59, 20, 6, 15, 
2020/12/8, 66, 14, 10, 10, 
2020/12/9, 53, 11, 19, 8, 
2020/12/10, 30, 10, 13, 6, 
2020/12/11, 32, 12, 17, 10, 
2020/12/12, 36, 11, 19, 7, 
2020/12/13, 37, 8, 21, 3, 
2020/12/14, 24, 11, 25, 4, 
2020/12/15, 28, 10, 18, 7, 
2020/12/16, 26, 9, 22, 6, 
2020/12/17, 22, 9, 18, 4, 
2020/12/18, 23, 5, 20, 2, 
2020/12/19, 13, 7, 25, 2, 
2020/12/20, 18, 10, 21, 3, 
2020/12/21, 26, 7, 17, 4, 
2020/12/22, 19, 10, 19, 15, 
2020/12/23, 27, 12, 23, 8, 
2020/12/24, 43, 6, 23, 8, 
2020/12/25, 16, 8, 21, 7, 
2020/12/26, 21, 5, 27, 1, 
2020/12/27, 15, 9, 28, 3, 
2020/12/28, 24, 11, 17, 6, 
2020/12/29, 40, 16, 14, 14, 
2020/12/30, 56, 13, 15, 12, 
2020/12/31, 44, 17, 11, 14, 
2021/1/1, 57, 21, 9, 10, 
2021/1/2, 67, 11, 13, 13, 
2021/1/3, 40, 11, 13, 7, 
2021/1/4, 43, 8, 16, 5, 
2020/7/2, 11, 5, 19, 2, 
2020/7/3, 13, 6, 17, 1, 
2020/7/4, 15, 5, 11, , 
2020/7/5, 12, 7, 21, , 
2020/7/6, 13, 8, 24, 1, 
2020/7/7, 16, 7, 15, 2, 
2020/7/8, 20, 5, 6, 3, 
2020/7/9, 12, 4, 16, 2, 
2020/7/10, 9, 6, 19, 2, 
2020/7/11, 12, 5, 21, 1, 
2020/7/12, 11, 6, 28, 3, 
2020/7/13, 19, 5, 19, 2, 
2020/7/14, 11, 7, 18, 3, 
2020/7/15, 17, 5, 13, 2, 
2020/7/16, 12, 6, 13, 3, 
2020/7/17, 13, 10, 16, 1, 
2020/7/18, 18, 7, 12, 1, 
2020/7/19, 19, 8, 23, 1, 
2020/7/20, 19, 9, 22, 3, 
2020/7/21, 19, 10, 24, 7, 
2020/7/22, 24, 8, 30, 1, 
2020/7/23, 16, , , , 
2020/7/30, 14, 10, 30, 4, 
2020/7/31, 19, 17, 50, 3, 
2020/8/1, 29, 6, 20, 1, 
2020/8/2, 14, 4, 19, 1, 
2020/8/3, 9, 6, 20, 2, 
2020/8/4, 11, 7, 19, 2, 
2020/8/5, 12, 5, 18, 1, 
2020/8/6, 10, 4, 12, 2, 
2020/8/7, 8, 8, 27, 3, 
2020/8/8, 15, 10, 26, 3, 
2020/8/9, 19, 16, 30, 1, 
2020/8/10, 46, 29, 39, 3, 
2020/8/11, 61, 36, 25, 3, 
2020/8/12, 83, 30, 71, 7, 
