date, pm25, o3, no2, co
2021/11/26, 143, , , 
2021/11/27, 131, , , 
2021/11/28, 113, , , 
2021/11/29, 145, , , 
2021/11/30, 113, , , 
2021/12/1, 94, , , 
2021/12/2, 145, , , 
2021/12/3, 94, , , 
2021/12/4, 56, , , 
2021/12/5, 92, , , 
2021/12/6, 127, , , 
2021/12/7, 138, , , 
2021/12/8, 87, , , 
2021/12/9, 115, , , 
2021/12/10, 150, , , 
2021/12/11, 141, , , 
2021/12/12, 135, , , 
2021/12/13, 133, , , 
2021/12/14, 131, , , 
2021/12/15, 146, , , 
2021/12/16, 134, , , 
2021/12/17, 116, , , 
2021/12/18, 135, , , 
2021/12/19, 94, , , 
2021/12/20, 61, , , 
2021/12/21, 83, , , 
2021/12/22, 51, , , 
2021/12/23, 70, , , 
2021/12/24, 94, , , 
2021/12/25, 99, , , 
2021/12/26, 85, , , 
2021/12/27, 101, , , 
2021/12/28, 126, , , 
2021/12/29, 134, , , 
2021/12/30, 123, , , 
2021/12/31, 138, , , 
2022/1/1, 90, , , 
2022/1/2, 116, , , 
2022/1/3, 73, , , 
2021/7/2, 108, , , 
2021/7/3, 86, , , 
2021/7/4, 99, , , 
2021/7/5, 96, , , 
2021/7/7, 110, , , 
2021/7/8, 66, , , 
2021/7/9, 80, , , 
2021/7/10, 83, , , 
2021/7/11, 84, , , 
2021/7/12, 81, , , 
2021/7/13, 91, , , 
2021/7/14, 90, , , 
2021/7/15, 115, , , 
2021/7/16, 108, , , 
2021/7/17, 92, , , 
2021/7/18, 100, , , 
2021/7/19, 134, , , 
2021/7/20, 116, , , 
2021/7/21, 77, , , 
2021/7/22, 75, , , 
2021/7/23, 86, , , 
2021/7/24, 111, , , 
2021/7/25, 104, , , 
2021/7/26, 98, , , 
2021/7/27, 81, , , 
2021/7/28, 83, , , 
2021/7/29, 80, , , 
2021/7/30, 81, , , 
2021/7/31, 68, , , 
2021/8/1, 104, , , 
2021/8/2, 102, , , 
2021/8/3, 105, , , 
2021/8/4, 85, , , 
2021/8/5, 90, , , 
2021/8/6, 78, , , 
2021/8/7, 85, , , 
2021/8/8, 84, , , 
2021/8/9, 108, , , 
2021/8/10, 102, , , 
2021/8/11, 89, , , 
2021/8/13, 106, , , 
2021/8/15, 72, , , 
2021/8/16, 118, , , 
2021/8/17, 104, , , 
2021/8/18, 95, , , 
2021/8/19, 104, , , 
2021/8/20, 89, , , 
2021/8/21, 98, , , 
2021/8/22, 107, , , 
2021/8/23, 128, , , 
2021/8/24, 116, , , 
2021/8/25, 97, , , 
2021/8/26, 98, , , 
2021/8/27, 100, , , 
2021/8/28, 100, , , 
2021/8/29, 82, , , 
2021/8/30, 89, , , 
2021/8/31, 79, , , 
2021/9/1, 102, , , 
2021/9/2, 100, , , 
2021/9/3, 106, , , 
2021/9/4, 95, , , 
2021/9/5, 102, , , 
2021/9/6, 101, , , 
2021/9/7, 120, , , 
2021/9/8, 103, , , 
2021/9/9, 104, , , 
2021/9/10, 109, , , 
2021/9/11, 106, , , 
2021/9/12, 95, , , 
2021/9/13, 108, , , 
2021/9/14, 108, , , 
2021/9/15, 99, , , 
2021/9/16, 91, , , 
2021/9/17, 135, , , 
2021/9/18, 110, , , 
2021/9/19, 120, , , 
2021/9/20, 94, , , 
2021/9/21, 113, , , 
2021/9/22, 89, , , 
2021/9/23, 103, , , 
2021/9/24, 102, , , 
2021/9/25, 133, , , 
2021/9/26, 81, , , 
2021/9/27, 82, , , 
2021/9/28, 121, , , 
2021/9/29, 128, , , 
2021/9/30, 84, , , 
2021/10/1, 86, , , 
2021/4/2, 127, , , 
2021/4/3, 121, , , 
2021/4/4, 68, , , 
2021/4/5, 74, , , 
2021/4/6, 72, , , 
2021/4/7, 86, , , 
2021/4/8, 129, , , 
2021/4/9, 130, , , 
2021/4/10, 114, , , 
2021/4/11, 122, , , 
2021/4/12, 81, , , 
2021/4/13, 87, , , 
2021/4/14, 109, , , 
2021/4/15, 91, , , 
2021/4/16, 82, , , 
2021/4/17, 108, , , 
2021/4/18, 77, , , 
2021/4/19, 84, , , 
2021/4/20, 94, , , 
2021/4/21, 99, , , 
2021/4/22, 99, , , 
2021/4/23, 97, , , 
2021/4/24, 104, , , 
2021/4/25, 106, , , 
2021/4/26, 144, , , 
2021/4/27, 103, , , 
2021/4/28, 113, , , 
2021/4/29, 104, , , 
2021/4/30, 95, , , 
2021/5/1, 125, , , 
2021/5/2, 84, , , 
2021/5/3, 94, , , 
2021/5/4, 153, , , 
2021/5/5, 88, , , 
2021/5/6, 83, , , 
2021/5/7, 106, , , 
2021/5/8, 100, , , 
2021/5/9, 105, , , 
2021/5/10, 95, , , 
2021/5/11, 121, , , 
2021/5/12, 108, , , 
2021/5/13, 96, , , 
2021/5/14, 84, , , 
2021/5/15, 77, , , 
2021/5/16, 58, , , 
2021/5/17, 68, , , 
2021/5/18, 81, , , 
2021/5/19, 94, , , 
2021/5/20, 93, , , 
2021/5/21, 80, , , 
2021/5/22, 82, , , 
2021/5/23, 71, , , 
2021/5/24, 83, , , 
2021/5/25, 90, , , 
2021/5/26, 125, , , 
2021/5/27, 96, , , 
2021/5/28, 92, , , 
2021/5/29, 92, , , 
2021/5/30, 97, , , 
2021/5/31, 86, , , 
2021/6/1, 81, , , 
2021/6/2, 91, , , 
2021/6/3, 87, , , 
2021/6/6, 78, , , 
2021/6/7, 100, , , 
2021/6/8, 89, , , 
2021/6/9, 71, , , 
2021/6/10, 81, , , 
2021/6/11, 85, , , 
2021/6/12, 78, , , 
2021/6/13, 94, , , 
2021/6/14, 87, , , 
2021/6/15, 85, , , 
2021/6/16, 94, , , 
2021/6/17, 112, , , 
2021/6/18, 113, , , 
2021/6/19, 83, , , 
2021/6/20, 81, , , 
2021/6/21, 87, , , 
2021/6/22, 86, , , 
2021/6/23, 93, , , 
2021/6/24, 91, , , 
2021/6/25, 81, , , 
2021/6/26, 71, , , 
2021/6/27, 93, , , 
2021/6/28, 88, , , 
2021/6/29, 97, , , 
2021/6/30, 112, , , 
2021/7/1, 109, , , 
2021/1/5, 157, , , 
2021/1/6, 98, , , 
2021/1/7, 100, , , 
2021/1/8, 129, , , 
2021/1/9, 161, , , 
2021/1/10, 160, , , 
2021/1/11, 178, , , 
2021/1/12, 170, , , 
2021/1/13, 152, , , 
2021/1/14, 164, , , 
2021/1/15, 160, , , 
2021/1/16, 129, , , 
2021/1/17, 110, , , 
2021/1/18, 88, , , 
2021/1/19, 92, , , 
2021/1/20, 80, , , 
2021/1/21, 96, , , 
2021/1/22, 77, , , 
2021/1/23, 91, , , 
2021/1/24, 97, , , 
2021/1/25, 155, , , 
2021/1/26, 153, , , 
2021/1/27, 132, , , 
2021/1/28, 124, , , 
2021/1/29, 181, , , 
2021/1/30, 146, , , 
2021/1/31, 84, , , 
2021/2/1, 94, , , 
