date, pm25, o3, no2, so2, co
2021/5/30, 13, 14, 1, , 
2021/5/31, 13, 13, 3, , 
2021/6/1, 21, 11, 2, , 
2021/6/2, 46, 11, 4, , 
2021/6/3, 50, 2, 8, , 
2021/6/4, 63, 12, 1, , 
2021/6/5, 42, 9, 12, , 
2021/6/6, 70, 10, 2, , 
2021/6/7, 57, 9, 3, , 
2021/6/8, 34, , , , 
2021/6/13, 38, 12, 2, , 
2021/6/14, 25, 10, 6, , 
2021/6/15, 57, 16, 4, , 
2021/6/16, 38, 20, 1, , 
2021/6/17, 38, 14, 1, , 
2021/6/18, 17, 4, 1, , 
2021/6/19, 17, 8, 1, , 
2021/6/20, 38, 9, 1, , 
2021/6/21, 30, 6, 1, , 
2021/6/22, 21, 2, 6, , 
2021/6/23, 55, 10, 3, , 
2021/6/24, 65, 7, 1, , 
2021/6/25, 46, 4, 4, , 
2021/6/26, 68, 7, 1, , 
2021/6/27, 55, 4, 1, , 
2021/6/28, 55, 1, 6, , 
2021/6/29, 63, 12, 1, , 
2021/6/30, 50, 2, 7, , 
2021/7/1, 97, 6, 6, , 
2021/1/5, 9, 5, 16, , 
2021/1/6, 42, 11, 4, , 
2021/1/7, 30, 4, 20, , 
2021/1/8, 34, 2, 24, , 
2021/1/9, 74, , 27, , 
2021/1/10, 99, 9, 6, , 
2021/1/11, 46, 2, 16, , 
2021/1/12, 82, 7, 12, , 
2021/1/13, 61, 9, 12, , 
2021/1/14, 50, 13, 1, , 
2021/1/15, 13, 13, 1, , 
2021/1/16, 5, 10, 9, , 
2021/1/17, 46, 12, 3, , 
2021/1/18, 17, 11, 1, , 
2021/1/19, 25, 11, 2, , 
2021/1/20, 21, 11, 7, , 
2021/1/21, 13, 11, 1, , 
2021/1/22, 9, 11, 6, , 
2021/1/23, 21, 6, 14, , 
2021/1/24, 38, 7, 15, , 
2021/1/25, 17, 3, 20, , 
2021/1/26, 55, , 29, , 
2021/1/27, 46, 12, 5, , 
2021/1/28, 17, 13, 2, , 
2021/1/29, 21, 10, 4, , 
2021/1/30, 61, 10, 6, , 
2021/1/31, 80, 10, 6, , 
2021/2/1, 74, 13, 5, , 
2021/2/2, 68, 7, 10, , 
2021/2/3, 72, 9, 3, , 
2021/2/4, 61, 11, 2, , 
2021/2/5, 42, 9, 5, 1, 
2021/2/6, 30, 11, 5, , 
2021/2/7, 13, 5, 21, , 
2021/2/8, 55, 7, 13, , 
2021/2/9, 25, 14, 1, 1, 
2021/2/10, 13, 12, 3, 1, 
2021/2/11, 17, 5, 13, , 
2021/2/12, 21, 6, 7, , 
2021/2/13, 17, , 24, , 
2021/2/14, 38, 4, 17, , 
2021/2/15, 25, , 30, , 
2021/2/16, 50, 5, 24, , 
2021/2/17, 34, 5, 19, , 
2021/2/18, 53, 6, 17, , 
2021/2/19, 61, 9, 17, , 
2021/2/20, 93, 13, 11, , 
2021/2/21, 59, 13, 7, , 
2021/2/22, 21, 15, 4, 1, 
2021/2/23, 5, 7, 20, , 
2021/2/24, 21, 11, 3, , 
2021/2/25, 21, 13, 8, , 
2021/2/26, 38, 2, 28, , 
2021/2/27, 42, 11, 4, , 
2021/2/28, 17, 8, 11, , 
2021/3/1, 34, 12, 6, , 
2021/3/2, 21, 11, 10, , 
2021/3/3, 78, 5, 22, , 
2021/3/4, 59, 8, 20, , 
2021/3/5, 95, 14, 5, , 
2021/3/6, 68, 10, 5, , 
2021/3/7, 87, 11, 6, , 
2021/3/8, 74, 11, 13, , 
2021/3/9, 53, 15, 1, , 
2021/3/10, 17, 13, 2, , 
2021/3/11, 42, 14, 3, , 
2021/3/12, 17, 14, 5, , 
2021/3/13, 50, 8, 17, , 
2021/3/14, 34, 15, 2, , 
2021/3/15, 21, 14, 1, , 
2021/3/16, 17, 14, 1, , 
2021/3/17, 17, 11, 9, , 
2021/3/18, 34, 14, 3, , 
2021/3/19, 46, 6, 13, , 
2021/3/20, 53, 8, 9, , 
2021/3/21, 42, 14, 2, , 
2021/3/22, 30, 1, 25, , 
2021/3/23, 74, 14, 1, , 
2021/3/24, 17, 9, 1, , 
2021/3/25, 30, 12, 1, , 
2021/3/26, 30, 11, 3, , 
2021/3/27, 21, 8, 13, , 
2021/3/28, 42, 13, 2, , 
2021/3/29, 42, 12, 1, , 
2021/3/30, 34, 14, 1, , 
2021/3/31, 17, 2, 24, , 
2021/4/1, 59, 12, 4, , 
2020/10/17, 25, 10, 1, , 
2020/10/18, 21, 10, 1, , 
2020/10/19, 13, 7, 3, , 
2020/10/20, 25, 6, 4, , 
2020/10/21, 65, 9, 3, , 
