date, pm25, pm10, so2, co
2020/12/12, 13, 15, , 4
2020/12/13, 18, 15, , 4
2020/12/14, 26, 14, , 4
2020/12/15, 20, 10, , 4
2020/12/16, 18, 9, , 4
2020/12/17, 16, 7, , 4
2020/12/18, 12, 14, , 4
2020/12/19, 17, 12, , 4
2020/12/20, 17, 10, , 4
2020/12/21, 15, 12, , 4
2020/12/22, 17, 12, , 5
2020/12/23, 14, 12, , 5
2020/12/24, 16, 8, , 5
2020/12/25, 12, 5, , 4
2020/12/26, 13, 5, , 4
2020/12/27, 14, 15, , 4
2020/12/28, 20, 15, , 5
2020/12/29, 21, 15, , 5
2020/12/30, 22, 13, , 5
2020/12/31, 16, 13, , 4
2021/1/1, 18, 11, , 4
2021/1/2, 15, 9, , 4
2021/1/3, 12, 9, , 4
2021/1/4, 16, 9, , 5
2020/7/2, 18, 6, 7, 43
2020/7/3, 21, 5, 7, 58
2020/7/4, 22, 6, 7, 58
2020/7/5, 24, 6, 7, 58
2020/7/6, 23, 7, 7, 58
2020/7/7, 23, 8, 7, 36
2020/7/8, 20, 11, 7, 33
2020/7/9, 23, 13, 7, 27
2020/7/10, 22, 14, 7, 58
2020/7/11, 25, 14, 7, 58
2020/7/12, 23, 10, 7, 58
2020/7/13, 24, 8, 7, 50
2020/7/14, 31, 9, 7, 58
2020/7/15, 23, 7, 7, 44
2020/7/16, 22, 7, 7, 58
2020/7/17, 22, 6, 7, 58
2020/7/18, 23, 7, 7, 58
2020/7/19, 24, 7, 7, 58
2020/7/20, 22, 14, 7, 58
2020/7/21, 28, 9, 7, 58
2020/7/22, 25, 7, 7, 58
2020/7/23, 25, 8, 7, 58
2020/7/24, 25, 10, 7, 50
2020/7/25, 23, 11, 7, 58
2020/7/26, 25, 12, 7, 58
2020/7/27, 26, 12, 7, 44
2020/7/28, 23, 10, 7, 44
2020/7/29, 25, 8, 7, 58
2020/7/30, 23, 11, 7, 58
2020/7/31, 26, 9, 7, 58
2020/8/1, 23, 9, 7, 58
2020/8/2, 24, 8, 7, 58
2020/8/3, 24, 7, 7, 58
2020/8/4, 22, 9, 7, 58
2020/8/5, 26, 13, 7, 58
2020/8/6, 25, 9, 7, 58
2020/8/7, 25, 7, 7, 44
2020/8/8, 22, 8, 7, 58
2020/8/9, 23, 10, 7, 58
2020/8/10, 22, 11, 7, 44
2020/8/11, 25, 9, 7, 58
2020/8/12, 23, 7, 7, 58
2020/8/13, 22, 7, 7, 58
2020/8/14, 23, 7, 7, 58
2020/8/15, 22, 8, 7, 49
2020/8/16, 22, 8, 7, 44
2020/8/17, 23, 6, 7, 58
2020/8/18, 22, 6, 7, 58
2020/8/19, 22, 7, 7, 58
2020/8/20, 22, 9, 7, 58
2020/8/21, 23, 9, 7, 58
2020/8/22, 23, 7, 7, 58
2020/8/23, 22, 10, 7, 58
2020/8/24, 24, 10, 7, 16
2020/8/25, 20, 7, , 
2020/8/26, 16, 7, , 
2020/8/27, 17, 7, , 
2020/8/28, 12, 5, , 
2020/8/29, 11, 8, , 
2020/8/30, 16, 12, , 1
2020/8/31, 20, 13, , 
2020/9/1, 19, 12, , 1
2020/9/2, 15, 7, , 1
2020/9/3, 13, 8, , 1
2020/9/4, 15, 8, , 1
2020/9/5, 14, 10, , 1
2020/9/6, 12, 10, , 1
2020/9/7, 18, 10, , 1
2020/9/8, 18, 8, , 1
2020/9/9, 14, 9, , 1
2020/9/10, 16, 9, , 1
2020/9/11, 15, 9, , 1
2020/9/12, 13, 8, , 1
2020/9/13, 15, 5, , 1
2020/9/14, 13, 6, , 1
2020/9/15, 11, 7, , 1
2020/9/16, 14, 7, , 1
2020/9/17, 12, 6, , 1
2020/9/18, 12, 10, , 1
2020/9/19, 15, 5, , 1
2020/9/20, 13, 7, , 1
2020/9/21, 20, 7, , 2
2020/9/22, 10, 9, , 2
2020/9/23, 19, 12, , 2
2020/9/24, 18, 10, , 2
2020/9/25, 16, 10, , 2
2020/9/26, 16, 8, , 2
2020/9/27, 13, 7, , 2
2020/9/28, 11, 11, , 2
2020/9/29, 18, 9, , 2
2020/9/30, 15, 10, , 2
2020/10/1, 15, 7, , 2
2020/4/2, 14, 7, , 3
2020/4/3, 13, 7, , 3
2020/4/4, 13, 7, , 3
2020/4/5, 15, 7, , 3
2020/4/6, 19, 6, , 3
2020/4/7, 16, 8, , 3
2020/4/8, 16, 9, , 3
2020/4/9, 19, 8, , 3
2020/4/10, 16, 7, , 3
2020/4/11, 15, 7, 7, 11
2020/4/12, 17, 13, 7, 58
2020/4/13, 24, 9, 7, 58
2020/4/14, 24, 7, 7, 58
2020/4/15, 25, 15, 7, 58
2020/4/16, 25, 14, 7, 44
2020/4/17, 24, 12, 7, 50
2020/4/18, 21, 10, 7, 58
2020/4/19, 23, 11, 7, 44
2020/4/20, 23, 12, 7, 44
2020/4/21, 22, 10, 7, 58
2020/4/22, 22, 11, 7, 58
2020/4/23, 22, 10, 7, 58
2020/4/24, 22, 9, 7, 43
2020/4/25, 22, 15, 7, 49
2020/4/26, 22, 9, 7, 58
2020/4/27, 22, 7, 7, 58
2020/4/28, 27, 9, 7, 29
2020/4/29, 17, 8, 7, 20
2020/4/30, 17, 13, 7, 58
2020/5/1, 24, 15, 7, 58
2020/5/2, 26, 14, 7, 58
2020/5/3, 24, 12, 7, 58
2020/5/4, 24, 12, 7, 58
2020/5/5, 24, 12, 7, 58
2020/5/6, 24, 11, 7, 39
2020/5/7, 25, 9, 7, 58
2020/5/8, 25, 13, 7, 58
2020/5/9, 26, 8, 7, 44
2020/5/10, 23, 8, 7, 58
2020/5/11, 23, 9, 7, 58
2020/5/12, 23, 9, 7, 44
2020/5/13, 23, 6, 7, 44
2020/5/14, 20, 6, 7, 58
2020/5/15, 26, 9, 7, 44
2020/5/16, 24, 7, 7, 44
2020/5/17, 20, 7, 7, 58
2020/5/18, 23, 5, 7, 44
2020/5/19, 27, 9, 7, 58
2020/5/20, 22, 8, 7, 44
2020/5/21, 23, 7, 7, 58
2020/5/22, 23, 9, 7, 44
2020/5/23, 22, 7, 7, 44
2020/5/24, 19, 9, 7, 44
2020/5/25, 21, 9, 7, 44
2020/5/26, 22, 7, 7, 58
2020/5/27, 23, 7, 7, 58
2020/5/28, 22, 10, 7, 58
2020/5/29, 23, 8, 7, 44
2020/5/30, 22, 7, 7, 58
2020/5/31, 22, 6, 7, 46
2020/6/1, 23, 5, 7, 58
2020/6/2, 23, 6, 7, 44
2020/6/3, 22, 6, 7, 58
2020/6/4, 26, 8, 7, 58
2020/6/5, 23, 13, 7, 36
2020/6/6, 22, 8, 7, 58
2020/6/7, 24, 8, 7, 58
2020/6/8, 23, 8, 7, 44
2020/6/9, 23, 9, 7, 50
2020/6/10, 22, 9, 7, 44
2020/6/11, 22, 10, 7, 58
2020/6/12, 25, 14, 7, 44
2020/6/13, 26, 17, 7, 50
2020/6/14, 24, 12, 7, 58
2020/6/15, 25, 10, 7, 44
2020/6/16, 22, 8, 7, 3
2020/6/17, 23, 10, 7, 44
2020/6/18, 22, 11, 7, 58
2020/6/19, 23, 11, 7, 58
2020/6/20, 24, 7, 7, 58
2020/6/21, 23, 8, 7, 58
2020/6/22, 23, 9, , 3
2020/6/23, 25, 7, 7, 58
2020/6/24, 22, 8, 7, 44
2020/6/25, 20, 10, 7, 58
2020/6/26, 24, 10, 7, 58
2020/6/27, 23, 7, 7, 58
2020/6/28, 22, 7, 7, 48
2020/6/29, 22, 8, 7, 58
2020/6/30, 24, 9, 7, 58
2020/7/1, 22, 8, 7, 33
2020/1/2, 22, 5, , 3
2020/1/3, 12, 9, , 2
2020/1/4, 18, 5, , 3
2020/1/5, 16, 12, , 3
2020/1/6, 20, 15, , 3
2020/1/7, 23, 14, , 3
2020/1/8, 20, 17, , 3
2020/1/9, 28, 16, , 3
2020/1/10, 28, 11, , 3
2020/1/11, 18, 11, , 3
2020/1/12, 18, 11, , 3
2020/1/13, 20, 21, , 3
2020/1/14, 32, 15, , 3
2020/1/15, 20, 15, , 2
2020/1/16, 21, 10, , 1
2020/1/17, 16, 10, , 1
2020/1/18, 15, 12, , 1
2020/1/19, 18, 13, , 1
2020/1/20, 16, 12, , 1
2020/1/21, 16, 16, , 3
2020/1/22, 23, 13, , 2
2020/1/23, 16, 11, , 3
2020/1/24, 18, 9, , 2
2020/1/25, 18, 6, , 2
2020/1/26, 14, 8, , 2
2020/1/27, 13, 11, , 2
2020/1/28, 16, 11, , 2
2020/1/29, 15, 10, , 3
2020/1/30, 16, 9, , 3
2020/1/31, 16, 11, , 3
2020/2/1, 18, 13, , 3
2020/2/2, 25, 10, , 3
2020/2/3, 13, 13, , 3
2020/2/4, 15, 12, , 4
2020/2/5, 15, 9, , 3
2020/2/6, 19, 7, , 3
2020/2/7, 13, 14, , 4
2020/2/8, 18, 14, , 4
2020/2/11, 30, 11, , 4
2020/2/12, 15, 8, , 4
2020/2/13, 13, 14, , 4
2020/2/14, 24, 20, , 5
2020/2/15, 29, 16, , 4
2020/2/16, 23, 11, , 
2020/2/17, 18, 8, , 
2020/2/18, 19, 10, , 4
2020/2/19, 10, 9, , 
2020/2/20, 18, 14, , 4
2020/2/21, 18, 10, , 4
2020/2/22, 18, 11, , 5
2020/2/23, 15, 13, , 5
2020/2/24, 21, 8, , 5
2020/2/25, 16, 8, , 5
2020/2/26, 14, 12, , 
2020/2/27, 17, 15, , 
2020/2/28, 19, 15, , 
2020/2/29, 22, 15, , 
2020/3/1, 21, 16, , 
2020/3/2, 25, 10, , 5
2020/3/3, 15, 11, , 6
2020/3/4, 17, 10, , 5
2020/3/5, 19, 10, , 4
2020/3/6, 19, 11, , 1
2020/3/7, 19, 15, , 1
2020/3/8, 15, 15, , 2
2020/3/9, 18, 7, , 2
2020/3/10, 14, 9, , 2
2020/3/11, 14, 8, , 2
2020/3/12, 12, 5, , 2
2020/3/13, 11, 6, , 2
2020/3/14, 14, 7, , 2
2020/3/15, 16, 6, , 2
2020/3/16, 13, 15, , 2
2020/3/17, 15, 12, , 2
2020/3/18, 22, 11, , 3
2020/3/19, 20, 9, , 2
2020/3/20, 15, 13, , 3
2020/3/21, 18, 11, , 2
2020/3/22, 17, 11, , 2
2020/3/23, 17, 14, , 2
2020/3/24, 14, 10, , 
2020/3/25, 17, 14, , 
2020/3/26, 20, 13, , 
2020/3/27, 18, 9, , 
2020/3/28, 20, 12, , 
2020/3/29, 19, , , 
2019/10/2, 17, 7, , 7
2019/10/3, 14, 10, , 6
2019/10/4, 18, 14, , 4
2019/10/5, 15, 7, , 4
2019/10/6, 10, 8, , 5
2019/10/7, 14, 6, , 5
2019/10/8, 11, 6, , 6
2019/10/9, 13, 8, , 6
2019/10/10, 14, 7, , 7
2019/10/11, 15, 10, , 7
2019/10/12, 18, 13, , 7
2019/10/13, 17, 9, , 7
2019/10/14, 15, 13, , 9
2019/10/15, 14, 8, , 
2019/10/16, 12, 6, , 
2019/10/17, 16, 6, , 
2019/10/18, 11, 9, , 
2019/10/19, 13, 10, , 
2019/10/20, 16, 11, , 
2019/10/21, 18, 13, , 
2019/10/22, 17, 15, , 
2019/10/23, 21, 12, , 
2019/10/24, 18, 12, , 
2019/10/25, 18, 8, , 
2019/10/26, 14, 9, , 
2019/10/27, 13, 6, , 
2019/10/28, 10, 9, , 
2019/10/29, 14, 7, , 
2019/10/30, 17, 7, , 
2019/10/31, 14, 8, , 
2019/11/1, 16, 7, , 
2019/11/2, 16, 4, , 
2019/11/3, 10, 5, , 
2019/11/4, 13, 5, , 2
2019/11/5, 11, 10, , 2
2019/11/6, 15, 7, , 
2019/11/7, 11, 6, , 
2019/11/8, 10, 8, , 
2019/11/9, 20, 8, , 
2019/11/10, 18, 8, , 1
2019/11/11, 10, 5, , 2
2019/11/13, 11, 6, , 2
2019/11/14, 15, 7, , 2
2019/11/15, 11, 7, , 1
2019/11/16, 16, 8, , 1
2019/11/17, 15, 7, , 1
2019/11/18, 21, 10, , 1
2019/11/19, 14, 11, , 1
2019/11/20, 18, 11, , 1
2019/11/21, 16, 9, , 1
2019/11/22, 16, 17, , 1
2019/11/23, 25, 15, , 1
2019/11/24, 19, 18, , 1
2019/11/25, 23, 15, , 1
2019/11/26, 20, 19, , 2
2019/11/27, 27, 19, , 1
2019/11/28, 26, 14, , 1
2019/11/29, 22, 13, , 2
2019/11/30, 19, 13, , 2
2019/12/1, 16, 10, , 2
2019/12/2, 16, 7, , 2
2019/12/3, 11, 7, , 2
2019/12/4, 12, 7, , 3
2019/12/5, 13, 7, , 3
2019/12/6, 12, 5, , 3
2019/12/7, 12, 6, , 3
2019/12/8, 14, 7, , 3
2019/12/9, 15, 7, , 4
2019/12/10, 13, 7, , 4
2019/12/11, 15, 9, , 4
2019/12/12, 16, 11, , 4
2019/12/13, 16, 10, , 3
2019/12/14, 20, 10, , 4
2019/12/15, 18, 7, , 4
2019/12/16, 16, 7, , 4
2019/12/17, 18, 13, , 4
2019/12/18, 17, 15, , 4
2019/12/19, 22, 12, , 4
2019/12/20, 18, 10, , 4
2019/12/21, 13, 14, , 5
2019/12/22, 22, 17, , 5
2019/12/23, 21, 17, , 6
2019/12/24, 27, 21, , 4
2019/12/25, 29, 19, , 2
2019/12/26, 29, 12, , 2
2019/12/27, 15, 4, , 1
2019/12/28, 17, 4, , 2
2019/12/29, 12, 13, , 2
2019/12/30, 18, , , 
2019/7/2, 12, 8, 1, 5
2019/7/3, 12, 8, 1, 4
2019/7/4, 15, 9, 1, 5
2019/7/5, 15, 11, 1, 5
2019/7/6, 11, 8, 1, 5
2019/7/7, 15, 11, 1, 5
2019/7/8, 15, 10, 1, 5
2019/7/9, 17, 10, 1, 5
2019/7/10, 18, 10, 1, 5
2019/7/11, 17, 11, 1, 5
2019/7/12, 18, 8, 1, 5
2019/7/13, 16, 6, 1, 5
2019/7/14, 12, 6, 1, 5
2019/7/15, 10, 5, 1, 5
2019/7/16, 10, 7, 1, 4
2019/7/17, 13, 14, 1, 2
2019/7/18, 19, 15, 1, 4
2019/7/19, 24, 13, 1, 5
2019/7/20, 22, 9, 1, 5
2019/7/21, 12, 10, 1, 5
2019/7/22, 16, 12, 1, 5
2019/7/23, 13, 16, 1, 5
2019/7/24, 19, 17, 1, 5
2019/7/25, 21, 14, 1, 4
2019/7/26, 18, 8, 1, 5
2019/7/27, 16, 7, 1, 5
2019/7/28, 14, 6, 1, 5
2019/7/29, 13, 8, 1, 5
2019/7/30, 15, 10, 1, 5
2019/7/31, 18, 8, 1, 5
2019/8/1, 19, 9, , 5
2019/8/2, 19, 13, , 6
2019/8/3, 23, 12, , 6
2019/8/4, 20, 7, , 6
2019/8/5, 16, 7, , 6
2019/8/6, 16, 8, , 6
2019/8/7, 18, 11, , 6
2019/8/8, 21, 8, 1, 6
2019/8/9, 26, 10, , 6
2019/8/10, 19, 7, , 6
2019/8/11, 18, 9, , 6
2019/8/12, 16, 8, , 6
2019/8/13, 15, 7, , 6
2019/8/14, 14, 12, , 6
2019/8/15, 16, 12, , 6
2019/8/16, 17, 8, , 6
2019/8/17, 16, 10, , 6
2019/8/18, 18, 7, , 6
2019/8/19, 13, 6, , 6
2019/8/20, 13, 6, , 6
2019/8/21, 13, 5, , 4
2019/8/22, 12, 4, , 
2019/8/23, 10, 4, , 1
2019/8/24, 10, 12, , 
2019/8/25, 15, 13, , 
2019/8/26, 17, 7, , 3
2019/8/27, 14, 6, , 2
2019/8/28, 11, 3, , 2
2019/8/29, 9, 4, , 1
2019/8/30, 10, 5, , 1
2019/8/31, 10, 5, , 1
2019/9/1, 11, 5, , 1
2019/9/2, 12, 8, , 
2019/9/3, 13, 6, , 
2019/9/4, 13, 7, , 1
2019/9/5, 11, 10, , 1
2019/9/6, 15, 11, , 1
2019/9/7, 14, 14, , 1
2019/9/8, 18, 14, , 1
2019/9/9, 19, 13, , 1
2019/9/10, 19, 11, , 2
2019/9/11, 13, 8, , 2
2019/9/12, 14, 6, , 3
2019/9/13, 14, 5, , 3
2019/9/14, 11, 7, , 4
2019/9/15, 19, 10, , 4
2019/9/16, 19, 10, , 4
2019/9/17, 15, 11, , 5
2019/9/18, 15, 10, , 5
2019/9/19, 12, 9, , 6
2019/9/20, 13, 9, , 6
2019/9/21, 16, 9, , 7
2019/9/22, 14, 10, , 7
2019/9/23, 15, 10, , 6
2019/9/24, 19, 12, , 3
2019/9/25, 17, 7, , 4
2019/9/26, 19, 11, , 
2019/9/27, 16, 7, , 6
2019/9/28, 11, 7, , 6
2019/9/29, 14, 7, , 6
2019/9/30, 12, 7, , 6
2019/10/1, 14, 9, , 7
2019/4/2, 23, 15, , 3
2019/4/3, 23, 16, , 4
2019/4/4, 23, 17, , 4
2019/4/5, 24, 18, , 4
2019/4/6, 26, 16, , 4
2019/4/7, 28, 11, , 3
2019/4/8, 22, 8, , 4
2019/4/9, 22, 4, , 3
2019/4/10, 17, 2, , 4
2019/4/11, 19, 3, , 3
2019/4/12, 31, 21, , 3
2019/4/13, 30, 24, , 4
2019/4/14, 39, 22, , 3
2019/4/15, 30, 15, , 3
2019/4/16, 15, 10, , 4
2019/4/17, 16, 7, , 4
2019/4/18, 13, 10, , 3
2019/4/19, 12, 11, , 3
2019/4/24, 26, 13, , 3
2019/4/25, 15, 9, , 3
2019/4/26, 9, 11, , 3
2019/4/27, 14, 9, , 2
2019/4/28, 16, 10, , 2
2019/4/29, 24, 9, , 3
2019/4/30, 13, 8, , 3
2019/5/1, 12, 7, , 3
2019/5/2, 12, 10, , 3
2019/5/3, 15, 8, , 3
2019/5/4, 14, 11, , 2
2019/5/5, 15, 13, , 2
2019/5/6, 18, 11, , 3
2019/5/7, 19, 9, , 3
2019/5/8, 10, 9, , 3
2019/5/9, 19, 7, , 3
2019/5/10, 14, 7, , 3
2019/5/11, 14, 6, , 2
2019/5/12, 12, 5, , 2
2019/5/13, 12, 8, , 2
2019/5/14, 12, 4, , 2
2019/5/15, 13, 8, , 3
2019/5/16, 13, 10, 114, 2
2019/5/17, 14, 8, , 3
2019/5/18, 14, 8, , 2
2019/5/19, 13, 9, , 1
2019/5/20, 12, 15, , 2
2019/5/21, 17, 16, , 2
2019/5/22, 22, 17, , 2
2019/5/23, 22, 15, 8, 4
2019/5/24, 18, 15, 1, 2
2019/5/25, 23, 14, 7, 3
2019/5/26, 16, 13, 8, 2
2019/5/27, 16, 12, 113, 1
2019/5/28, 17, 10, 2, 2
2019/5/29, 21, 11, 1, 2
2019/5/30, 17, 10, 1, 2
2019/5/31, 17, 12, 1, 2
2019/6/1, 17, 12, 1, 1
2019/6/2, 17, 13, , 1
2019/6/3, 17, 11, 1, 2
2019/6/4, 17, 6, 1, 2
2019/6/5, 10, 11, 1, 2
2019/6/6, 17, 13, 1, 2
2019/6/7, 18, 9, 1, 2
2019/6/8, 14, 10, 1, 1
2019/6/9, 17, 11, 1, 1
2019/6/10, 20, 9, 1, 2
2019/6/11, 16, 9, 1, 1
2019/6/12, 16, 7, 1, 2
2019/6/13, 14, 5, 1, 3
2019/6/14, 12, 8, 1, 3
2019/6/15, 13, 8, 1, 3
2019/6/16, 13, 10, 1, 3
2019/6/17, 12, 7, 1, 4
2019/6/18, 14, 13, 1, 4
2019/6/19, 19, 13, 1, 4
2019/6/20, 21, 9, 1, 4
2019/6/21, 13, 8, 1, 4
2019/6/22, 12, 10, 1, 4
2019/6/23, 17, 11, 1, 4
2019/6/24, 21, 10, 1, 5
2019/6/25, 21, 6, 1, 5
2019/6/26, 17, 7, 1, 5
2019/6/27, 18, 13, 1, 5
2019/6/28, 18, 10, 1, 5
2019/6/29, 16, 8, 1, 4
2019/6/30, 13, 8, 1, 4
2019/7/1, 12, 8, 1, 4
2019/1/2, 22, 17, , 3
2019/1/3, 17, 15, , 3
2019/1/4, 19, 12, , 3
2019/1/5, 15, 19, , 3
2019/1/6, 20, 16, , 3
2019/1/7, 22, 11, , 4
2019/1/8, 15, 9, , 4
2019/1/9, 14, 9, , 4
2019/1/10, 16, 8, , 4
2019/1/11, 10, 10, , 4
2019/1/12, 12, 10, , 4
2019/1/13, 15, 10, , 4
2019/1/14, 20, 12, , 4
2019/1/15, 16, 11, , 4
2019/1/16, 16, 11, , 4
2019/1/17, 20, 13, , 4
2019/1/18, 13, 11, , 4
2019/1/19, 15, 12, , 4
2019/1/20, 13, 14, , 4
2019/1/21, 15, 15, 1, 4
2019/1/22, 19, 18, , 4
2019/1/23, 21, 16, , 5
2019/1/24, 18, 14, , 5
2019/1/25, 19, 11, , 5
2019/1/26, 17, 21, , 4
2019/1/27, 23, 17, , 4
2019/1/28, 17, 21, , 4
2019/1/29, 23, 16, , 4
2019/1/30, 25, 11, , 4
2019/1/31, 22, 9, , 4
2019/2/1, 14, 6, , 5
2019/2/2, 17, 6, , 5
2019/2/3, 13, 6, , 5
2019/2/4, 13, 6, , 4
2019/2/5, 11, 6, , 5
2019/2/6, 12, 7, , 6
2019/2/7, 13, 8, , 5
2019/2/8, 15, 13, , 5
2019/2/9, 19, 18, , 5
2019/2/10, 23, 17, , 5
2019/2/11, 26, 14, , 5
2019/2/12, 18, 8, , 5
2019/2/13, 16, 10, , 5
2019/2/14, 22, 9, , 5
2019/2/15, 17, 14, , 5
2019/2/16, 21, 14, , 5
2019/2/17, 18, 7, , 5
2019/2/18, 15, 8, , 5
2019/2/19, 13, 7, , 6
2019/2/20, 13, 8, , 7
2019/2/21, 14, 8, , 7
2019/2/22, 15, 8, , 7
2019/2/23, 17, 6, , 6
2019/2/24, 13, 2, , 5
2019/2/25, 8, 4, , 6
2019/2/26, 15, 8, , 6
2019/2/27, 16, 14, , 5
2019/2/28, 22, 16, , 6
2019/3/1, 21, 9, , 6
2019/3/2, 13, 5, , 6
2019/3/3, 9, 7, , 5
2019/3/4, 13, 9, , 5
2019/3/5, 11, 8, , 6
2019/3/6, 14, 8, , 6
2019/3/7, 18, 10, , 5
2019/3/8, 13, 11, , 6
2019/3/9, 20, 11, , 6
2019/3/10, 17, 15, , 6
2019/3/11, 21, 33, , 6
2019/3/12, 56, 7, , 6
2019/3/13, 19, 6, , 7
2019/3/14, 11, 8, , 6
2019/3/15, 11, 8, , 6
2019/3/16, 13, 6, 1, 6
2019/3/17, 16, 23, , 6
2019/3/18, 36, 15, , 5
2019/3/19, 20, 14, , 3
2019/3/20, 21, 12, , 3
2019/3/21, 22, 8, , 3
2019/3/22, 15, 6, , 3
2019/3/23, 12, 8, , 3
2019/3/24, 10, 10, , 3
2019/3/25, 16, 13, , 3
2019/3/26, 19, 13, , 3
2019/3/27, 19, 11, , 4
2019/3/28, 19, 9, , 4
2019/3/29, 16, 8, , 3
2019/3/30, 14, 16, , 3
2019/3/31, 21, 10, , 3
2019/4/1, 17, 14, , 3
2018/10/2, 8, 10, , 3
2018/10/3, 14, 10, , 3
2018/10/4, 12, 9, , 3
2018/10/5, 12, 14, , 4
2018/10/6, 14, 9, , 4
2018/10/7, 13, 8, , 4
2018/10/8, 13, 9, , 3
2018/10/9, 14, 11, , 4
2018/10/10, 11, 6, , 4
2018/10/11, 16, 6, , 4
2018/10/12, 12, 10, , 4
2018/10/13, 12, 8, , 4
2018/10/14, 17, 8, , 4
2018/10/15, 22, 9, , 4
2018/10/16, 15, 10, , 4
2018/10/17, 13, 9, , 4
2018/10/18, 14, 7, , 4
2018/10/19, 11, 9, , 4
2018/10/20, 14, 7, , 4
2018/10/21, 11, 7, , 4
2018/10/22, 11, 9, , 3
2018/10/23, 13, 12, , 4
2018/10/24, 16, 12, , 4
2018/10/25, 17, 10, , 4
2018/10/26, 13, 8, , 4
2018/10/27, 15, 12, , 4
2018/10/28, 14, 13, , 4
2018/10/29, 17, 17, , 4
2018/10/30, 20, 12, , 5
2018/10/31, 18, 9, , 5
2018/11/1, 14, 10, , 5
2018/11/2, 19, 9, , 4
2018/11/3, 11, 12, , 4
2018/11/4, 18, 12, , 4
2018/11/5, 17, 12, , 4
2018/11/6, 16, 12, , 4
2018/11/7, 18, 11, , 5
2018/11/8, 20, 11, , 5
2018/11/9, 16, 11, , 5
2018/11/10, 16, 9, , 4
2018/11/11, 15, 10, , 4
2018/11/12, 13, 14, , 4
2018/11/13, 17, 12, , 5
2018/11/14, 14, 11, , 5
2018/11/15, 14, 9, , 5
2018/11/16, 14, 10, , 5
2018/11/17, 15, 13, , 5
2018/11/18, 16, 11, , 5
2018/11/19, 14, 9, , 4
2018/11/20, 11, 8, , 5
2018/11/21, 14, 12, , 5
2018/11/22, 14, 15, , 5
2018/11/23, 22, 15, , 6
2018/11/24, 20, 17, , 5
2018/11/25, 23, 14, , 5
2018/11/26, 21, 10, , 6
2018/11/27, 17, 10, , 5
2018/11/28, 16, 14, , 5
2018/11/29, 17, 12, , 6
2018/11/30, 17, 11, , 5
2018/12/1, 14, 9, , 5
2018/12/2, 14, 7, , 5
2018/12/3, 11, 11, , 5
2018/12/4, 12, 16, , 5
2018/12/5, 19, 21, , 5
2018/12/6, 21, 16, , 5
2018/12/7, 18, 11, , 5
2018/12/8, 16, 11, , 5
2018/12/9, 12, 13, , 5
2018/12/10, 14, 10, , 5
2018/12/11, 20, 11, , 6
2018/12/12, 18, 12, , 5
2018/12/13, 17, 15, , 5
2018/12/14, 18, 15, , 5
2018/12/15, 15, 11, , 5
2018/12/16, 14, 12, , 5
2018/12/17, 17, 10, , 6
2018/12/18, 13, 10, , 6
2018/12/19, 17, 13, , 5
2018/12/20, 16, 9, , 3
2018/12/21, 10, 7, , 3
2018/12/22, 10, 9, , 3
2018/12/23, 13, 13, , 3
2018/12/24, 14, 8, , 3
2018/12/25, 14, 9, , 3
2018/12/26, 14, 13, , 4
2018/12/27, 19, 13, , 4
2018/12/28, 17, 11, , 4
2018/12/29, 16, 13, , 3
2018/12/30, 17, 16, , 3
2018/12/31, 19, , , 
2018/8/30, 24, 17, , 4
2018/8/31, 14, 13, , 3
2018/9/1, 12, 9, , 4
2018/9/2, 13, 11, , 3
2018/9/3, 13, 7, , 4
2018/9/4, 14, 9, , 4
2018/9/5, 10, 7, , 4
2018/9/6, 21, 16, , 4
2018/9/7, 22, 17, , 4
2018/9/8, 14, 12, , 4
2018/9/9, 16, 11, , 4
2018/9/10, 13, 9, , 4
2018/9/11, 13, 9, , 4
2018/9/12, 12, 8, , 4
2018/9/13, 16, 10, , 4
2018/9/14, 21, 13, , 5
2018/9/15, 17, 16, , 4
2018/9/16, 17, 13, , 4
2018/9/17, 17, 13, , 4
2018/9/18, 14, 10, , 4
2018/9/19, 13, 12, , 4
2018/9/20, 17, 12, , 5
2018/9/21, 20, 14, , 6
2018/9/22, 22, 15, , 5
2018/9/23, 16, 14, , 4
2018/9/24, 12, 12, , 4
2018/9/25, 14, 12, , 5
2018/9/26, 17, 11, , 5
2018/9/27, 15, 12, 1, 4
2018/9/28, 13, 7, 4, 3
2018/9/29, 12, 7, , 3
2018/9/30, 10, 8, , 3
2018/10/1, 13, , , 3
2018/4/11, 9, 13, , 4
2018/1/2, 22, 16, , 4
2018/1/3, 22, 12, , 4
2018/1/4, 19, 12, , 4
2018/1/5, 20, 17, , 4
2018/1/6, 26, 11, , 4
2018/1/7, 16, 8, , 4
2018/1/8, 18, 11, , 4
2018/1/9, 24, 14, , 5
2018/1/10, 23, 11, , 5
2018/1/11, 24, 10, , 5
2018/1/12, 27, 11, , 6
2018/1/13, 30, 11, , 5
2018/1/14, 30, 11, , 5
2018/1/15, 29, 8, , 5
2018/1/16, 27, 9, , 5
2018/1/17, 24, 12, , 
2018/1/18, 24, 16, , 
2018/1/19, 26, 10, , 5
2018/1/20, 24, 8, , 5
2018/1/21, 21, 10, , 5
2018/1/22, 26, 10, , 4
2018/1/23, 17, 8, , 3
2018/1/24, 20, 10, , 3
2018/1/25, 22, 13, , 4
2018/1/26, 27, 11, , 4
