date, pm25, pm10, o3, no2, so2
2022/8/23, 34, 8, 18, 4, 
2022/8/24, 27, 9, 20, 4, 
2022/8/25, 32, 11, 21, 7, 
2022/8/26, 32, 11, 26, 4, 1
2022/8/27, 32, 9, 25, 4, 
2022/8/28, 25, 11, 32, 5, 
2022/8/29, 33, 13, 22, 5, 
2022/8/30, 43, 10, 29, 7, 
2022/8/31, 28, 13, 27, 7, 
2022/9/1, 25, 16, 32, 7, 
2022/9/2, 36, 19, 41, 7, 
2022/9/3, 46, 24, 42, 3, 1
2022/9/4, 56, 14, 28, 1, 
2022/9/5, 43, 11, 30, 3, 
2022/9/6, 35, 10, 27, 3, 
2022/9/7, 32, 11, 26, 3, 
2022/9/8, 34, 13, 22, 8, 
2022/9/9, 36, 15, 29, 7, 
2022/9/10, 41, 7, 21, 6, 
2022/9/11, 23, 14, 25, 6, 
2022/9/12, 36, 10, 25, 6, 1
2022/9/13, 28, 10, 26, 7, 
2022/9/14, 24, 10, 25, 6, 
2022/9/15, 27, 11, 26, 4, 
2022/9/16, 26, 7, 25, 5, 
2022/9/17, 20, 8, 25, 6, 
2022/9/18, 22, 7, 26, 2, 
2022/9/19, 15, 6, 25, 5, 
2022/9/20, 20, 10, 27, 8, 1
2022/9/21, 30, 11, 24, 6, 
2022/9/22, 35, 12, 23, 5, 1
2022/9/23, 40, 10, 21, 6, 
2022/9/24, 36, 9, 22, 6, 
2022/9/25, 33, 11, 28, 6, 
2022/9/26, 37, 13, 27, 2, 
2022/9/27, 37, 13, 27, 5, 
2022/9/28, 23, 8, 21, 6, 
2022/9/29, 18, 11, 21, 10, 
2022/9/30, 25, 13, 21, 4, 3
2022/10/1, 39, 11, 22, 1, 
2022/4/2, 7, 13, 31, 8, 2
2022/4/3, 27, 22, 33, 8, 2
2022/4/4, 54, 11, 29, 2, 1
2022/4/5, 14, 15, 32, 1, 2
2022/4/6, 11, 11, 30, , 2
2022/4/7, 8, 12, 30, 2, 2
2022/4/8, 8, 12, 30, 7, 3
2022/4/9, 9, 12, 32, 3, 2
2022/4/10, 9, 12, 32, 4, 3
2022/4/11, 15, 14, 34, 2, 3
2022/4/12, 24, 30, 28, 10, 2
2022/4/13, 69, 19, 32, 6, 2
2022/4/14, 45, 18, 26, 7, 5
2022/4/15, 45, 15, 28, 3, 5
2022/4/16, 48, 19, 32, 4, 4
2022/4/22, 39, 24, 35, 5, 1
2022/4/23, 43, 24, 37, 3, 2
2022/4/24, 42, 21, 35, 2, 
2022/4/25, 36, 18, 29, 7, 2
2022/4/26, 30, 24, 31, 8, 2
2022/4/27, 51, 19, 29, 8, 1
2022/4/28, 29, 21, 30, 8, 1
2022/4/29, 34, 28, 34, 9, 2
2022/4/30, 53, 26, 35, 6, 4
2022/5/1, 57, 18, 27, 4, 4
2022/5/2, 45, 18, 28, 5, 2
2022/5/3, 50, 16, 23, 5, 2
2022/5/4, 42, 14, 25, 7, 2
2022/5/5, 35, 13, 29, 5, 2
2022/5/6, 20, 11, 21, 3, 2
2022/5/7, 20, 12, 26, 5, 1
2022/5/8, 23, 16, 27, 1, 2
2022/5/9, 44, 17, 30, 3, 2
2022/5/10, 38, 16, 30, 1, 
2022/5/11, 20, 13, 29, 2, 1
2022/5/12, 12, 12, 29, 2, 2
2022/5/13, 11, 21, 34, 1, 5
2022/5/14, 22, 24, 36, 3, 12
2022/5/15, 44, 24, 38, 5, 12
2022/5/16, 51, 19, 32, 5, 5
2022/5/17, 48, 15, 30, 2, 3
2022/5/18, 31, 14, 33, 2, 4
2022/5/19, 20, 13, 32, 4, 2
2022/5/20, 14, 13, 30, 2, 5
2022/5/21, 17, 12, 29, 1, 17
2022/5/22, 16, 10, 27, 1, 5
2022/5/23, 14, 10, 30, 3, 
2022/5/24, 8, 11, 29, 2, 
2022/5/25, 6, 11, 27, 2, 
2022/5/26, 9, 11, 28, 2, 
2022/5/27, 16, 18, 30, 2, 
2022/5/28, 21, 15, 27, 2, 
2022/5/29, 15, 9, 26, 3, 
2022/5/30, 9, 8, 27, 3, 
2022/5/31, 8, 9, 30, 4, 
2022/6/1, 14, 11, 32, 5, 
2022/6/2, 12, 15, 35, 6, 1
2022/6/3, 37, 15, 38, 5, 
2022/6/4, 46, 13, 30, 3, 
2022/6/5, 27, 14, 25, 5, 
2022/6/6, 29, 13, 22, 8, 
2022/6/7, 30, 17, 31, 5, 1
2022/6/8, 41, 12, 26, 3, 
2022/6/9, 21, 13, 24, 2, 2
2022/6/10, 22, 20, 28, 1, 1
2022/6/11, 35, 18, 28, 1, 
2022/6/12, 23, , 29, 1, 
2022/6/13, 15, 9, 27, 3, 
2022/6/14, 12, 12, 31, 4, 2
2022/6/15, 17, 17, 35, 10, 3
2022/6/16, 26, 16, 35, 8, 11
2022/6/17, 38, 21, 42, 3, 6
2022/6/18, 34, 18, 24, 2, 1
2022/6/19, 24, 16, 24, 2, 2
2022/6/20, 25, 13, 27, 5, 2
2022/6/21, 26, 15, 29, 6, 3
2022/6/22, 30, 11, 28, 4, 1
2022/6/23, 17, 16, 45, 6, 2
2022/6/24, 33, 17, 33, 3, 2
2022/6/25, 45, 11, 29, 1, 4
2022/6/26, 22, 12, 24, 1, 1
2022/6/27, 14, 11, 24, 2, 4
2022/6/28, 14, 14, 23, 2, 4
2022/6/29, 21, 10, 18, 4, 3
2022/6/30, 19, 9, 23, 4, 2
2022/7/1, 20, 9, 22, 3, 1
2022/1/4, 22, 13, 27, 3, 2
2022/1/5, 16, 16, 29, 10, 2
2022/1/6, 20, 15, 26, 5, 2
2022/1/7, 32, 9, 30, 5, 1
2022/1/8, 8, 14, 28, 4, 3
2022/1/9, 18, 14, 29, 5, 2
2022/1/10, 20, 13, 19, 5, 4
2022/1/11, 28, 19, 17, 20, 3
2022/1/12, 37, 19, 14, 16, 1
2022/1/13, 45, 15, 14, 14, 2
2022/1/14, 42, 18, 11, 16, 2
2022/1/15, 56, 23, 3, 17, 2
2022/1/16, 70, 20, 26, 6, 2
2022/1/17, 59, 18, 29, 11, 2
2022/1/18, 32, 23, 12, 14, 3
2022/1/19, 69, 16, 26, 6, 4
2022/1/20, 39, 17, 27, 16, 4
2022/1/21, 26, 14, 26, 13, 1
2022/1/22, 32, 9, 26, 7, 1
2022/1/23, 12, , 25, 3, 
2022/1/24, 15, 41, 20, 7, 2
2022/1/25, 85, 35, 17, 9, 2
2022/1/26, 90, 23, 25, 8, 1
2022/1/27, 66, , 27, 9, 1
2022/2/1, 17, 12, 30, 3, 
2022/2/2, 17, 13, 25, 6, 1
2022/2/3, 20, 12, 32, 4, 2
2022/2/4, 17, 11, 31, 4, 2
2022/2/5, 13, , , , 
2022/2/8, 18, 26, 30, 1, 
2022/2/10, 9, 16, 28, 5, 11
2022/2/11, 17, 12, 24, 6, 6
2022/2/12, 16, 9, 27, 3, 5
2022/2/13, 14, 6, 26, 3, 3
2022/2/14, 10, 11, 29, 5, 
2022/2/15, 8, 17, 30, 5, 2
2022/2/16, 24, 17, 34, 1, 2
2022/2/17, 28, 17, 34, 4, 1
2022/2/18, 25, 12, 31, 2, 5
2022/2/19, 17, 11, 30, 5, 5
2022/2/20, 9, , 35, 1, 1
2022/2/21, 16, , 32, 4, 
2022/2/22, 37, , 34, 3, 1
2022/2/23, 28, 8, 32, 2, 2
2022/2/24, 11, 9, 29, 2, 
2022/2/25, 10, 19, 30, 5, 1
2022/2/26, 24, 18, 29, 3, 3
2022/2/27, 27, 15, 27, 3, 1
2022/2/28, 33, 17, 23, 9, 3
2022/3/1, 39, 16, 20, 15, 1
2022/3/2, 22, 17, 25, 10, 1
2022/3/3, 43, 34, 26, 12, 1
2022/3/4, 92, 16, 32, 10, 1
2022/3/5, 34, 10, 29, 5, 1
2022/3/6, 9, 12, 30, 7, 
2022/3/7, 13, 17, 29, 12, 1
2022/3/8, 33, 26, 24, 6, 2
2022/3/9, 62, 24, 29, 4, 2
2022/3/10, 58, 13, 28, 4, 3
2022/3/11, 20, 16, 25, 4, 2
2022/3/12, 34, 11, 32, 2, 4
2022/3/13, 17, 11, 31, 2, 2
2022/3/14, 12, 14, 32, 5, 2
2022/3/15, 17, 17, 28, 7, 3
2022/3/16, 33, 25, 28, 8, 2
2022/3/17, 57, 15, 31, 5, 2
2022/3/18, 20, 20, 29, 10, 2
2022/3/19, 37, 26, 31, 3, 
2022/3/20, 53, 28, 34, 5, 
2022/3/24, 63, 44, 41, 18, 7
2022/3/25, 86, 52, 44, 19, 3
2022/3/26, 102, 52, 40, 17, 2
2022/3/27, 101, 31, 29, 5, 2
2022/3/28, 65, 22, 26, 5, 3
2022/3/29, 51, 39, 24, 14, 3
2022/3/30, 85, 32, 23, 8, 3
2022/3/31, 76, 11, 30, 5, 2
2022/4/1, 19, 10, 31, 4, 1
2021/10/2, 22, 11, 26, 2, 3
2021/10/3, 19, , 23, 1, 6
2021/10/4, 15, , 24, 3, 4
2021/10/7, 19, 8, 17, 2, 6
2021/10/8, 19, 10, 17, 2, 3
2021/10/9, 21, , 11, 5, 6
2021/10/13, 22, 12, 18, 8, 4
2021/10/14, 30, 11, 15, 7, 3
2021/10/15, 23, , , , 
2021/11/20, 25, , , , 
2021/11/23, 34, 12, 18, 16, 2
2021/11/24, 46, 11, 17, 5, 3
2021/11/25, 42, 12, 20, 16, 4
2021/11/26, 27, 11, 27, 3, 3
2021/11/27, 24, 11, 27, 4, 3
2021/11/28, 22, 10, 27, 13, 3
2021/11/29, 24, 19, 18, 14, 3
2021/11/30, 57, 10, 28, 5, 1
2021/12/1, 22, 12, 28, 6, 1
2021/12/2, 14, 16, 22, 13, 1
2021/12/3, 19, 14, 18, 14, 3
2021/12/4, 24, 14, 29, 3, 1
2021/12/5, 32, 10, 27, 5, 1
2021/12/6, 18, 12, 27, 6, 4
2021/12/7, 17, 10, 28, 4, 3
2021/12/8, 12, 9, 28, 2, 
2021/12/9, 13, 13, 28, 6, 2
2021/12/10, 17, 13, 28, 8, 
2021/12/11, 17, 13, 21, 6, 2
2021/12/12, 19, 7, 26, 5, 2
2021/12/13, 18, 11, 26, 15, 1
2021/12/14, 31, 17, 15, 16, 1
2021/12/15, 47, 12, 27, 12, 1
2021/12/16, 31, 24, 4, 25, 2
2021/12/17, 62, 30, 12, 25, 1
2021/12/18, 70, 17, 17, 5, 
2021/12/19, 53, 10, 10, 8, 
2021/12/20, 34, 18, 22, 11, 
2021/12/21, 56, 18, 25, 5, 
2021/12/22, 57, 27, 13, 10, 
2021/12/23, 78, 22, 21, 9, 1
2021/12/24, 67, 14, 14, 11, 1
2021/12/25, 45, 7, 24, 2, 1
2021/12/26, 22, 10, 17, 3, 1
2021/12/27, 35, 11, 17, 5, 1
2021/12/28, 42, 10, 15, 7, 1
2021/12/29, 38, 12, 26, 2, 2
2021/12/30, 29, 7, 23, 2, 2
2021/12/31, 12, 11, 30, 1, 3
2022/1/1, 25, 18, 28, 2, 6
2022/1/2, 39, 15, 30, 1, 3
2022/1/3, 29, 15, 29, 1, 1
2021/9/25, 28, 11, 16, 3, 3
2021/9/26, 23, 13, 24, 2, 4
2021/9/27, 34, 12, 30, 1, 3
2021/9/28, 22, 12, 24, 3, 6
2021/9/29, 22, 12, 26, 3, 2
2021/9/30, 23, 11, 24, 3, 17
2021/10/1, 21, 12, 27, 1, 1
2020/7/2, 22, 7, 22, 3, 1
2020/7/3, 16, 5, 20, 1, 
2020/7/4, 12, 4, 13, , 
2020/7/5, 12, 11, 23, , 
2020/7/6, 14, 15, 24, 1, 1
2020/7/7, 18, 9, 17, 3, 3
2020/7/8, 13, 9, 15, 8, 4
2020/7/9, 21, 7, 15, 9, 
2020/7/10, 14, 11, 20, 3, 
2020/7/11, 16, 8, 22, 3, 
2020/7/12, 14, 9, 26, 5, 1
2020/7/13, 22, 6, 19, 3, 
2020/7/14, 13, 6, 19, 3, 
2020/7/15, 10, 7, 17, 4, 
2020/7/16, 15, 8, 15, 4, 1
2020/7/17, 13, 9, 14, 2, 1
2020/7/18, 19, 5, 19, 4, 1
2020/7/19, 12, 13, 22, 2, 
2020/7/20, 23, 10, 23, 4, 1
