date, pm25, no2, so2, co
2020/11/19, 23, 2, 2, 
2020/11/20, 16, 2, 2, 
2020/11/21, 10, 2, 3, 
2020/11/22, 9, 3, 4, 
2020/11/23, 12, 3, 3, 
2020/11/24, 18, 7, 1, 
2020/11/25, 21, 6, 1, 
2020/11/26, 14, 6, 1, 
2020/11/27, 19, 8, 4, 
2020/11/28, 57, 12, 10, 
2020/11/29, 110, 12, 7, 
2020/11/30, 126, 9, 3, 
2020/12/1, 63, 4, 3, 
2020/12/2, 29, 5, 1, 
2020/12/3, 30, 4, 1, 
2020/12/4, 18, 3, 1, 
2020/12/5, 20, 6, 1, 
2020/12/6, 37, 3, 2, 
2020/12/7, 20, 2, 2, 
2020/12/8, 17, 2, 1, 
2020/12/9, 17, 2, , 
2020/12/10, 19, 12, 1, 
2020/12/11, 54, 5, 1, 
2020/12/12, 28, 8, 1, 
2020/12/13, 33, 7, 1, 
2020/12/14, 34, 4, 1, 
2020/12/15, 20, 2, 2, 
2020/12/16, 15, 4, 2, 
2020/12/17, 20, 10, 2, 
2020/12/18, 46, 3, 2, 
2020/12/19, 9, 1, 1, 
2020/12/20, 8, 5, 1, 
2020/12/21, 23, 5, 1, 
2020/12/22, 25, 2, 1, 
2020/12/23, 12, 5, , 
2020/12/24, 21, 8, , 
2020/12/25, 36, 3, , 
2020/12/26, 16, 4, , 
2020/12/27, 18, 5, , 
2020/12/28, 25, 10, , 
2020/12/31, 62, 9, 1, 
2021/1/1, 64, , , 
2020/7/2, 30, 1, , 
2020/7/3, 43, 2, , 
2020/7/4, 30, 1, , 
2020/7/5, 26, 2, , 
2020/7/6, 21, 4, 1, 
2020/7/7, 36, 1, , 
2020/7/8, 14, 1, , 
2020/7/9, 17, 1, , 
2020/7/10, 13, 3, , 
2020/7/11, 16, 1, , 
2020/7/12, 16, 3, , 
2020/7/13, 33, 2, 1, 
2020/7/14, 31, 5, , 
2020/7/15, 17, , , 
2020/7/16, 9, 1, , 
2020/7/17, 13, , , 
2020/7/18, 12, 1, , 
2020/7/19, 14, 3, 1, 
2020/7/20, 40, 3, 1, 
2020/7/21, 31, 2, , 
2020/7/22, 19, 1, , 
2020/7/23, 9, 1, , 
2020/7/24, 10, 1, , 
2020/7/25, 13, 3, 1, 
2020/7/26, 29, 2, , 
2020/7/27, 19, 1, , 
2020/7/28, 14, 4, 1, 
2020/7/29, 26, 4, 1, 
2020/7/30, 32, 1, 1, 
2020/7/31, 23, 1, , 
2020/8/1, 12, 1, , 
2020/8/2, 11, 1, , 
2020/8/3, 11, 1, , 
2020/8/4, 13, 2, , 
2020/8/5, 27, 2, , 
2020/8/6, 29, 1, , 
2020/8/7, 19, 1, , 
2020/8/8, 16, 2, , 
2020/8/9, 34, 3, , 
2020/8/10, 50, 5, 1, 
2020/8/11, 76, 2, , 
2020/8/12, 72, 5, 1, 
2020/8/13, 73, 7, 1, 
2020/8/14, 43, 7, , 
2020/8/15, 36, 4, , 
2020/8/16, 34, 1, , 
2020/8/17, 29, 1, , 
2020/8/18, 17, 3, 3, 
2020/8/19, 40, 4, 1, 
2020/8/20, 22, 3, 2, 
2020/8/21, 13, 4, 5, 
2020/8/22, 25, 2, 6, 
2020/8/23, 14, 2, 8, 
2020/8/24, 12, 2, 8, 
2020/8/25, 16, 4, 4, 
2020/8/26, 18, 1, 1, 
2020/8/27, 13, 3, 1, 
2020/8/28, 14, 3, 2, 
2020/8/29, 18, 1, 2, 
2020/8/30, 12, 2, 3, 
2020/8/31, 15, 1, 4, 
2020/9/1, 12, , 5, 
2020/9/2, 18, , 3, 
2020/9/3, 9, , , 
2020/9/4, 18, , 1, 
2020/9/5, 12, , , 
2020/9/6, 13, , 2, 
2020/9/7, 29, , 1, 
2020/9/8, 25, , 1, 
2020/9/9, 25, , 1, 
2020/9/10, 22, , 2, 
2020/9/11, 14, , 3, 
2020/9/12, 11, , 4, 
2020/9/13, 13, , 4, 
2020/9/14, 16, , 3, 
2020/9/15, 19, , 3, 
2020/9/16, 49, , 3, 
2020/9/17, 34, , 3, 
2020/9/18, 41, , 3, 
2020/9/19, 25, , 2, 
2020/9/20, 10, , 2, 
2020/9/21, 14, , 4, 
2020/9/22, 31, , 5, 
2020/9/23, 35, , 5, 
2020/9/24, 25, , 4, 
2020/9/25, 18, , 2, 
2020/9/26, 15, , , 
2020/9/27, 10, , , 
2020/9/28, 11, , , 
2020/9/29, 17, , 1, 
2020/9/30, 12, , 1, 
2020/10/1, 8, , , 
2020/4/2, 17, 28, 13, 
2020/4/3, 39, 11, 11, 
2020/4/4, 24, 5, 12, 
2020/4/5, 16, 7, 17, 
2020/4/6, 9, 11, 11, 
2020/4/7, 18, 16, 2, 
2020/4/8, 31, 29, 5, 
2020/4/9, 53, 9, 1, 
2020/4/10, 16, 22, 1, 
2020/4/11, 16, 20, , 
2020/4/12, 19, 12, 1, 
2020/4/13, 21, 13, 1, 
2020/4/14, 26, 27, 2, 
2020/4/15, 34, 46, 4, 
2020/4/16, 60, 10, 1, 
2020/4/17, 20, 14, , 
2020/4/18, 16, 13, 1, 
2020/4/19, 27, 10, 1, 
2020/4/20, 13, 13, 2, 
2020/4/21, 24, 19, 3, 
2020/4/22, 43, 27, 1, 
2020/4/23, 46, 37, 1, 
2020/4/24, 38, 21, 1, 
2020/4/25, 37, 15, 1, 
2020/4/26, 55, 12, 1, 
2020/4/27, 29, 24, 3, 
2020/4/28, 53, 35, 4, 
2020/4/29, 67, 15, 2, 
2020/4/30, 40, 6, 1, 
2020/5/1, 17, 7, 1, 
2020/5/2, 21, 5, 1, 
2020/5/3, 9, 9, , 
2020/5/4, 12, 11, 2, 
2020/5/5, 31, 2, , 
2020/5/6, 11, 5, , 
2020/5/7, 11, 3, , 
2020/5/8, 11, 10, , 
2020/5/9, 9, 10, , 
2020/5/10, 34, 5, , 
2020/5/11, 15, 24, 1, 
2020/5/12, 49, 13, , 
2020/5/13, 79, 5, , 
2020/5/14, 53, 6, , 
2020/5/15, 22, 11, , 
2020/5/16, 31, 10, 1, 
2020/5/17, 33, 6, , 
2020/5/18, 25, 6, , 
2020/5/19, 32, 6, , 
2020/5/20, 33, 13, 3, 
2020/5/21, 48, 6, , 
2020/5/22, 31, 4, , 
2020/5/23, 46, , 1, 
2020/5/24, 38, , , 
2020/5/25, 24, , , 
2020/5/26, 17, , , 
2020/5/27, 18, , , 
2020/5/28, 7, , , 
2020/5/29, 9, , , 
2020/5/30, 9, , , 
2020/5/31, 13, , , 
2020/6/1, 7, , , 
2020/6/2, 8, 6, , 
2020/6/3, 14, 1, , 
2020/6/4, 8, 1, , 
2020/6/5, 15, 1, , 
2020/6/6, 14, , , 
2020/6/7, 8, 1, , 
2020/6/8, 9, 1, , 
2020/6/9, 12, 1, , 
2020/6/10, 11, 1, , 
2020/6/11, 9, 1, , 
2020/6/12, 10, 1, , 
2020/6/13, 18, 1, 1, 
2020/6/14, 23, 2, 1, 
2020/6/15, 29, 1, , 
2020/6/16, 14, 1, , 
2020/6/17, 13, , , 
2020/6/18, 14, 2, 1, 
2020/6/19, 26, 3, , 
2020/6/20, 16, , , 
2020/6/21, 10, , , 
2020/6/22, 7, 1, , 
2020/6/23, 10, 3, 1, 
2020/6/24, 21, 4, 2, 
2020/6/25, 41, 3, , 
2020/6/26, 20, 2, 1, 
2020/6/27, 29, 2, , 
2020/6/28, 29, 3, 2, 
2020/6/29, 41, 1, , 
2020/6/30, 15, 3, , 
2020/7/1, 18, 2, , 
2020/1/2, 25, 12, 4, 
2020/1/3, 10, 11, 5, 
2020/1/4, 10, 12, 5, 
2020/1/5, 11, 15, 8, 
2020/1/6, 10, 15, 11, 
2020/1/7, 13, 23, , 
2020/1/8, 17, 16, , 
2020/1/9, 24, 42, , 
2020/1/10, 51, 72, 3, 
2020/1/11, 96, 72, , 
2020/1/12, 108, 53, 3, 
2020/1/13, 71, 23, , 
2020/1/14, 16, 17, 1, 
2020/1/15, 23, 19, 1, 
2020/1/16, 25, 17, 1, 
2020/1/17, 16, 11, , 
2020/1/18, 12, 6, , 
2020/1/19, 9, 15, , 
2020/1/20, 16, 7, , 
2020/1/21, 9, 9, , 
2020/1/22, 8, 18, 1, 
2020/1/23, 31, 20, 1, 
2020/1/24, 40, 9, , 
2020/1/25, 10, 11, 1, 
2020/1/26, 12, 9, , 
2020/1/27, 15, 33, 1, 
2020/1/28, 36, 34, 4, 
2020/1/29, 44, 17, 1, 
2020/1/30, 19, 12, , 
2020/1/31, 21, 20, 1, 
2020/2/1, 35, 29, 2, 
2020/2/2, 63, 21, 2, 
2020/2/3, 55, 17, 8, 
2020/2/4, 60, 28, 2, 
2020/2/5, 50, 37, 2, 
2020/2/6, 47, 44, 6, 
2020/2/7, 80, 13, 2, 
2020/2/8, 17, 18, 3, 
2020/2/9, 26, 6, 4, 
2020/2/10, 15, 5, 2, 
2020/2/11, 10, 12, , 
2020/2/12, 14, 8, , 
2020/2/13, 8, 26, 2, 
2020/2/14, 38, 34, 3, 
2020/2/15, 52, 58, 4, 
2020/2/16, 87, 76, 9, 
2020/2/17, 150, 62, 14, 
2020/2/18, 148, 57, 3, 
2020/2/19, 102, 10, 4, 
2020/2/20, 22, 8, 4, 
2020/2/21, 14, 9, 4, 
2020/2/22, 11, 13, 7, 
2020/2/23, 18, 20, 8, 
2020/2/24, 28, 23, 10, 
2020/2/25, 42, 23, 8, 
2020/2/26, 33, 31, 1, 
2020/2/27, 29, 34, 7, 
2020/2/28, 70, 14, 2, 
2020/2/29, 19, 10, 2, 
2020/3/1, 15, 14, 4, 
2020/3/2, 22, 14, 8, 
2020/3/3, 24, 16, 8, 
2020/3/4, 35, 18, 6, 
2020/3/5, 31, 9, , 
2020/3/6, 17, 9, , 
2020/3/7, 11, 9, , 
2020/3/8, 13, 7, , 
2020/3/9, 9, 8, , 
2020/3/10, 13, 10, , 
2020/3/11, 11, 7, , 
2020/3/12, 8, 9, 1, 
2020/3/13, 11, 9, 1, 
2020/3/14, 8, 19, 1, 
2020/3/15, 15, 7, 1, 
2020/3/16, 12, 8, 1, 
2020/3/17, 12, 9, 1, 
2020/3/18, 12, 12, 4, 
2020/3/19, 18, 6, 2, 
2020/3/20, 10, 9, 4, 
2020/3/21, 12, 11, 5, 
2020/3/22, 13, 11, 7, 
2020/3/23, 11, 4, 5, 
2020/3/24, 9, 5, 5, 
2020/3/25, 7, 7, 4, 
2020/3/26, 11, 6, 1, 
2020/3/27, 10, 6, 2, 
2020/3/28, 10, 5, 2, 
2020/3/29, 11, 3, 2, 
2020/3/30, 6, 4, 3, 
2020/3/31, 10, 4, 4, 
2020/4/1, 9, 8, 8, 
2019/12/11, 10, 4, 2, 
2019/12/12, 12, 12, 2, 
2019/12/13, 14, 5, 3, 
2019/12/14, 10, 7, 1, 
2019/12/15, 17, 6, 1, 
2019/12/16, 10, 13, 2, 
2019/12/17, 15, 9, 3, 
2019/12/18, 21, 7, 2, 
2019/12/19, 19, 9, , 
2019/12/20, 17, 23, , 
2019/12/21, 33, 20, , 
2019/12/22, 60, 7, 2, 
2019/12/23, 40, 23, 5, 
2019/12/24, 82, 25, , 
2019/12/25, 43, 10, 1, 
2019/12/26, 19, 4, , 
2019/12/27, 16, 8, 1, 
2019/12/28, 16, 18, 2, 
2019/12/29, 43, 32, 7, 
2019/12/30, 93, , , 
2022/12/5, , 7, , 
2022/7/31, , , , 
2022/8/1, , , , 
2022/8/2, , , , 
2022/8/3, , , , 
2022/9/6, , , 1, 
2021/12/13, , 3, , 
2021/12/23, , 2, , 
2021/5/17, , 2, , 
2021/5/23, , 2, 1, 
2021/1/6, , 3, 1, 
2021/1/7, , 5, 2, 
2021/1/8, , 10, 2, 
2021/1/9, , 14, 2, 
2021/1/11, , 3, 3, 
2020/12/29, , 7, 1, 
2020/12/30, , 8, 1, 
2020/1/1, , 16, 2, 
2019/12/10, , 7, , 
2023/2/23, , , 1, 
2023/3/17, , , 2, 
