date, pm25, pm10, o3, so2
2018/12/30, 15, 9, , 
2018/12/31, 34, , , 
2018/7/2, 29, , 36, 
2018/7/3, 18, , 49, 2
2018/7/4, 28, , 35, 
2018/7/5, 53, , 33, 
2018/7/6, 34, , 35, 
2018/7/7, 20, , 38, 
2018/7/8, 19, , 41, 
2018/7/9, 23, , 43, 
2018/7/10, 30, , 35, 1
2018/7/11, 30, , 40, 1
2018/7/12, 38, , 39, 1
2018/7/13, 48, , 41, 
2018/7/14, 49, , 37, 
2018/7/15, 27, , 44, 
2018/7/16, 44, , 28, 
2018/7/17, 26, , 27, 
2018/7/18, 20, , 31, 
2018/7/19, 23, , 27, 
2018/7/20, 28, , 28, 
2018/7/21, 19, , 37, 
2018/7/22, 39, , 31, 
2018/7/23, 61, , 39, 2
2018/7/24, 76, , 29, 
2018/7/25, 42, , 29, 
2018/7/26, 22, , 26, 
2018/7/27, 20, , 25, 
2018/7/28, 22, , 30, 
2018/7/29, 28, , 32, 
2018/7/30, 36, , 35, 
2018/7/31, 38, , 40, 1
2018/8/1, 38, , , 
2018/8/3, 27, , 33, 
2018/8/4, 35, , 39, 
2018/8/5, 47, , 42, 
2018/8/6, 50, , 36, 
2018/8/7, 25, , 16, 
2018/8/8, 43, , 31, 2
2018/8/9, 39, , 28, 
2018/8/10, 44, , 29, 
2018/8/11, 48, , 26, 1
2018/8/12, 57, , 34, 
2018/8/13, 74, , 37, 
2018/8/14, 77, , 38, 1
2018/8/15, 74, , 30, 
2018/8/16, 61, , 30, 
2018/8/17, 48, , 32, 
2018/8/18, 54, , 27, 
2018/8/19, 61, , 32, 
2018/8/20, 66, , 29, 
2018/8/21, 64, , 32, 
2018/8/22, 66, , 26, 
2018/8/23, 45, 17, 34, 
2018/8/24, 53, 13, 29, 1
2018/8/25, 49, 15, 32, 
2018/8/26, 61, 14, 33, 
2018/8/27, 54, 22, 32, 
2018/8/28, 64, 9, 30, 
2018/8/29, 28, 6, 23, 
2018/8/30, 20, 8, 29, 
2018/8/31, 26, 9, 35, 
2018/9/1, 32, 6, 29, 
2018/9/2, 20, 7, 25, 
2018/9/3, 20, 5, 16, 
2018/9/4, 18, 12, 25, 
2018/9/5, 25, 9, 21, 
2018/9/6, 20, 10, 24, 
2018/9/7, 22, 6, 23, 
2018/9/8, 18, 8, 23, 
2018/9/9, 20, 5, 25, 
2018/9/10, 13, 5, 32, 
2018/9/11, 21, 9, 33, 
2018/9/12, 24, 11, 38, 
2018/9/13, 31, 12, 42, 
2018/9/14, 26, 14, 37, 1
2018/9/15, 38, 16, 45, 1
2018/9/16, 39, 14, 36, 
2018/9/17, 44, 14, 15, 
2018/9/18, 34, 9, , 
2018/9/20, 29, 11, 32, 
2018/9/21, 30, 6, 25, 
2018/9/22, 13, 4, 28, 1
2018/9/23, 17, 12, 35, 
2018/9/24, 25, 11, 34, 1
2018/9/25, 33, 11, 22, 
2018/9/26, 28, 6, 23, 
2018/9/27, 21, 9, 30, 
2018/9/28, 21, 6, 21, 
2018/9/29, 14, 6, 18, 
2018/9/30, 19, 4, 16, 
2018/10/1, 15, 4, 15, 
2018/4/2, 18, , 33, 
2018/4/3, 28, , 31, 
2018/4/4, 30, , 35, 
2018/4/5, 21, , 36, 
2018/4/6, 28, , 38, 
2018/4/7, 25, , 36, 
2018/4/8, 21, , 40, 
2018/4/9, 24, , 36, 
2018/4/10, 32, , 36, 
2018/4/11, 34, , 37, 
2018/4/12, 45, , 29, 
2018/4/13, 65, , 32, 
2018/4/14, 14, , 34, 
2018/4/15, 10, , 33, 
2018/4/16, 14, , 35, 
2018/4/17, 16, , 36, 
2018/4/18, 15, , , 
2018/4/21, 27, , 42, 
2018/4/22, 43, , 48, 
2018/4/23, 39, , 49, 
2018/4/24, 35, , 53, 1
2018/4/25, 37, , 36, 
2018/4/26, 11, , 43, 
2018/4/27, 31, , 33, 
2018/4/28, 19, , 38, 
2018/4/29, 18, , 42, 
2018/4/30, 25, , 46, 1
2018/5/1, 29, , 42, 
2018/5/2, 33, , 32, 
2018/5/9, 35, , 39, 
2018/5/10, 41, , 34, 
2018/5/11, 23, , 29, 
2018/5/12, 15, , 35, 
2018/5/13, 19, , 28, 
2018/5/14, 29, , 26, 
2018/5/15, 42, , 41, 1
2018/5/16, 34, , 36, 
2018/5/17, 28, , , 
2018/5/23, 29, , 42, 
2018/5/24, 28, , 53, 1
2018/5/25, 34, , 44, 
2018/5/26, 38, , 52, 
2018/5/27, 18, , 53, 1
2018/5/28, 34, , 56, 
2018/5/29, 40, , 65, 1
2018/5/30, 42, , 40, 
2018/5/31, 38, , 45, 
2018/6/1, 26, , 35, 
2018/6/2, 26, , 23, 
2018/6/3, 21, , 27, 
2018/6/4, 13, , 46, 
2018/6/5, 18, , 36, 
2018/6/6, 20, , 32, 
2018/6/7, 23, , 48, 
2018/6/8, 35, , 34, 
2018/6/9, 27, , 45, 
2018/6/10, 38, , 29, 
2018/6/11, 36, , 36, 
2018/6/12, 33, , 32, 
