date, pm25
2022/10/30, 118
2022/10/31, 111
2022/11/1, 89
2022/11/2, 102
2022/11/3, 95
2022/11/4, 99
2022/11/5, 99
2022/11/6, 137
2022/11/7, 106
2022/11/8, 105
2022/11/9, 135
2022/11/10, 153
2022/11/11, 142
2022/11/12, 167
2022/11/13, 152
2022/11/14, 94
2022/11/15, 83
2022/11/16, 163
2022/11/17, 160
2022/11/18, 163
2022/11/19, 122
2022/11/20, 120
2022/11/21, 147
2022/11/22, 146
2022/11/23, 146
2022/11/24, 166
2022/11/25, 150
2022/11/26, 126
2022/11/27, 137
2022/11/28, 114
2022/11/29, 171
2022/11/30, 206
2022/12/1, 170
2022/12/2, 176
2022/12/3, 204
2022/12/4, 146
2022/12/5, 172
2022/12/6, 162
2022/12/7, 201
2022/12/8, 210
2022/12/9, 187
2022/12/10, 158
2022/12/11, 173
2022/12/12, 160
2022/12/13, 160
2022/12/14, 163
2022/12/15, 160
2022/12/16, 172
2022/12/17, 196
2022/12/18, 166
2022/12/19, 193
2022/12/20, 174
2022/12/21, 175
2022/12/22, 170
2022/12/23, 161
2022/12/24, 160
2022/12/25, 170
2022/12/26, 181
2022/12/27, 178
2022/12/28, 169
2022/12/29, 194
2022/12/30, 101
2022/12/31, 136
2023/1/1, 136
2023/1/2, 146
2022/7/2, 77
2022/7/3, 82
2022/7/4, 92
2022/7/5, 87
2022/7/6, 95
2022/7/7, 105
2022/7/8, 67
2022/7/9, 74
2022/7/10, 53
2022/7/11, 58
2022/7/12, 34
2022/7/13, 70
2022/7/14, 77
2022/7/15, 75
2022/7/16, 63
2022/7/17, 73
2022/7/18, 60
2022/7/19, 43
2022/7/20, 62
2022/7/21, 51
2022/7/22, 63
2022/7/23, 58
2022/7/24, 66
2022/7/25, 56
2022/7/26, 55
2022/7/27, 63
2022/7/28, 55
2022/7/29, 59
2022/7/30, 63
2022/7/31, 68
2022/8/1, 63
2022/8/2, 72
2022/8/3, 86
2022/8/4, 83
2022/8/5, 83
2022/8/6, 78
2022/8/7, 87
2022/8/8, 88
2022/8/9, 82
2022/8/10, 86
2022/8/11, 100
2022/8/12, 109
2022/8/13, 64
2022/8/14, 70
2022/8/15, 56
2022/8/16, 60
2022/8/17, 82
2022/8/18, 59
2022/8/19, 65
2022/8/20, 86
2022/8/21, 81
2022/8/22, 77
2022/8/23, 84
2022/8/24, 94
2022/8/25, 84
2022/8/26, 91
2022/8/27, 86
2022/8/28, 85
2022/8/29, 70
2022/8/30, 78
2022/8/31, 87
2022/9/1, 76
2022/9/2, 62
2022/9/3, 63
2022/9/4, 58
2022/9/5, 54
2022/9/6, 68
2022/9/7, 72
2022/9/8, 77
2022/9/9, 91
2022/9/10, 103
2022/9/11, 116
2022/9/12, 68
2022/9/13, 80
2022/9/14, 105
2022/9/15, 90
2022/9/16, 75
2022/9/17, 74
2022/9/18, 77
2022/9/19, 86
2022/9/20, 87
2022/9/21, 75
2022/9/22, 69
2022/9/23, 63
2022/9/24, 58
2022/9/25, 55
2022/9/26, 57
2022/9/27, 64
2022/9/28, 68
2022/9/29, 65
2022/9/30, 64
2022/10/1, 59
2022/4/2, 160
2022/4/3, 121
2022/4/4, 95
2022/4/5, 88
2022/4/6, 93
2022/4/7, 105
2022/4/8, 101
2022/4/9, 106
2022/4/10, 96
2022/4/11, 96
2022/4/12, 110
2022/4/13, 107
2022/4/14, 100
2022/4/15, 105
2022/4/16, 123
2022/4/17, 90
2022/4/18, 89
2022/4/19, 91
2022/4/20, 94
2022/4/21, 95
2022/4/25, 51
2022/4/26, 53
2022/4/27, 55
2022/4/28, 72
2022/4/29, 81
2022/4/30, 86
2022/5/1, 93
2022/5/2, 96
2022/5/3, 88
2022/5/4, 95
2022/5/5, 100
2022/5/6, 139
2022/5/7, 141
2022/5/8, 143
2022/5/9, 94
2022/5/10, 89
2022/5/11, 114
2022/5/12, 111
2022/5/13, 89
2022/5/14, 106
2022/5/15, 87
2022/5/16, 145
2022/5/17, 154
2022/5/18, 129
2022/6/15, 71
2022/6/16, 106
2022/6/17, 89
2022/6/23, 167
2022/6/24, 149
2022/6/25, 139
2022/6/28, 99
2022/6/29, 85
2022/6/30, 82
2022/7/1, 61
2022/1/15, 162
2022/1/16, 150
2022/1/17, 152
2022/1/18, 169
2022/1/19, 173
2022/1/20, 227
2022/1/21, 105
2022/1/22, 105
2022/1/23, 246
2022/1/24, 155
2022/1/25, 193
2022/1/26, 178
2022/1/27, 172
2022/1/28, 200
2022/1/29, 203
2022/1/30, 118
2022/1/31, 118
2022/2/1, 98
2022/2/2, 170
2022/2/3, 146
2022/2/4, 197
2022/2/5, 134
2022/2/6, 121
2022/2/7, 73
2022/2/8, 96
2022/2/9, 106
2022/2/10, 150
2022/2/11, 162
2022/2/12, 152
2022/2/13, 123
2022/2/14, 85
2022/2/15, 124
2022/2/16, 150
2022/2/17, 149
2022/2/18, 124
2022/2/19, 115
2022/2/20, 184
2022/2/21, 119
2022/2/22, 79
2022/2/23, 99
2022/2/24, 160
2022/2/25, 170
2022/2/26, 140
2022/2/27, 143
2022/2/28, 153
2022/3/1, 133
2022/3/2, 137
2022/3/3, 97
2022/3/4, 121
2022/3/5, 118
2022/3/6, 129
2022/3/7, 82
2022/3/8, 114
2022/3/9, 157
2022/3/10, 134
2022/3/11, 123
2022/3/12, 155
2022/3/13, 138
2022/3/14, 97
2022/3/15, 91
2022/3/16, 89
2022/3/17, 93
2022/3/18, 91
2022/3/19, 92
2022/3/20, 139
2022/3/21, 139
2022/3/22, 133
2022/3/23, 137
2022/3/24, 107
2022/3/25, 101
2022/3/26, 138
2022/3/27, 135
2022/3/28, 123
2022/3/29, 104
2022/3/30, 97
2022/3/31, 165
2022/4/1, 174
2021/10/2, 60
2021/10/3, 55
2021/10/4, 61
2021/10/5, 64
2021/10/6, 72
2021/10/7, 102
2021/10/8, 135
2021/10/9, 98
2021/10/10, 93
2021/10/11, 78
2021/10/12, 103
2021/10/13, 160
2021/10/14, 168
2021/10/15, 146
2021/10/16, 137
2021/10/17, 103
2021/10/18, 146
2021/10/19, 92
2021/10/20, 74
2021/10/21, 69
2021/10/22, 67
2021/10/23, 60
2021/10/24, 162
2021/10/25, 163
2021/10/26, 161
2021/10/27, 161
2021/10/28, 165
2021/10/29, 205
2021/10/30, 149
2021/10/31, 165
2021/11/1, 115
2021/11/2, 113
2021/11/3, 127
2021/11/4, 195
2021/11/5, 194
2021/11/6, 194
2021/11/7, 172
2021/11/8, 231
2021/11/9, 201
2021/11/10, 213
2021/11/11, 226
2021/11/12, 210
2021/7/2, 88
2021/7/3, 86
2021/7/4, 81
2021/7/5, 72
2021/7/6, 71
2021/7/7, 74
2021/7/8, 68
2021/7/9, 73
2021/7/10, 77
2021/7/11, 79
2021/7/12, 74
2021/7/13, 97
2021/7/14, 95
2021/7/15, 109
2021/7/16, 79
2021/7/17, 82
2021/7/18, 92
2021/7/19, 50
2021/7/20, 79
2021/7/21, 78
2021/7/22, 78
2021/7/23, 99
2021/7/24, 109
2021/7/25, 80
2021/7/26, 77
2021/7/27, 90
2021/7/28, 84
2021/7/29, 88
2021/7/30, 83
2021/7/31, 82
2021/8/1, 70
2021/8/2, 69
2021/8/3, 75
2021/8/4, 78
2021/8/5, 86
2021/8/6, 87
2021/8/7, 83
2021/8/8, 81
2021/8/9, 71
2021/8/10, 73
2021/8/11, 73
2021/8/12, 69
2021/8/13, 74
2021/8/14, 71
2021/8/15, 67
2021/8/16, 65
2021/8/17, 71
2021/8/18, 71
2021/8/19, 61
2021/8/20, 60
2021/8/21, 67
2021/8/22, 67
2021/8/23, 62
2021/8/24, 59
2021/8/25, 58
2021/8/26, 54
2021/8/27, 62
2021/8/28, 76
2021/8/29, 69
2021/8/30, 66
2021/8/31, 76
2021/9/1, 74
2021/9/2, 97
2021/9/3, 124
2021/9/4, 84
2021/9/5, 71
2021/9/6, 66
2021/9/7, 74
2021/9/8, 80
2021/9/9, 80
2021/9/10, 76
2021/9/11, 74
2021/9/12, 78
2021/9/13, 73
2021/9/14, 81
2021/9/15, 104
2021/9/16, 111
2021/9/17, 105
2021/9/18, 106
2021/9/19, 73
2021/9/20, 56
2021/9/21, 57
2021/9/22, 66
2021/9/23, 72
2021/9/24, 80
2021/9/25, 97
2021/9/26, 105
2021/9/27, 100
2021/9/28, 89
2021/9/29, 104
2021/9/30, 111
2021/10/1, 79
2021/4/2, 139
2021/4/3, 156
2021/4/4, 148
2021/4/5, 121
2021/4/6, 108
2021/4/9, 109
2021/4/10, 84
2021/4/11, 90
2021/4/12, 109
2021/4/13, 96
2021/4/14, 81
2021/4/15, 74
2021/4/16, 75
2021/4/17, 82
2021/4/18, 86
2021/4/19, 86
2021/4/20, 83
2021/4/21, 110
2021/4/22, 116
2021/4/23, 107
2021/4/24, 102
2021/4/25, 201
2021/4/26, 163
2021/4/27, 101
2021/4/28, 103
2021/4/29, 80
2021/4/30, 83
2021/5/1, 85
2021/5/2, 108
2021/5/3, 72
2021/5/4, 80
2021/5/5, 78
2021/5/6, 90
2021/5/7, 78
2021/5/8, 97
2021/5/9, 97
2021/5/10, 89
2021/5/11, 78
2021/5/12, 79
2021/5/13, 76
2021/5/14, 79
2021/5/15, 79
2021/5/16, 75
2021/5/17, 133
2021/5/18, 133
2021/5/19, 114
2021/5/20, 87
2021/5/21, 89
2021/5/22, 87
2021/5/23, 89
2021/5/24, 88
2021/5/25, 81
2021/5/26, 73
2021/5/27, 83
2021/5/28, 82
2021/5/29, 84
2021/5/30, 85
2021/5/31, 77
2021/6/1, 80
2021/6/2, 91
2021/6/3, 82
2021/6/4, 81
2021/6/5, 81
2021/6/6, 79
2021/6/7, 76
2021/6/8, 50
2021/6/9, 71
2021/6/10, 71
2021/6/11, 72
2021/6/12, 88
2021/6/13, 77
2021/6/14, 88
2021/6/15, 97
2021/6/16, 101
2021/6/17, 114
2021/6/18, 131
2021/6/19, 147
2021/6/20, 140
2021/6/21, 165
2021/6/22, 141
2021/6/23, 122
2021/6/24, 97
2021/6/25, 86
2021/6/26, 80
2021/6/27, 79
2021/6/28, 68
2021/6/29, 66
2021/6/30, 66
2021/7/1, 75
2021/1/5, 176
2021/1/6, 189
2021/1/7, 179
2021/1/8, 192
2021/1/9, 116
2021/1/10, 135
2021/1/11, 149
2021/1/12, 146
2021/1/13, 217
2021/1/14, 277
2021/1/15, 204
2021/1/16, 202
2021/1/17, 208
2021/1/18, 230
2021/1/19, 175
2021/1/20, 170
2021/1/21, 210
2021/1/22, 151
2021/1/23, 92
2021/1/24, 205
2021/1/25, 184
2021/1/26, 184
2021/1/27, 171
2021/1/28, 180
2021/1/29, 204
2021/1/30, 188
2021/1/31, 141
2021/2/1, 81
2021/2/2, 115
2021/2/3, 124
2021/2/4, 117
2021/2/5, 148
2021/2/6, 153
2021/2/7, 170
2021/2/8, 176
2021/2/9, 165
2021/2/10, 112
2021/2/11, 141
2021/2/12, 178
2021/2/13, 240
2021/2/14, 209
2021/2/15, 99
2021/2/16, 103
2021/2/17, 106
2021/2/18, 141
2021/2/19, 153
2021/2/20, 177
2021/2/21, 195
2021/2/22, 207
2021/2/23, 130
2021/2/24, 97
