date, pm25, pm10, no2, co
2019/1/30, , , 33, 
2019/1/31, , , 31, 
2019/2/1, , , 26, 
2019/2/2, , , 18, 
2019/2/3, , , 14, 
2019/2/4, , , 12, 
2018/12/7, , , 33, 
2018/12/8, , , 28, 
2018/12/9, , , 18, 
2018/12/16, , , 16, 
2018/12/17, , , 22, 
2018/12/18, , , 14, 
2018/12/19, , , 23, 
2018/12/20, , , 34, 
2018/12/21, , , 32, 
2018/12/22, , , 31, 
2018/12/23, , , 29, 
2018/12/24, , , 16, 
2018/12/25, , , 6, 
2018/12/26, , , 1, 
2018/12/27, , , 6, 
2018/12/28, , , 21, 
2018/12/29, , , 27, 
2018/12/30, , , 28, 
2018/12/31, , , 24, 
2018/7/16, , , 11, 
2018/7/17, , , 24, 
2018/7/18, , , 20, 
2018/7/19, , , 26, 
2018/7/20, , , 31, 
2018/7/21, , , 31, 
2018/7/22, , , 18, 
2018/7/23, , , 11, 
2018/7/24, , , 18, 
2018/7/25, , , 16, 
2018/7/26, , , 22, 
2018/7/27, , , 31, 
2018/7/28, , , 30, 
2018/7/29, , , 16, 
2018/7/30, , , 16, 
2018/7/31, , , 26, 
2018/8/1, , , 36, 
2018/8/2, , , 27, 
2018/8/3, , , 29, 
2018/8/4, , , 30, 
2018/8/5, , , 17, 
2018/8/6, , , 17, 
2018/8/7, , , 22, 
2018/8/8, , , 21, 
2018/8/9, , , 21, 
2018/8/10, , , 21, 
2018/8/11, , , 22, 
2018/8/12, , , 16, 
2018/8/13, , , 9, 
2018/8/14, , , 12, 
2018/8/15, , , 12, 
2018/8/16, , , 10, 
2018/8/17, , , 11, 
2018/8/20, , , 12, 
2018/8/21, , , 11, 
2018/8/22, , , 14, 
2018/8/23, , , 13, 
2018/8/24, , , 15, 
2018/8/25, , , 13, 
2018/8/26, , , 12, 
2018/8/27, , , 10, 
2018/8/28, , , 7, 
2018/8/29, , , 13, 
2018/8/30, , , 18, 
2018/8/31, , , 17, 
2018/9/1, , , 17, 
2018/9/2, , , 13, 
2018/9/3, , , 14, 
2018/9/4, , , 21, 
2018/9/5, , , 17, 
2018/9/30, , , 11, 
2018/10/1, , , 13, 
2018/4/16, , , 17, 
2018/5/23, , , 18, 
2018/5/24, , , 17, 
2018/5/25, , , 21, 
2018/5/26, , , 24, 
2018/5/27, , , 26, 
2018/5/28, , , 29, 
2018/5/29, , , 29, 
2018/5/30, , , 27, 
2018/5/31, , , 19, 
2018/6/1, , , 18, 
2018/6/2, , , 23, 
2018/6/3, , , 25, 
2018/6/4, , , 23, 
2018/6/8, , , 18, 
2018/6/9, , , 10, 
2018/6/10, , , 11, 
2018/6/11, , , 19, 
2018/6/12, , , 16, 
2018/6/13, , , 11, 
2018/6/14, , , 15, 
2018/6/15, , , 13, 
2018/6/16, , , 10, 
2018/6/17, , , 18, 
2018/6/18, , , 24, 
2018/6/19, , , 10, 
2018/6/20, , , 17, 
2018/6/21, , , 20, 
2018/6/22, , , 14, 
2018/6/23, , , 5, 
2018/6/24, , , 9, 
2018/6/25, , , 12, 
2018/6/26, , , 7, 
2018/3/15, , , 20, 
2018/3/16, , , 27, 
2018/3/17, , , 15, 
2018/3/18, , , 22, 
2018/3/19, , , 19, 
2018/3/20, , , 22, 
2018/3/21, , , 22, 
2018/3/22, , , 11, 
2018/3/23, , , 19, 
2018/3/24, , , 21, 
2018/3/25, , , 20, 
2018/3/26, , , 17, 
2018/3/27, , , 21, 
2018/3/28, , , 27, 
2018/3/29, , , 31, 
