date, pm25, pm10, no2, co
2021/12/3, 34, 12, 21, 5
2021/12/4, 36, 22, 22, 7
2021/12/5, 63, 19, 20, 5
2021/12/6, 41, 13, 21, 5
2021/12/7, 42, 25, 26, 10
2021/12/8, 71, 23, 22, 7
2021/12/9, 52, 18, 23, 10
2021/12/10, 48, 21, 26, 11
2021/12/11, 46, 24, 19, 5
2021/12/12, 73, 14, 17, 4
2021/12/13, 45, 28, 30, 15
2021/12/14, 74, 34, 34, 20
2021/12/15, 83, 20, 22, 8
2021/12/16, 54, 23, 23, 9
2021/12/17, 64, 23, 24, 7
2021/12/18, 60, 15, 14, 3
2021/12/19, 39, 26, 26, 10
2021/12/20, 64, 41, 34, 21
2021/12/21, 100, 36, 28, 8
2021/12/22, 94, 40, 30, 10
2021/12/23, 106, 42, 29, 11
2021/12/24, 110, 25, 23, 10
2021/12/25, 67, 21, 9, 2
2021/12/26, 43, 23, 7, 3
2021/12/27, 38, 17, 19, 8
2021/12/28, 40, 17, 19, 7
2021/12/29, 47, 27, 23, 12
2021/12/30, 56, 29, 24, 11
2021/12/31, 76, 33, 30, 18
2022/1/1, 82, 59, 21, 10
2022/1/2, 153, 48, 15, 5
2022/1/3, 134, 18, 18, 6
2021/7/2, 46, 29, 13, 4
2021/7/3, 46, 28, 18, 4
2021/7/4, 56, 20, 12, 3
2021/7/5, 50, 26, 13, 4
2021/7/6, 52, 31, 22, 5
2021/7/7, 60, 35, 28, 6
2021/7/8, 68, 37, 29, 7
2021/7/9, 77, 28, 18, 5
2021/7/10, 61, 25, 13, 4
2021/7/11, 47, 23, 12, 3
2021/7/12, 49, 26, 15, 5
2021/7/13, 55, 30, 21, 5
2021/7/14, 65, 31, 12, 4
2021/7/15, 42, 19, 12, 4
2021/7/16, 38, 20, 13, 4
2021/7/17, 44, 24, 14, 3
2021/7/18, 55, 17, 14, 3
2021/7/19, 54, 29, 31, 7
2021/7/20, 66, 28, 21, 5
2021/7/21, 64, 29, 19, 4
2021/7/22, 68, 35, 25, 4
2021/7/23, 74, 32, 24, 4
2021/7/24, 73, 29, 19, 3
2021/7/25, 64, 32, 23, 3
2021/7/26, 72, 41, 36, 6
2021/7/27, 95, 43, 37, 5
2021/7/28, 95, 40, 36, 5
2021/7/29, 93, 43, 31, 6
2021/7/30, 92, 40, 21, 4
2021/7/31, 82, 49, 23, 4
2021/8/1, 90, 47, 16, 3
2021/8/2, 74, 23, 14, 2
2021/8/3, 44, 28, 19, 3
2021/8/4, 52, 36, 19, 3
2021/8/5, 68, 35, 12, 3
2021/8/6, 56, 24, 11, 2
2021/8/7, 42, 24, 19, 2
2021/8/8, 50, 28, 22, 3
2021/8/9, 62, 30, 16, 2
2021/8/10, 62, 36, 28, 3
2021/8/11, 76, 48, 33, 3
2021/8/12, 103, 43, 27, 3
2021/8/13, 85, 41, 30, 4
2021/8/14, 97, 43, 34, 4
2021/8/15, 94, 35, 24, 3
2021/8/16, 84, 34, 16, 2
2021/8/17, 68, 30, 14, 1
2021/8/18, 57, 38, 9, 1
2021/8/19, 63, 26, 10, 2
2021/8/20, 63, 30, 14, 4
2021/8/21, 62, 23, , 3
2021/8/22, 58, 26, , 4
2021/8/23, 60, 20, 14, 4
2021/8/24, 49, 24, 13, 4
2021/8/25, 53, 28, 13, 4
2021/8/26, 55, 23, 12, 4
2021/8/27, 53, 21, 11, 4
2021/8/28, 45, 23, 12, 4
2021/8/29, 48, 28, 11, 5
2021/8/30, 60, 17, 13, 4
2021/8/31, 43, 20, 21, 6
2021/9/1, 49, 23, 18, 5
2021/9/2, 55, 24, 13, 3
2021/9/3, 58, 29, 24, 5
2021/9/4, 69, 26, 15, 4
2021/9/5, 58, 22, 12, 3
2021/9/6, 61, 24, 14, 3
2021/9/7, 69, 30, 19, 4
2021/9/8, 78, 30, 19, 4
2021/9/9, 76, 29, 26, 6
2021/9/10, 74, 34, 27, 7
2021/9/11, 79, 33, 24, 5
2021/9/12, 77, 26, 17, 3
2021/9/13, 66, 48, 30, 8
2021/9/14, 101, 35, 24, 7
2021/9/15, 73, 29, 25, 8
2021/9/16, 67, 32, 26, 7
2021/9/17, 69, 31, 28, 6
2021/9/18, 71, 37, 21, 6
2021/9/19, 70, 24, 21, 5
2021/9/20, 55, 27, 14, 6
2021/9/21, 46, 27, 19, 6
2021/9/22, 50, 20, 10, 2
2021/9/23, 51, 18, 10, 2
2021/9/24, 49, 27, 26, 7
2021/9/25, 62, 34, 35, 7
2021/9/26, 68, 38, 35, 8
2021/9/27, 70, 44, 28, 10
2021/9/28, 68, 42, 18, 6
2021/9/29, 76, 39, 28, 9
2021/9/30, 86, 36, 30, 7
2021/10/1, 83, 24, 18, 5
2021/4/2, 92, 21, 15, 5
2021/4/3, 56, 25, 21, 6
2021/4/4, 66, 17, 4, 1
2021/4/5, 41, 12, 8, 2
2021/4/6, 29, 26, 14, 4
2021/4/7, 55, 20, 8, 2
2021/4/8, 36, 12, 12, 3
2021/4/9, 38, 24, 24, 5
2021/4/10, 57, 18, 20, 4
2021/4/11, 48, 27, 20, 5
2021/4/12, 66, 33, 24, 6
2021/4/13, 70, 23, 18, 6
2021/4/14, 37, 19, 12, 3
2021/4/15, 44, 15, 14, 3
2021/4/16, 45, 15, 10, 2
2021/4/17, 43, 15, 8, 3
2021/4/18, 49, 16, 12, 3
2021/4/19, 49, 16, 17, 4
2021/4/20, 49, 28, 25, 7
2021/4/21, 73, 24, 26, 8
2021/4/22, 65, 23, 25, 7
2021/4/23, 63, 13, 9, 4
2021/4/24, 43, 14, 7, 3
2021/4/25, 46, 16, 17, 5
2021/4/26, 52, 25, 27, 8
2021/4/27, 66, 37, 18, 6
2021/4/28, 56, 46, 10, 6
2021/4/29, 55, 32, 22, 8
2021/4/30, 55, 39, 32, 12
2021/5/1, 81, 35, 22, 6
2021/5/2, 67, 23, 10, 3
2021/5/3, 37, 19, 17, 5
2021/5/4, 41, 19, 21, 5
2021/5/5, 47, 17, 15, 4
2021/5/6, 47, 18, 14, 4
2021/5/7, 46, 20, 18, 5
2021/5/8, 46, 18, 16, 4
2021/5/9, 47, 23, 25, 6
2021/5/10, 58, 30, 29, 7
2021/5/11, 64, 30, 22, 6
2021/5/12, 63, 23, 13, 5
2021/5/13, 35, 22, 14, 5
2021/5/14, 51, 24, 12, 4
2021/5/15, 36, 14, 17, 4
2021/5/16, 35, 18, 8, 3
2021/5/17, 33, 27, 16, 4
2021/5/18, 47, 32, 14, 4
2021/5/19, 46, 24, 15, 5
2021/5/20, 41, 19, 17, 3
2021/5/21, 41, 16, 21, 4
