date, pm25, o3
2022/10/26, 157, 28
2022/10/27, 162, 26
2022/10/28, 164, 24
2022/10/29, 170, 
2022/11/2, 163, 26
2022/11/3, 172, 25
2022/11/4, 176, 15
2022/11/5, 168, 14
2022/11/6, 151, 18
2022/11/7, 127, 17
2022/11/8, 148, 14
2022/11/9, 161, 12
2022/11/10, 187, 17
2022/11/11, 163, 19
2022/11/12, 178, 16
2022/11/13, 159, 15
2022/11/14, 156, 18
2022/11/15, 147, 14
2022/11/16, 127, 19
2022/11/17, 134, 30
2022/11/18, 165, 32
2022/11/19, 164, 20
2022/11/20, 163, 15
2022/11/21, 138, 20
2022/11/22, 102, 13
2022/11/23, 139, 14
2022/11/24, 160, 18
2022/11/25, 140, 16
2022/11/26, 151, 
2022/12/2, 133, 17
2022/12/3, 140, 25
2022/12/4, 163, 20
2022/12/5, 154, 16
2022/12/6, 142, 21
2022/12/7, 158, 19
2022/12/8, 203, 19
2022/12/9, 151, 16
2022/12/10, 117, 17
2022/12/11, 100, 20
2022/12/12, 105, 20
2022/12/13, 127, 19
2022/12/14, 144, 21
2022/12/15, 140, 19
2022/12/16, 128, 20
2022/12/17, 116, 15
2022/12/18, 146, 16
2022/12/19, 127, 16
2022/12/20, 141, 16
2022/12/21, 143, 16
2022/12/22, 130, 17
2022/12/23, 130, 20
2022/12/24, 136, 11
2022/12/25, 185, 14
2022/12/26, 142, 15
2022/12/27, 104, 7
2022/12/28, 85, 14
2022/12/29, 109, 19
2022/12/30, 81, 19
2022/12/31, 113, 19
2023/1/1, 89, 18
2023/1/2, 96, 18
2022/7/2, 186, 25
2022/7/3, 208, 31
2022/7/4, 185, 19
2022/7/5, 221, 14
2022/7/6, 215, 11
2022/7/7, 211, 14
2022/7/8, 164, 16
2022/7/9, 118, 15
2022/7/10, 133, 16
2022/7/11, 145, 11
2022/7/12, 131, 12
2022/7/13, 141, 15
2022/7/14, 158, 23
2022/7/15, 201, 22
2022/7/16, 331, 29
2022/7/17, 237, 29
2022/7/18, 251, 19
2022/7/19, 241, 23
2022/7/20, 197, 20
2022/7/21, 171, 23
2022/7/22, 172, 16
2022/7/23, 236, 22
2022/7/24, 189, 24
2022/7/25, 203, 23
2022/7/26, 249, 8
2022/7/27, 244, 12
2022/7/28, 96, 9
2022/7/29, 106, 14
2022/7/30, 153, 17
2022/7/31, 235, 18
2022/8/1, 226, 15
2022/8/2, 258, 18
2022/8/3, 197, 18
2022/8/4, 201, 31
2022/8/5, 181, 23
2022/8/6, 187, 25
2022/8/7, 197, 28
2022/8/8, 218, 20
2022/8/9, 209, 23
2022/8/10, 184, 18
2022/8/11, 178, 31
2022/8/12, 180, 21
2022/8/13, 204, 17
2022/8/14, 243, 11
2022/8/15, 311, 18
2022/8/16, 417, 37
2022/8/17, 233, 32
2022/8/18, 211, 32
2022/8/19, 199, 40
2022/8/20, 193, 31
2022/8/21, 192, 28
2022/8/22, 261, 26
2022/8/23, 298, 34
2022/8/24, 219, 23
2022/8/25, 194, 18
2022/8/26, 177, 20
2022/8/27, 185, 22
2022/8/28, 187, 16
2022/8/29, 190, 9
2022/8/30, 215, 
2022/8/31, 212, 
2022/9/1, 185, 
2022/9/2, 167, 
2022/9/3, 163, 
2022/9/4, 185, 
2022/9/5, 231, 
2022/9/6, 194, 
2022/9/7, 177, 
2022/9/8, 182, 
2022/9/9, 170, 
2022/9/10, 192, 
2022/9/11, 180, 
2022/9/12, 169, 
2022/9/13, 177, 
2022/9/14, 189, 19
2022/9/15, 181, 19
2022/9/16, 186, 19
2022/9/17, 164, 18
2022/9/18, 217, 32
2022/9/19, 214, 25
2022/9/20, 182, 18
2022/9/21, 210, 32
2022/9/22, 217, 27
2022/9/23, 192, 26
2022/9/24, 179, 17
2022/9/25, 171, 24
2022/9/26, 173, 41
2022/9/27, 185, 25
2022/9/28, 174, 23
2022/9/29, 171, 32
2022/9/30, 174, 30
2022/10/1, 174, 24
2022/4/2, 130, 
2022/4/6, 31, 27
2022/4/21, 151, 29
2022/4/22, 161, 19
2022/4/23, 174, 27
2022/4/24, 197, 34
2022/4/25, 204, 22
2022/4/26, 213, 24
2022/4/27, 230, 16
2022/4/28, 191, 17
2022/4/29, 187, 20
2022/4/30, 254, 16
2022/5/1, 178, 16
2022/5/2, 178, 21
2022/5/3, 184, 21
2022/5/4, 547, 24
2022/5/5, 208, 19
2022/5/6, 197, 23
2022/5/7, 285, 15
2022/5/8, 312, 20
2022/5/9, 235, 19
2022/5/10, 194, 26
2022/5/11, 167, 23
2022/5/12, 168, 24
2022/5/13, 194, 26
2022/5/14, 192, 24
2022/5/15, 288, 27
2022/5/16, 487, 30
2022/5/17, 257, 26
2022/5/18, 208, 20
2022/5/19, 709, 19
2022/5/20, 421, 18
2022/5/21, 272, 22
2022/5/22, 206, 21
2022/5/23, 220, 39
2022/5/24, 200, 19
2022/5/25, 268, 21
2022/5/26, 560, 21
2022/5/27, 223, 20
2022/5/28, 198, 22
2022/5/29, 216, 22
2022/5/30, 186, 33
2022/5/31, 172, 37
2022/6/1, 193, 32
2022/6/2, 202, 15
2022/6/3, 233, 24
2022/6/4, 241, 28
2022/6/5, 180, 25
2022/6/6, 183, 40
2022/6/7, 187, 8
2022/6/8, 192, 
2022/6/10, 240, 23
2022/6/11, 209, 25
2022/6/12, 206, 23
2022/6/13, 186, 15
2022/6/14, 282, 19
2022/6/15, 224, 25
2022/6/16, 268, 25
2022/6/17, 225, 23
2022/6/18, 208, 28
2022/6/19, 177, 26
2022/6/20, 238, 21
2022/6/21, 304, 27
2022/6/22, 200, 38
2022/6/23, 202, 12
2022/6/24, 334, 17
2022/6/25, 335, 16
2022/6/26, 320, 21
2022/6/27, 217, 30
2022/6/28, 212, 24
2022/6/29, 212, 21
2022/6/30, 293, 22
2022/7/1, 261, 47
2022/1/4, 127, 
2022/1/5, 65, 
2022/1/6, 74, 
2022/1/7, 60, 
2022/1/8, 77, 
2022/1/9, 79, 
2022/1/10, 86, 
2022/1/11, 113, 
2022/1/12, 80, 
2022/1/13, 93, 
2022/1/14, 127, 
2022/1/15, 112, 
2022/1/16, 125, 
2022/1/17, 85, 
2022/1/18, 77, 
2022/1/19, 76, 
2022/1/20, 59, 
2022/1/21, 65, 
2022/1/22, 68, 
2022/1/23, 58, 
2022/1/24, 77, 
2022/1/25, 84, 
2022/1/26, 136, 
2022/1/27, 140, 
2022/1/28, 110, 
2022/1/29, 132, 
2022/1/30, 100, 
2022/1/31, 86, 
2022/2/1, 104, 
2022/2/2, 155, 
2022/2/3, 146, 
2022/2/4, 107, 
2022/2/5, 110, 
2022/2/6, 121, 
2022/2/7, 89, 
2022/2/8, 66, 
2022/2/9, 63, 
2022/2/10, 74, 
2022/2/11, 106, 
2022/2/12, 98, 
2022/2/13, 85, 
2022/2/14, 88, 
2022/2/15, 87, 
2022/2/16, 81, 
2022/2/17, 85, 
2022/2/18, 97, 
2022/2/19, 91, 
2022/2/20, 88, 
2022/2/21, 103, 
2022/2/22, 117, 
2022/2/23, 129, 
2022/2/24, 157, 
2022/2/25, 156, 
2022/2/26, 152, 
2022/2/27, 144, 
2022/2/28, 120, 
2022/3/1, 116, 
2022/3/2, 74, 
2022/3/3, 85, 
2022/3/4, 106, 
2022/3/5, 120, 
2022/3/6, 98, 
2022/3/7, 135, 
2022/3/8, 158, 
2022/3/9, 121, 
2022/3/10, 88, 
2022/3/11, 84, 
2022/3/12, 94, 
2022/3/13, 95, 
2022/3/14, 114, 
2022/3/15, 129, 
2022/3/16, 147, 
2022/3/17, 118, 
2022/3/18, 88, 
2022/3/19, 60, 
2022/3/23, 134, 
2022/3/24, 152, 
2022/3/25, 153, 
2022/3/26, 150, 
2022/3/27, 121, 
2022/3/28, 84, 
2022/3/29, 71, 
2022/3/30, 86, 
2022/3/31, 112, 
2022/4/1, 134, 
2021/10/2, 101, 
2021/10/3, 130, 
2021/10/4, 102, 
2021/10/31, 89, 
2021/11/1, 79, 
2021/11/2, 115, 
2021/11/3, 148, 
2021/11/4, 145, 
2021/11/5, 154, 
2021/11/6, 145, 
2021/11/7, 117, 
2021/11/8, 105, 
2021/11/9, 82, 
2021/11/10, 78, 
2021/11/11, 73, 
2021/11/12, 74, 
2021/11/13, 68, 
2021/11/14, 76, 
2021/11/15, 71, 
2021/11/16, 95, 
2021/11/17, 86, 
2021/11/18, 91, 
2021/11/19, 99, 
2021/11/20, 107, 
2021/11/21, 88, 
2021/11/22, 89, 
2021/11/23, 79, 
2021/11/24, 86, 
2021/11/25, 78, 
2021/11/26, 67, 
2021/11/27, 104, 
2021/11/28, 110, 
2021/11/29, 97, 
2021/11/30, 77, 
2021/12/1, 83, 
2021/12/2, 74, 
2021/12/3, 80, 
2021/12/4, 81, 
2021/12/5, 61, 
2021/12/6, 86, 
2021/12/7, 100, 
2021/12/8, 92, 
2021/12/9, 91, 
2021/12/10, 73, 
2021/12/11, 83, 
2021/12/12, 108, 
2021/12/13, 106, 
2021/12/14, 111, 
2021/12/15, 86, 
2021/12/16, 78, 
2021/12/17, 76, 
2021/12/18, 79, 
2021/12/19, 70, 
2021/12/20, 75, 
2021/12/21, 80, 
2021/12/22, 87, 
2021/12/23, 85, 
2021/12/24, 83, 
2021/12/25, 61, 
2021/12/26, 65, 
2021/12/27, 75, 
2021/12/28, 58, 
2021/12/29, 80, 
2021/12/30, 91, 
2021/12/31, 84, 
2022/1/1, 70, 
2022/1/2, 46, 
2022/1/3, 102, 
2021/7/2, 114, 
2021/7/3, 156, 
2021/7/4, 162, 
2021/7/5, 167, 
2021/7/6, 132, 
2021/7/7, 105, 
2021/7/8, 125, 
2021/7/9, 149, 
2021/7/10, 129, 
2021/7/12, 93, 
2021/7/13, 107, 
2021/7/14, 124, 
2021/7/15, 104, 
2021/7/16, 92, 
2021/7/17, 71, 
2021/7/18, 80, 
2021/7/19, 80, 
2021/7/20, 78, 
2021/7/21, 81, 
2021/7/22, 130, 
2021/7/23, 110, 
2021/7/24, 151, 
2021/7/25, 158, 
2021/7/26, 163, 
2021/7/27, 166, 
2021/7/28, 167, 
2021/7/29, 162, 
2021/7/30, 166, 
2021/7/31, 183, 
2021/8/1, 167, 
2021/8/2, 147, 
2021/8/3, 132, 
2021/8/4, 145, 
2021/8/5, 130, 
2021/8/6, 146, 
2021/8/7, 156, 
2021/8/8, 149, 
2021/8/9, 127, 
2021/8/10, 116, 
2021/8/11, 105, 
2021/8/12, 118, 
2021/8/13, 132, 
2021/8/14, 134, 
2021/8/15, 112, 
2021/8/16, 111, 
2021/8/17, 142, 
2021/8/18, 120, 
2021/8/19, 107, 
2021/8/20, 133, 
2021/8/21, 151, 
2021/8/22, 124, 
2021/8/23, 101, 
2021/8/24, 136, 
2021/8/25, 135, 
2021/8/26, 150, 
2021/8/27, 154, 
2021/8/28, 155, 
2021/8/29, 143, 
2021/8/30, 123, 
2021/8/31, 107, 
2021/9/1, 116, 
2021/9/2, 103, 
2021/9/3, 102, 
2021/9/4, 126, 
2021/9/5, 130, 
2021/9/6, 153, 
2021/9/7, 160, 
2021/9/8, 154, 
2021/9/9, 147, 
2021/9/10, 132, 
2021/9/11, 159, 
2021/9/12, 153, 
2021/9/13, 127, 
2021/9/14, 128, 
2021/9/15, 117, 
2021/9/16, 113, 
2021/9/17, 129, 
2021/9/18, 109, 
2021/9/19, 94, 
2021/9/20, 101, 
2021/9/21, 122, 
2021/9/22, 143, 
2021/9/23, 87, 
2021/9/24, 94, 
2021/9/25, 111, 
2021/9/26, 119, 
2021/9/27, 93, 
2021/9/28, 101, 
2021/9/29, 119, 
2021/9/30, 95, 
2021/10/1, 139, 
2021/4/2, 102, 
2021/4/4, 154, 
2021/4/5, 97, 
2021/4/6, 65, 
2021/4/7, 77, 
2021/4/8, 96, 
2021/4/9, 105, 
2021/4/10, 138, 
2021/4/11, 104, 
2021/4/12, 116, 
2021/4/13, 105, 
2021/4/14, 101, 
2021/4/15, 95, 
2021/4/16, 98, 
2021/4/17, 91, 
2021/4/19, 136, 
2021/4/20, 137, 
2021/4/21, 123, 
2021/4/22, 145, 
2021/4/23, 141, 
2021/4/24, 126, 
2021/4/25, 142, 
2021/4/26, 152, 
2021/4/27, 138, 
2021/4/28, 109, 
2021/4/29, 101, 
2021/4/30, 110, 
2021/5/1, 95, 
2021/5/2, 89, 
2021/5/3, 85, 
2021/5/4, 81, 
2021/5/5, 95, 
2021/5/6, 110, 
2021/5/7, 87, 
2021/5/8, 111, 
2021/5/9, 107, 
2021/5/10, 112, 
2021/5/11, 99, 
2021/5/12, 114, 
2021/5/13, 133, 
2021/5/17, 117, 
2021/5/18, 131, 
2021/5/19, 118, 
2021/5/20, 105, 
2021/5/21, 141, 
2021/5/22, 149, 
2021/5/23, 139, 
2021/5/24, 129, 
2021/5/25, 148, 
2021/5/26, 139, 
2021/5/27, 131, 
2021/5/28, 82, 
2021/5/29, 96, 
2021/5/30, 120, 
2021/5/31, 130, 
2021/6/1, 127, 
2021/6/2, 137, 
2021/6/3, 104, 
2021/6/4, 129, 
2021/6/5, 158, 
2021/6/6, 167, 
2021/6/7, 141, 
2021/6/8, 93, 
2021/6/9, 96, 
2021/6/10, 110, 
2021/6/11, 98, 
2021/6/12, 91, 
2021/6/13, 130, 
2021/6/14, 130, 
2021/6/15, 106, 
2021/6/16, 154, 
2021/6/17, 138, 
2021/6/18, 154, 
2021/6/19, 140, 
2021/6/20, 158, 
2021/6/21, 132, 
2021/6/22, 136, 
2021/6/23, 148, 
2021/6/24, 140, 
2021/6/25, 131, 
2021/6/26, 114, 
2021/6/30, 127, 
2021/7/1, 104, 
2021/1/5, 59, 5
2021/1/6, 47, 6
2021/1/7, 62, 5
2021/1/8, 70, 5
2021/1/9, 50, 4
2021/1/10, 40, 4
2021/1/11, 37, 5
2021/1/12, 53, 5
2021/1/13, 61, 6
2021/1/14, 76, 7
2021/1/15, 99, 7
2021/1/16, 110, 6
2021/1/17, 129, 4
2021/1/18, 110, 6
2021/1/19, 119, 4
2021/1/20, 122, 4
2021/1/21, 71, 4
2021/1/22, 82, 5
2021/1/23, 52, 4
2021/1/24, 113, 4
2021/1/25, 115, 5
2021/1/26, 107, 4
2021/1/27, 125, 4
2021/1/28, 93, 5
2021/1/29, 127, 5
2021/1/30, 103, 2
2021/1/31, 115, 
2021/2/2, 62, 4
2021/2/3, 66, 5
2021/2/4, 87, 6
2021/2/5, 132, 5
2021/2/6, 87, 4
2021/2/7, 81, 4
2021/2/8, 79, 4
2021/2/9, 80, 4
2021/2/10, 76, 4
2021/2/11, 124, 4
2021/2/12, 106, 4
2021/2/13, 109, 3
2021/2/14, 127, 4
2021/2/15, 112, 4
2021/2/16, 131, 4
2021/2/17, 130, 4
2021/2/18, 129, 3
2021/2/19, 96, 3
2021/2/20, 78, 3
2021/2/21, 88, 3
2021/2/22, 87, 3
2021/2/23, 71, 3
2021/2/24, 110, 3
2021/2/25, 70, 3
2021/2/26, 80, 4
2021/2/27, 78, 3
2021/2/28, 63, 3
2021/3/1, 78, 4
2021/3/2, 98, 4
2021/3/3, 109, 3
2021/3/4, 95, 3
2021/3/5, 101, 4
2021/3/6, 105, 3
2021/3/7, 91, 3
2021/3/8, 74, 4
2021/3/9, 72, 
2021/3/10, 85, 
2021/3/11, 102, 
2021/3/12, 116, 
2021/3/13, 97, 
2021/3/14, 150, 
2021/3/15, 97, 
2021/3/16, 84, 
2021/3/17, 98, 
2021/3/18, 128, 
2021/3/19, 156, 
2021/3/20, 107, 
2021/3/21, 141, 
2021/3/22, 62, 
2021/3/23, 58, 
2021/3/24, 83, 
2021/3/25, 116, 
2021/3/26, 110, 
2021/3/27, 101, 
2021/3/28, 109, 
2021/3/29, 102, 
2021/3/30, 73, 
2021/3/31, 85, 
2021/4/1, 93, 
2020/10/2, 82, 14
2020/10/3, 84, 12
2020/10/4, 97, 10
2020/10/5, 100, 10
2020/10/6, 105, 11
2020/10/7, 108, 12
2020/10/8, 102, 10
2020/10/9, 119, 9
2020/10/10, 114, 8
2020/10/11, 85, 11
2020/10/12, 58, 8
2020/10/13, 85, 8
2020/10/14, 70, 9
2020/10/15, 54, 9
2020/10/16, 48, 10
2020/10/17, 49, 8
2020/10/18, 50, 8
2020/10/19, 58, 9
2020/10/20, 64, 8
2020/10/21, 56, 7
2020/10/22, 54, 10
2020/10/23, 81, 10
2020/10/24, 136, 11
2020/10/25, 79, 9
2020/10/26, 74, 8
2020/10/27, 77, 6
2020/10/28, 77, 9
2020/10/29, 70, 8
2020/10/30, 83, 11
2020/10/31, 74, 11
2020/11/1, 98, 10
2020/11/2, 148, 9
2020/11/3, 136, 8
2020/11/4, 128, 8
2020/11/5, 113, 8
2020/11/6, 108, 6
2020/11/7, 114, 
2020/11/10, 95, 5
2020/11/11, 92, 7
2020/11/12, 121, 7
2020/11/13, 113, 7
2020/11/14, 103, 6
2020/11/15, 91, 7
2020/11/16, 69, 7
2020/11/17, 55, 7
2020/11/18, 67, 6
2020/11/19, 78, 6
2020/11/20, 59, 6
2020/11/21, 69, 6
2020/11/22, 68, 6
2020/11/23, 67, 6
2020/11/24, 74, 6
2020/11/25, 68, 6
2020/11/26, 78, 6
2020/11/27, 59, 7
2020/11/28, 44, 8
2020/11/29, 58, 6
2020/11/30, 64, 7
2020/12/1, 71, 9
2020/12/2, 71, 8
2020/12/3, 70, 
2020/12/4, 74, 
2020/12/5, 113, 
2020/12/6, 71, 
2020/12/7, 81, 
2020/12/8, 76, 
2020/12/9, 66, 
2020/12/10, 72, 
2020/12/11, 80, 
2020/12/12, 114, 
2020/12/15, 81, 
2020/12/16, 74, 
2020/12/17, 77, 
2020/12/18, 66, 
2020/12/28, 92, 6
2020/12/29, 62, 5
2020/12/30, 65, 6
2020/12/31, 67, 6
2021/1/1, 51, 6
2021/1/2, 50, 6
2021/1/3, 57, 6
2021/1/4, 72, 6
2020/7/2, 111, 15
2020/7/3, 85, 17
2020/7/4, 83, 19
2020/7/5, 120, 25
2020/7/6, 106, 23
2020/7/7, 126, 28
2020/7/8, 140, 18
2020/7/9, 101, 20
2020/7/10, 148, 19
2020/7/11, 133, 26
2020/7/12, 137, 26
2020/7/13, 154, 19
2020/7/14, 117, 18
2020/7/15, 106, 22
2020/7/16, 125, 17
2020/7/17, 105, 
2020/7/18, 130, 
2020/7/19, 125, 
2020/7/20, 98, 
2020/7/21, 78, 22
2020/7/22, 116, 10
2020/7/23, 114, 16
2020/7/24, 80, 11
2020/7/25, 86, 11
2020/7/26, 97, 19
2020/7/27, 103, 21
2020/7/28, 121, 13
2020/7/29, 123, 13
2020/7/30, 101, 14
2020/7/31, 151, 15
2020/8/1, 134, 11
2020/8/2, 120, 15
2020/8/3, 112, 24
2020/8/4, 143, 10
2020/8/5, 143, 14
2020/8/6, 98, 11
2020/8/7, 108, 14
2020/8/8, 99, 19
2020/8/9, 88, 17
2020/8/10, 126, 16
2020/8/11, 133, 24
2020/8/12, 113, 13
2020/8/13, 111, 14
2020/8/14, 97, 18
2020/8/15, 85, 18
2020/8/16, 100, 16
2020/8/17, 99, 15
2020/8/18, 122, 22
2020/8/19, 108, 14
2020/8/20, 121, 11
2020/8/21, 115, 20
2020/8/22, 132, 10
2020/8/23, 119, 10
2020/8/24, 116, 16
2020/8/25, 110, 17
2020/8/26, 75, 11
2020/8/27, 69, 10
2020/8/28, 76, 16
2020/8/29, 78, 8
2020/8/30, 114, 11
2020/8/31, 118, 9
2020/9/1, 84, 11
2020/9/2, 142, 11
2020/9/3, 111, 16
2020/9/4, 88, 21
2020/9/5, 81, 11
2020/9/6, 74, 9
2020/9/7, 98, 13
2020/9/8, 91, 11
2020/9/9, 108, 18
2020/9/10, 150, 17
2020/9/11, 155, 14
2020/9/12, 143, 12
2020/9/13, 129, 13
2020/9/14, 102, 12
2020/9/15, 93, 13
2020/9/16, 83, 15
2020/9/17, 87, 18
2020/9/18, 70, 14
2020/9/19, 73, 13
2020/9/20, 83, 15
2020/9/21, 128, 13
2020/9/22, 129, 13
2020/9/23, 113, 14
2020/9/24, 108, 13
2020/9/25, 93, 13
2020/9/26, 101, 13
2020/9/27, 91, 8
2020/9/28, 116, 10
2020/9/29, 94, 18
2020/9/30, 116, 13
2020/10/1, 115, 9
2020/4/2, 75, 24
2020/4/3, 115, 24
2020/4/4, 100, 21
2020/4/5, 122, 21
2020/4/6, 110, 29
2020/4/7, 63, 26
2020/4/8, 71, 12
2020/4/9, 91, 19
2020/4/10, 113, 19
2020/4/11, 120, 14
2020/4/12, 111, 9
2020/4/13, 84, 13
2020/4/14, 90, 17
2020/4/15, 43, 11
2020/4/16, 54, 17
2020/4/17, 56, 19
2020/4/18, 71, 21
2020/4/19, 109, 19
2020/4/20, 98, 17
2020/4/21, 70, 17
2020/4/22, 99, 19
2020/4/23, 111, 15
2020/4/24, 103, 15
2020/4/25, 106, 11
2020/4/26, 94, 12
2020/4/27, 97, 18
2020/4/28, 86, 13
2020/4/29, 84, 12
2020/4/30, 77, 15
2020/5/1, 111, 12
2020/5/2, 95, 13
2020/5/3, 83, 15
2020/5/4, 107, 13
2020/5/5, 119, 15
2020/5/6, 125, 10
2020/5/7, 109, 21
2020/5/8, 104, 24
2020/5/9, 90, 20
2020/5/10, 73, 24
2020/5/11, 88, 15
2020/5/12, 121, 23
2020/5/13, 91, 26
2020/5/14, 58, 33
2020/5/15, 71, 30
2020/5/16, 100, 19
2020/5/17, 120, 21
2020/5/18, 122, 24
2020/5/19, 114, 24
2020/5/20, 115, 19
2020/5/21, 102, 20
2020/5/22, 120, 20
2020/5/23, 105, 23
2020/5/24, 95, 21
2020/5/25, 136, 17
2020/5/26, 144, 
2020/6/1, 198, 19
2020/6/2, 157, 18
2020/6/3, 143, 21
2020/6/4, 153, 25
2020/6/8, 144, 32
2020/6/9, 101, 22
2020/6/10, 105, 20
2020/6/11, 102, 19
2020/6/12, 110, 28
2020/6/13, 146, 32
2020/6/14, 147, 17
2020/6/15, 128, 15
2020/6/16, 96, 15
2020/6/17, 89, 35
2020/6/18, 99, 30
2020/6/19, 118, 31
2020/6/20, 98, 28
2020/6/21, 125, 16
2020/6/22, 145, 21
2020/6/23, 103, 30
2020/6/24, 73, 22
2020/6/25, 88, 23
2020/6/26, 117, 32
2020/6/27, 134, 20
2020/6/28, 141, 18
2020/6/29, 163, 24
2020/6/30, 144, 27
2020/7/1, 122, 20
2020/1/2, 88, 22
2020/1/3, 86, 20
2020/1/4, 85, 11
2020/1/5, 88, 12
2020/1/6, 90, 18
2020/1/7, 55, 21
2020/1/8, 50, 19
2020/1/9, 56, 19
2020/1/10, 54, 15
2020/1/11, 51, 17
2020/1/12, 52, 17
2020/1/13, 43, 19
2020/1/14, 58, 19
2020/1/15, 54, 18
2020/1/16, 50, 18
2020/1/17, 54, 18
2020/1/18, 58, 14
2020/1/19, 47, 13
2020/1/20, 56, 13
2020/1/21, 62, 20
2020/1/22, 63, 23
2020/1/23, 71, 16
2020/1/24, 81, 18
2020/1/25, 45, 20
2020/1/26, 49, 18
2020/1/27, 66, 21
2020/1/28, 64, 23
2020/1/29, 68, 28
2020/1/30, 88, 24
2020/1/31, 90, 25
2020/2/1, 106, 22
2020/2/2, 105, 23
2020/2/3, 111, 18
2020/2/4, 60, 24
2020/2/5, 57, 24
2020/2/6, 67, 22
2020/2/7, 91, 31
2020/2/8, 137, 23
2020/2/9, 135, 16
2020/2/10, 107, 18
2020/2/11, 76, 21
2020/2/12, 84, 19
2020/2/13, 54, 22
2020/2/14, 53, 24
2020/2/15, 62, 20
2020/2/16, 65, 19
2020/2/17, 103, 15
2020/2/18, 149, 13
2020/2/19, 124, 13
2020/2/20, 126, 12
2020/2/21, 100, 23
2020/2/22, 105, 24
2020/2/23, 114, 17
2020/2/24, 91, 16
2020/2/25, 95, 12
2020/2/26, 121, 17
2020/2/27, 134, 20
2020/2/28, 135, 23
2020/2/29, 84, 24
2020/3/1, 103, 23
2020/3/2, 127, 28
2020/3/3, 125, 26
2020/3/4, 60, 22
2020/3/5, 58, 27
2020/3/6, 79, 29
2020/3/7, 96, 28
2020/3/8, 93, 29
2020/3/9, 97, 20
2020/3/10, 123, 21
2020/3/11, 123, 27
2020/3/12, 83, 21
2020/3/13, 125, 24
2020/3/14, 137, 11
2020/3/15, 111, 16
2020/3/16, 55, 24
2020/3/17, 82, 23
2020/3/18, 79, 23
2020/3/19, 82, 16
2020/3/20, 78, 22
2020/3/21, 79, 11
2020/3/22, 76, 10
2020/3/23, 63, 19
2020/3/24, 124, 21
2020/3/25, 60, 22
2020/3/26, 73, 26
2020/3/27, 73, 22
2020/3/28, 75, 21
2020/3/29, 89, 14
2020/3/30, 134, 19
2020/3/31, 122, 25
2020/4/1, 64, 23
2019/10/2, 164, 21
2019/10/3, 166, 37
2019/10/4, 165, 26
