date, pm25, pm10, o3, no2, so2
2021/12/6, 30, 13, 24, 8, 1
2021/12/7, 39, 9, 25, 9, 1
2021/12/8, 23, 9, 26, 4, 1
2021/12/9, 21, 11, 26, 12, 1
2021/12/10, 25, 13, 25, 8, 1
2021/12/11, 26, 13, 12, 16, 1
2021/12/12, 34, 12, 25, 11, 1
2021/12/13, 38, 12, 26, 17, 1
2021/12/14, 28, 19, 11, 13, 1
2021/12/15, 50, 10, 18, 12, 
2021/12/16, 29, 13, 17, 19, 2
2021/12/17, 38, 17, 19, 12, 2
2021/12/18, 50, 16, 18, 11, 1
2021/12/19, 54, 19, 14, 11, 2
2021/12/20, 65, 14, 12, 13, 1
2021/12/21, 49, 16, 17, 12, 1
2021/12/22, 50, 18, 18, 9, 1
2021/12/23, 52, 14, 14, 14, 2
2021/12/24, 46, 15, 20, 11, 2
2021/12/25, 48, 11, 26, 1, 2
2021/12/26, 28, 9, 21, 7, 2
2021/12/27, 23, 11, 12, 16, 3
2021/12/28, 41, 11, 13, 13, 2
2021/12/29, 39, 18, 25, 9, 2
2021/12/30, 57, 12, 18, 13, 2
2021/12/31, 38, 8, 21, 8, 2
2022/1/1, 25, 15, 27, 3, 2
2022/1/2, 39, 12, 24, 5, 2
2022/1/3, 31, 12, 26, 5, 2
2021/7/2, 52, 22, 22, 9, 2
2021/7/3, 57, 16, 24, 5, 2
2021/7/4, 48, 10, 17, 2, 3
2021/7/5, 34, 8, 22, 4, 3
2021/7/6, 21, 10, 18, 8, 3
2021/7/7, 25, 10, 22, 4, 
2021/7/8, 29, 10, 20, 12, 1
2021/7/9, 25, 14, 19, 6, 
2021/7/10, 40, 8, 19, 6, 1
2021/7/11, 24, 8, 19, 2, 1
2021/7/12, 23, 10, 16, 9, 1
2021/7/13, 31, 8, 19, 5, 1
2021/7/14, 26, 8, 16, 3, 1
2021/7/15, 19, 8, 17, 5, 1
2021/7/16, 17, 11, 15, 7, 1
2021/7/17, 24, 10, 17, 9, 1
