date, pm25, o3, so2
2019/2/22, 61, , 3
2019/2/23, 76, , 1
2019/2/24, 52, , 
2019/2/25, 24, , 
2019/2/26, 19, , 
2019/2/27, 19, , 1
2019/2/28, 17, , 2
2019/3/1, 52, , 1
2019/3/2, 56, , 1
2019/3/3, 27, , 4
2019/3/4, 21, , 5
2019/3/5, 37, , 1
2019/3/6, 33, , 2
2019/3/7, 42, , 1
2019/3/8, 44, , 1
2019/3/9, 67, , 1
2019/3/10, 61, , 
2019/3/11, 38, , 
2019/3/12, 45, , 1
2019/3/13, 54, , 
2019/3/14, 45, , 1
2019/3/15, 36, , 1
2019/3/16, 14, , 
2019/3/17, 19, , 1
2019/3/18, 26, , 1
2019/3/19, 32, , 1
2019/3/20, 39, 33, 1
2019/3/21, 38, 40, 1
2019/3/22, 33, 37, 1
2019/3/23, 16, 41, 2
2019/3/24, 30, 37, 
2019/3/25, 30, 36, 1
2019/3/26, 13, 36, 1
2019/3/27, 31, 39, 
2019/3/28, 38, 31, 1
2019/3/29, 37, 33, 
2019/3/30, 12, 36, 3
2019/3/31, 14, 36, 
2019/4/1, 16, 28, 
2018/10/2, 14, 15, 1
2018/10/3, 14, 26, 1
2018/10/4, 20, 24, 4
2018/10/5, 11, 21, 
2018/10/6, 8, 12, 3
2018/10/7, 21, 13, 
2018/10/8, 9, 21, 
2018/10/9, 37, 22, 1
2018/10/10, 25, 17, 1
2018/10/11, 14, 24, 1
2018/10/12, 8, 25, 
2018/10/13, 18, 25, 1
2018/10/14, 20, 17, 1
2018/10/15, 15, 19, 
2018/10/16, 11, 25, 1
2018/10/17, 15, 20, 4
2018/10/18, 14, , 1
2018/10/19, 21, , 1
2018/10/20, 21, , 2
2018/10/21, 23, , 1
2018/10/22, 20, , 5
2018/10/23, 26, , 1
2018/10/24, 18, , 1
2018/10/25, 13, , 1
2018/10/26, 43, , 1
2018/10/27, 55, , 1
2018/10/28, 5, , 1
2018/10/31, 45, , 2
2018/11/1, 31, , 1
2018/11/2, 28, , 4
2018/11/3, 12, , 3
