date, pm25, pm10, o3, no2
2021/2/2, 27, 17, 28, 12
2021/2/3, 27, 18, 26, 13
2021/2/4, 36, 15, 24, 11
2021/2/5, 32, 16, 25, 10
2021/2/6, 36, 20, 26, 10
2021/2/7, 43, 15, 29, 13
2021/2/8, 27, 15, 32, 14
2021/2/9, 26, 15, 30, 15
2021/2/10, 22, 13, 32, 14
2021/2/11, 26, 7, 28, 10
2021/2/12, 23, 13, 29, 4
2021/2/13, 26, 18, 29, 1
2021/2/14, 36, 26, 23, 3
2021/2/15, 58, 17, 22, 6
2021/2/16, 39, 14, 25, 4
2021/2/17, 35, 17, 26, 4
2021/2/18, 37, 15, 25, 3
2021/2/19, 34, 17, 25, 4
2021/2/20, 40, 26, 23, 4
2021/2/21, 50, 13, 27, 2
2021/2/22, 30, 10, 23, 9
2021/2/23, 21, 17, 24, 3
2021/2/24, 39, 12, 25, 3
2021/2/25, 26, 10, 26, 7
2021/2/26, 20, 20, 19, 10
2021/2/27, 38, 14, 17, 14
2021/2/28, 30, 17, 5, 13
2021/3/1, 32, 20, 20, 12
2021/3/2, 44, 12, 24, 9
2021/3/3, 29, 16, 28, 19
2021/3/4, 36, 15, 29, 16
2021/3/5, 23, 15, 27, 15
2021/3/6, 25, 12, 20, 8
2021/3/7, 40, 9, 20, 8
2021/3/8, 27, 6, 24, 18
2021/3/9, 16, 12, 28, 5
2021/3/10, 28, 15, 29, 5
2021/3/11, 31, 6, 29, 5
2021/3/12, 14, 4, 28, 3
2021/3/13, 9, 7, 28, 11
2021/3/14, 13, 9, 30, 8
2021/3/15, 15, 20, 29, 14
2021/3/16, 25, 16, 28, 8
2021/3/17, 35, 22, 27, 14
2021/3/18, 45, 13, 26, 10
2021/3/19, 16, 6, 25, 12
2021/3/20, 9, 10, 30, 8
2021/3/21, 23, 9, 30, 7
2021/3/22, 20, 15, 17, 11
2021/3/23, 27, 9, 25, 5
2021/3/24, 21, 8, 29, 4
2021/3/25, 16, 10, , 4
2021/3/26, 20, 9, , 3
2021/3/27, 22, 6, , 4
2021/3/28, 17, 7, , 3
2021/3/29, 18, 2, 22, 2
2021/3/30, 8, 7, 22, 4
2021/3/31, 16, 9, 27, 12
2021/4/1, 22, 17, 34, 21
2020/10/2, 8, 12, 21, 15
2020/10/3, 24, 15, 22, 17
2020/10/4, 33, 25, 26, 14
2020/10/5, 51, 18, 25, 25
2020/10/6, 36, 7, 19, 10
2020/10/7, 14, 3, 21, 6
2020/10/8, 7, 4, 21, 8
2020/10/9, 11, 3, 24, 6
2020/10/10, 7, 3, 20, 8
2020/10/11, 10, 5, 21, 7
2020/10/12, 13, 4, 19, 8
2020/10/13, 11, 11, 27, 13
2020/10/14, 19, 14, 26, 16
2020/10/15, 27, 8, 24, 19
2020/10/16, 12, 8, 26, 32
2020/10/17, 16, 3, 26, 12
2020/10/18, 8, 4, 23, 4
2020/10/19, 12, 12, 17, 6
2020/10/20, 38, 23, 11, 13
2020/10/21, 54, 16, 17, 14
2020/10/22, 37, 11, 23, 17
2020/10/23, 23, 5, 18, 6
2020/10/24, 13, 11, 20, 2
2020/10/25, 22, 9, 23, 1
2020/10/26, 18, 9, 21, 7
2020/10/27, 18, 7, 27, 11
2020/10/28, 13, 6, 16, 10
2020/10/29, 15, 9, 16, 11
2020/10/30, 20, 7, 22, 9
2020/10/31, 17, 12, 27, 2
2020/11/1, 28, 11, 30, 1
2020/11/2, 27, 8, 18, 17
2020/11/3, 20, 6, 12, 12
2020/11/4, 15, , , 
2020/11/6, 50, 12, , 13
2020/11/7, 32, 17, , 17
2020/11/8, 47, 23, , 9
2020/11/9, 66, 29, , 15
2020/11/10, 76, 20, 16, 11
2020/11/11, 58, 15, 21, 6
2020/11/12, 34, 15, 27, 10
2020/11/13, 31, 10, 23, 5
2020/11/14, 25, 12, 23, 4
2020/11/15, 27, 12, 22, 11
2020/11/16, 30, 4, 21, 11
2020/11/17, 9, 4, 18, 7
2020/11/18, 8, 5, 28, 5
2020/11/19, 12, 7, 28, 11
2020/11/20, 18, 5, 24, 7
2020/11/21, 12, 5, 26, 88
2020/11/22, 15, 6, 23, 77
2020/11/23, 17, 4, 20, 82
2020/11/24, 10, 6, 22, 92
2020/11/25, 13, 7, 13, 37
2020/11/26, 22, 7, 15, 15
2020/11/27, 26, 7, 17, 14
2020/11/28, 22, 11, 14, 17
2020/11/29, 36, 11, 11, 11
2020/11/30, 42, 7, 24, 10
2020/12/1, 20, 9, 19, 60
2020/12/2, 25, 6, 24, 14
2020/12/3, 20, 7, 22, 33
2020/12/4, 21, 16, 23, 14
2020/12/5, 31, 18, 24, 18
2020/12/6, 32, 7, 12, 11
2020/12/7, 24, 6, 19, 12
2020/12/8, 17, 7, 9, 11
2020/12/9, 20, 7, 13, 13
2020/12/10, 18, 13, 15, 5
2020/12/11, 30, 13, 17, 6
2020/12/12, 31, 10, 12, 13
2020/12/13, 23, 11, 22, 2
2020/12/14, 25, 12, 22, 5
2020/12/15, 27, 10, 20, 8
2020/12/16, 19, 14, 24, 7
2020/12/17, 31, 6, 19, 5
2020/12/18, 15, 13, 21, 6
2020/12/19, 28, 10, 26, 2
2020/12/20, 21, 8, 23, 2
2020/12/21, 20, 8, 19, 8
2020/12/22, 22, 6, 14, 15
2020/12/23, 20, 6, 21, 18
2020/12/24, 15, 6, 27, 14
2020/12/25, 12, 5, 25, 4
2020/12/26, 16, 3, 27, 1
2020/12/27, 11, 4, 24, 9
2020/12/28, 13, 9, 24, 12
2020/12/29, 29, 4, 22, 10
2020/12/30, 10, 10, 19, 15
2020/12/31, 33, 6, 24, 12
2021/1/1, 14, 5, 22, 3
2021/1/2, 11, 4, 23, 6
2021/1/3, 10, 7, 21, 10
2021/1/4, 15, 8, 17, 13
2020/7/2, 17, 7, 18, 5
2020/7/3, 12, 4, 13, 7
2020/7/4, 10, 5, 17, 3
2020/7/5, 11, 1, 21, 3
2020/7/6, 5, 5, 19, 5
2020/7/7, 10, 8, 16, 12
2020/7/8, 14, 9, 20, 10
2020/7/9, 14, 6, 16, 5
2020/7/10, 12, 5, 17, 9
2020/7/11, 10, 4, 16, 7
2020/7/12, 8, 6, 21, 5
2020/7/13, 13, 5, 20, 6
2020/7/14, 9, 4, 17, 9
2020/7/15, 8, 7, 13, 14
2020/7/16, 15, 8, 12, 4
2020/7/17, 11, 4, 19, 5
2020/7/18, 8, 4, 21, 2
2020/7/19, 8, 5, 18, 4
2020/7/20, 13, 4, 15, 7
2020/7/21, 8, 6, 19, 7
2020/7/22, 10, 7, 18, 5
2020/7/23, 16, 7, 17, 11
2020/7/24, 18, 6, 20, 8
2020/7/25, 13, 8, 14, 6
2020/7/26, 19, 5, 21, 2
2020/7/27, 10, 8, 20, 11
2020/7/28, 21, 4, 18, 4
2020/7/29, 8, 3, 18, 7
2020/7/30, 8, 7, 18, 7
2020/7/31, 18, 21, 68, 7
2020/8/1, 46, 13, 28, 9
2020/8/2, 31, 5, 14, 6
2020/8/3, 13, 6, 16, 6
2020/8/4, 10, 7, 11, 5
2020/8/5, 17, 5, 10, 4
2020/8/6, 10, 6, 16, 7
2020/8/7, 12, 6, 18, 4
2020/8/8, 15, 6, 18, 5
2020/8/9, 16, 6, 23, 8
2020/8/10, 18, 14, 23, 16
2020/8/11, 32, 22, 24, 22
2020/8/12, 54, 15, 38, 27
2020/8/13, 41, 8, 26, 10
2020/8/14, 21, 9, 26, 14
2020/8/15, 19, 7, 29, 5
2020/8/16, 18, 3, 28, 11
2020/8/17, 9, 10, 28, 14
2020/8/18, 28, 13, 26, 16
2020/8/19, 34, 15, 26, 19
2020/8/20, 42, 18, 24, 4
2020/8/21, 38, 15, 20, 3
2020/8/22, 32, 6, 19, 4
2020/8/23, 12, 5, 21, 6
2020/8/24, 10, 6, 19, 8
2020/8/25, 9, 14, 23, 20
2020/8/26, 34, 14, 21, 14
2020/8/27, 22, 10, 22, 17
2020/8/28, 15, 8, 22, 10
2020/8/29, 12, 6, 24, 6
2020/8/30, 11, 5, 23, 8
2020/8/31, 11, 6, 25, 6
2020/9/1, 13, 11, 29, 5
2020/9/2, 25, 15, 20, 3
2020/9/3, 31, 7, 20, 2
2020/9/4, 12, 6, 18, 2
2020/9/5, 13, 5, 19, 6
2020/9/6, 13, 7, 19, 5
2020/9/7, 13, 3, 13, 2
2020/9/8, 10, 3, 13, 3
2020/9/9, 7, 5, 24, 4
2020/9/10, 12, 8, 20, 4
2020/9/11, 17, 5, 18, 1
2020/9/12, 12, 7, 24, 1
2020/9/13, 17, 3, 16, 1
2020/9/14, 10, 8, 10, 7
2020/9/15, 20, 9, 21, 10
2020/9/16, 23, 9, 25, 17
2020/9/17, 16, 11, 23, 4
2020/9/18, 20, 11, 17, 11
2020/9/19, 22, 6, 18, 5
2020/9/20, 14, 5, 20, 1
2020/9/21, 11, 10, 18, 12
2020/9/22, 19, 8, 26, 2
2020/9/23, 18, 5, 26, 15
2020/9/24, 9, 7, 24, 15
2020/9/25, 13, 7, 24, 11
2020/9/26, 14, 12, 25, 51
2020/9/27, 22, 14, 24, 68
2020/9/28, 27, 8, 16, 23
2020/9/29, 19, 7, 19, 23
2020/9/30, 15, 14, 20, 6
2020/10/1, 32, 2, 21, 11
2020/4/2, 11, 13, 27, 4
2020/4/3, 17, 8, 20, 8
2020/4/4, 20, 8, 23, 3
2020/4/5, 21, 31, 29, 3
2020/4/6, 69, 14, 23, 2
2020/4/7, 30, 15, 17, 5
2020/4/8, 35, 11, 16, 6
2020/4/9, 25, 17, 22, 7
2020/4/10, 35, 20, 20, 4
2020/4/11, 53, 10, 18, 4
2020/4/12, 36, 12, 22, 3
2020/4/13, 27, 16, 20, 9
2020/4/14, 32, 19, 14, 10
2020/4/15, 36, 15, 20, 12
2020/4/16, 35, 13, 15, 16
2020/4/17, 27, 11, 18, 13
2020/4/18, 26, 13, 19, 17
2020/4/19, 28, 11, 15, 2
2020/4/20, 25, 10, 18, 15
2020/4/21, 20, 13, 13, 14
2020/4/22, 29, 15, 13, 16
2020/4/23, 32, 12, 6, 7
2020/4/24, 28, 13, , 13
2020/4/25, 33, 13, , 1
2020/4/26, 39, 11, , 7
2020/4/27, 31, 7, , 7
2020/4/28, 15, 9, , 7
2020/4/29, 19, 9, , 6
2020/4/30, 23, 14, 13, 19
2020/5/1, 31, 9, 20, 8
2020/5/2, 19, 7, 21, 6
2020/5/3, 18, 10, 14, 6
2020/5/4, 25, 9, 14, 12
2020/5/5, 18, 5, 23, 2
2020/5/6, 14, 15, 15, 9
2020/5/7, 32, 17, 15, 13
2020/5/8, 34, 15, 11, 15
2020/5/9, 42, 10, 19, 4
2020/5/10, 34, 8, 17, 3
2020/5/11, 14, 7, 21, 4
2020/5/12, 12, 6, 20, 5
2020/5/13, 12, 7, 17, 6
2020/5/14, 11, 5, 21, 4
2020/5/15, 9, 5, 21, 4
2020/5/16, 10, 4, 22, 3
2020/5/17, 8, 6, 15, 7
2020/5/18, 19, 5, 17, 5
2020/5/19, 17, 8, 9, 8
2020/5/20, 20, 9, 18, 4
2020/5/21, 26, 10, 26, 9
2020/5/22, 25, 15, 33, 2
2020/5/23, 35, 5, 24, 
2020/5/24, 11, 5, , 3
2020/5/25, 14, 10, 26, 2
2020/5/26, 23, 9, 24, 3
2020/5/27, 21, 13, 27, 6
2020/5/28, 27, 14, 30, 10
2020/5/29, 35, 15, 38, 8
2020/5/30, 38, 10, 25, 1
2020/5/31, 27, 10, 34, 7
2020/6/1, 29, 8, 33, 2
2020/6/2, 17, 10, 27, 11
2020/6/3, 24, 7, 27, 7
2020/6/4, 12, 6, 24, 9
2020/6/5, 10, 4, 23, 3
2020/6/6, 9, 8, 26, 4
2020/6/7, 17, 8, 23, 3
2020/6/8, 17, 9, 17, 10
2020/6/9, 16, 10, 27, 2
2020/6/10, 21, 9, 28, 13
2020/6/11, 24, 10, 28, 9
2020/6/12, 25, 11, 27, 6
2020/6/13, 34, 16, 25, 15
2020/6/14, 53, 18, 24, 14
2020/6/15, 54, 28, 25, 19
2020/6/16, 58, 7, 26, 8
2020/6/17, 17, 15, 31, 24
2020/6/18, 42, 10, 37, 19
2020/6/19, 29, 9, 32, 16
2020/6/20, 32, 9, 26, 4
2020/6/21, 26, 11, 20, 1
2020/6/22, 26, 12, 20, 1
2020/6/23, 27, 7, 18, 3
2020/6/24, 13, 12, 33, 5
2020/6/25, 27, 17, 33, 17
2020/6/26, 45, 18, 37, 9
2020/6/27, 47, 18, 43, 9
2020/6/28, 51, 7, 17, 
2020/6/29, 13, 7, 21, 10
2020/6/30, 11, 8, 21, 8
2020/7/1, 16, 10, 20, 7
2020/1/2, 32, 7, 19, 2
2020/1/3, 22, 8, 18, 8
2020/1/4, 20, 4, 16, 13
2020/1/5, 11, 4, 14, 12
2020/1/6, 10, 5, 19, 6
2020/1/7, 14, 8, 19, 3
2020/1/8, 21, 9, 18, 9
2020/1/9, 19, 11, 7, 21
2020/1/10, 32, 8, 22, 11
2020/1/11, 21, 3, 19, 4
2020/1/12, 11, 6, 17, 8
2020/1/13, 14, 13, 21, 5
2020/1/14, 31, 7, 21, 6
2020/1/15, 17, 6, 21, 3
2020/1/16, 16, 15, 16, 8
2020/1/17, 35, 8, 14, 11
2020/1/18, 21, 8, 20, 10
2020/1/19, 18, 8, 10, 12
2020/1/20, 19, 7, 8, 17
2020/1/21, 22, 9, 9, 38
2020/1/22, 25, 15, 3, 31
2020/1/23, 41, 9, 12, 15
2020/1/24, 27, 7, 8, 23
2020/1/25, 21, 4, , 5
2020/1/26, 13, 11, , 6
2020/1/27, 29, 9, , 9
2020/1/28, 17, 9, , 24
2020/1/29, 24, 7, , 19
2020/1/30, 18, 4, , 11
2020/1/31, 11, 6, , 8
2020/2/1, 16, 8, , 9
2020/2/2, 21, 9, , 8
2020/2/3, 28, 7, , 7
2020/2/4, 17, 22, , 19
2020/2/5, 39, 14, , 23
2020/2/6, 34, 9, , 16
2020/2/7, 30, 28, , 10
2020/2/8, 68, 18, , 4
2020/2/9, 41, 5, , 3
2020/2/10, 11, 3, , 5
2020/2/11, 6, 4, , 6
2020/2/12, 9, 9, , 10
2020/2/13, 21, 21, , 27
2020/2/14, 32, 10, , 9
2020/2/15, 25, 16, , 4
2020/2/16, 39, 7, , 1
2020/2/17, 17, 4, , 4
2020/2/18, 9, 4, , 6
2020/2/19, 9, 8, , 7
2020/2/20, 18, 4, 17, 6
2020/2/21, 12, 3, 22, 2
2020/2/22, 8, 4, 26, 3
2020/2/23, 13, 8, 23, 7
2020/2/24, 16, 9, 16, 21
2020/2/25, 19, 6, 10, 16
2020/2/26, 15, 6, 16, 11
2020/2/27, 11, 6, , 9
2020/2/28, 11, 9, , 9
2020/2/29, 20, 11, , 5
2020/3/1, 27, 3, , 2
2020/3/2, 11, 5, , 8
2020/3/3, 12, 13, , 19
2020/3/4, 18, 12, , 17
2020/3/5, 24, 11, , 14
2020/3/6, 26, 15, , 12
2020/3/7, 34, 9, , 5
2020/3/8, 25, 4, 18, 3
2020/3/9, 10, 6, 20, 9
2020/3/10, 13, 4, 21, 8
2020/3/11, 10, 6, 21, 4
2020/3/12, 13, 5, 18, 9
2020/3/13, 12, 22, 20, 19
2020/3/14, 33, 18, 22, 3
2020/3/15, 40, 7, 21, 4
2020/3/16, 15, 9, 19, 7
2020/3/17, 17, 7, , 6
2020/3/18, 16, 8, , 8
2020/3/19, 15, 17, , 16
2020/3/20, 21, 20, , 19
2020/3/21, 29, 13, , 6
2020/3/22, 20, 17, , 1
2020/3/23, 41, 30, , 5
2020/3/24, 62, 25, 19, 4
2020/3/25, 60, 17, 17, 8
2020/3/26, 41, 10, 11, 18
2020/3/27, 17, 13, 11, 18
2020/3/28, 22, 11, 19, 8
2020/3/29, 23, 11, 19, 8
2020/3/30, 21, , , 
2019/10/2, 14, 7, , 11
2019/10/3, 16, 9, , 12
2019/10/4, 19, 11, , 21
2019/10/5, 20, 11, , 8
2019/10/6, 24, 17, , 8
2019/10/7, 35, 15, , 7
2019/10/8, 32, 7, , 5
2019/10/9, 20, 4, , 4
2019/10/10, 10, 4, , 7
2019/10/11, 10, 5, 21, 4
2019/10/12, 13, 4, 21, 9
2019/10/13, 12, 6, 13, 12
2019/10/14, 18, 7, 13, 11
2019/10/15, 17, 9, 19, 18
2019/10/16, 24, 8, 14, 13
2019/10/17, 21, 10, 14, 9
2019/10/18, 21, 9, 9, 28
2019/10/19, 25, 10, , 14
2019/10/20, 26, 8, , 13
2019/10/21, 18, 5, 12, 11
2019/10/22, 11, 4, 17, 8
2019/10/23, 11, 8, 22, 6
2019/10/24, 20, 7, 20, 12
2019/10/25, 17, 6, 19, 10
2019/10/26, 14, 5, 23, 9
2019/10/27, 11, 3, 24, 8
2019/10/28, 11, 6, 24, 18
2019/10/29, 13, 7, 22, 24
2019/10/30, 19, 8, 17, 22
2019/10/31, 24, 10, 20, 13
2019/11/1, 20, 10, 17, 14
2019/11/2, 30, 16, 8, 24
2019/11/3, 33, 22, , 21
2019/11/4, 48, 16, , 20
2019/11/5, 35, 13, , 24
2019/11/6, 28, 9, , 24
2019/11/7, 17, 7, , 19
2019/11/8, 14, 8, , 23
2019/11/9, 21, 13, 19, 17
2019/11/10, 25, 12, 20, 15
2019/11/11, 24, 7, 15, 15
2019/11/12, 16, 7, 16, 17
2019/11/13, 18, 6, 15, 19
2019/11/14, 19, 6, 19, 18
2019/11/15, 14, 9, 17, 24
2019/11/16, 22, 9, 12, 17
2019/11/17, 28, 5, 15, 11
2019/11/18, 20, 7, 18, 18
2019/11/19, 23, 9, 11, 10
2019/11/20, 31, 13, 10, 11
2019/11/21, 30, 18, 15, 16
2019/11/22, 29, 15, 19, 30
2019/11/23, 39, 23, 20, 26
2019/11/24, 55, 30, 11, 12
2019/11/25, 71, 23, 14, 21
2019/11/26, 61, 13, 12, 24
2019/11/27, 29, 12, 17, 29
2019/11/28, 31, 10, 17, 20
2019/11/29, 22, 8, 14, 22
2019/11/30, 17, 8, 7, 13
2019/12/1, 24, 3, 15, 10
2019/12/2, 11, 5, 16, 21
2019/12/3, 15, 6, 6, 17
2019/12/4, 20, 7, 13, 9
2019/12/5, 20, 3, 18, 9
2019/12/6, 10, 5, 13, 17
2019/12/7, 14, 3, 13, 14
2019/12/8, 11, 2, 22, 4
2019/12/9, 8, 12, 20, 16
2019/12/10, 29, 11, 17, 6
2019/12/11, 27, 4, 21, 5
2019/12/12, 9, 8, 19, 16
2019/12/13, 21, 7, 15, 20
2019/12/14, 18, 3, 15, 12
2019/12/15, 10, 4, 13, 13
2019/12/16, 14, 7, 12, 18
2019/12/17, 21, 7, 10, 20
2019/12/18, 18, 8, 13, 16
2019/12/19, 21, 18, 14, 14
2019/12/20, 47, 21, 14, 17
2019/12/21, 51, 9, 11, 16
2019/12/22, 26, 12, 2, 14
2019/12/23, 44, 8, 1, 15
2019/12/24, 31, 7, 4, 16
2019/12/25, 27, 12, 8, 10
2019/12/26, 41, 9, 14, 7
2019/12/27, 22, 16, 12, 5
2019/12/28, 40, 10, , 3
2019/12/29, 27, 9, 16, 2
2019/12/30, 23, , , 
2019/7/2, 9, 6, , 8
2019/7/3, 13, 6, , 9
2019/7/4, 13, 3, , 8
2019/7/5, 9, 6, , 13
2019/7/6, 13, 7, , 10
2019/7/7, 17, 7, , 7
2019/7/8, 14, 9, , 9
2019/7/9, 19, 8, , 10
2019/7/10, 21, 11, 18, 21
