date, pm25, o3, no2, so2, co
2022/11/15, 106, , 30, 52, 
2022/11/16, 120, , 31, 57, 
2022/11/17, 89, , 30, 91, 
2022/11/18, 98, , 28, 40, 
2022/11/19, 92, , 29, 34, 
2022/11/20, 67, , 30, 26, 
2022/11/21, 63, , 30, 26, 
2022/11/22, 64, , , , 
2022/11/24, 91, , , , 
2022/11/27, 82, , 32, 16, 
2022/11/28, 49, , 32, 29, 
2022/11/29, 55, , 32, 21, 
2022/11/30, 59, , 32, 20, 
2022/12/1, 54, , 32, 19, 
2022/12/2, 61, , 32, 16, 
2022/12/3, 40, , 32, 17, 
2022/12/4, 59, , 33, 22, 
2022/12/5, 56, , , , 
2022/12/7, 49, , , , 
2022/12/8, 74, , 31, 47, 
2022/12/9, 104, , 31, 65, 
2022/12/10, 133, , , , 
2022/12/13, 142, , 30, 110, 
2022/12/14, 158, , 30, 53, 
2022/12/15, 133, , 31, 58, 
2022/12/16, 93, , 30, 50, 
2022/12/17, 114, , 31, 72, 
2022/12/18, 93, , 31, 25, 
2022/12/19, 72, , 30, 49, 
2022/12/20, 83, , 30, 57, 
2022/12/21, 122, , 33, 19, 
2022/12/22, 60, , 31, 26, 
2022/12/23, 59, , 31, 96, 
2022/12/24, 123, , 32, 91, 
2022/12/25, 86, , 31, 25, 
2022/12/26, 94, , 30, 96, 
2022/12/27, 116, , 31, 48, 
2022/12/28, 96, , 31, 50, 
2022/12/29, 98, , 31, 84, 
2022/12/30, 129, , 30, 109, 
2022/12/31, 133, , 32, 85, 
2023/1/1, 96, , 31, 82, 
2023/1/2, 112, , 31, 164, 
2022/7/2, 52, , , 11, 
2022/7/3, 51, , , 10, 
2022/7/4, 53, , , 9, 
2022/7/5, 43, , , 9, 
2022/7/6, 26, , , 9, 
2022/7/7, 41, , , 10, 
2022/7/8, 48, , , 10, 
2022/7/9, 53, , , 10, 
2022/7/10, 58, , , 11, 
2022/7/11, 57, , , 12, 
2022/7/12, 60, , , 15, 
2022/7/13, 68, , , 12, 
2022/7/14, 62, , , 13, 
2022/7/15, 58, , , 11, 
2022/7/16, 59, , , 12, 
2022/7/17, 51, , , 12, 
2022/7/18, 52, , , 11, 
2022/7/19, 48, , , 11, 
2022/7/20, 58, , , 12, 
2022/7/21, 65, , , 14, 
2022/7/22, 60, , , 18, 
2022/7/23, 74, , , 14, 
2022/7/24, 71, , , 12, 
2022/7/25, 51, , , 12, 
2022/7/26, 33, , , 12, 
2022/7/27, 21, , , , 
2022/8/1, 46, , , 14, 
2022/8/2, 53, , , 16, 
2022/8/3, 62, , , 17, 
2022/8/4, 69, , , 17, 
2022/8/5, 75, , , 13, 
2022/8/6, 73, , , 14, 
2022/8/7, 66, , , 15, 
2022/8/8, 63, , , 14, 
2022/8/9, 75, , , 16, 
2022/8/10, 71, , , 13, 
2022/8/11, 51, , , 13, 
2022/8/12, 64, , , 13, 
2022/8/13, 68, , , 13, 
2022/8/14, 51, , , 15, 
2022/8/15, 57, , , 20, 
2022/8/16, 73, , , 21, 
2022/8/17, 89, , , 33, 
2022/8/18, 75, , , 31, 
2022/8/19, 76, , , 23, 
2022/8/20, 52, , , 14, 
2022/8/21, 41, , , 15, 
2022/8/22, 52, , , 15, 
2022/8/23, 88, , , 15, 
2022/8/24, 78, , , 15, 
2022/8/25, 60, , , , 
2022/8/27, 51, , , 9, 
2022/8/28, 69, , , 10, 
2022/8/29, 58, , , 7, 
2022/8/30, 56, , , 8, 
2022/8/31, 57, , , 13, 
2022/9/1, 61, , , 23, 
2022/9/2, 64, , , 19, 
2022/9/3, 57, , , 22, 
2022/9/4, 67, , , 39, 
2022/9/5, 66, , , 48, 
2022/9/6, 70, , , 22, 
2022/9/7, 86, , , 16, 
2022/9/8, 63, , , 19, 
2022/9/9, 58, , , 23, 
2022/9/10, 76, , , 29, 
2022/9/11, 96, , , 7, 
2022/9/12, 29, , , 8, 
2022/9/13, 44, , , , 
2022/9/16, 72, , , 13, 
2022/9/17, 64, , , 17, 
2022/9/18, 42, , , 8, 
2022/9/19, 46, , , 22, 
2022/9/20, 79, , , 28, 
2022/9/21, 95, , , 26, 
2022/9/22, 95, , , 22, 
2022/9/23, 111, , , , 
2022/4/2, 88, , , 10, 
2022/4/3, 91, , , 14, 
2022/4/4, 88, , , 10, 
2022/4/5, 85, , , 7, 
2022/4/6, 73, , , 8, 
2022/4/7, 91, , , 6, 
2022/4/8, 94, , , 6, 
2022/4/9, 96, , , 5, 
2022/4/10, 67, , , 6, 
2022/4/11, 72, , , 8, 
2022/4/12, 82, , , 9, 
2022/4/13, 114, , , 9, 
2022/4/14, 80, , , 14, 
2022/4/15, 52, , , 14, 
2022/4/16, 75, , , 11, 
2022/4/18, 72, , , 15, 
2022/4/19, 66, , , 23, 
2022/4/20, 83, , , 36, 
2022/4/21, 115, , , 26, 
2022/4/22, 113, , , 19, 
2022/4/23, 118, , , 12, 
2022/4/24, 106, , , , 
2022/4/27, 82, , , 10, 
2022/4/28, 72, , , 9, 
2022/4/29, 83, , , 7, 
2022/4/30, 63, , , 12, 
2022/5/1, 74, , , 10, 
2022/5/2, 56, , , 8, 
2022/5/3, 35, , , 6, 
2022/5/4, 38, , , 8, 
2022/5/5, 67, , , 9, 
2022/5/6, 96, , , 10, 
2022/5/7, 84, , , 11, 
2022/5/8, 61, , , 9, 
2022/5/11, 53, , , 9, 
2022/5/12, 61, , , 10, 
2022/5/13, 63, , , 10, 
2022/5/14, 42, , , 8, 
2022/5/15, 51, , , 14, 
2022/5/16, 72, , , 13, 
2022/5/17, 78, , , 5, 
2022/5/18, 83, , , 6, 
2022/5/19, 71, , , 8, 
2022/5/20, 66, , , 8, 
2022/5/21, 65, , , 7, 
2022/5/22, 63, , , 14, 
2022/5/23, 51, , , 34, 
2022/5/24, 81, , , 17, 
2022/5/25, 167, , , 10, 
2022/5/26, 158, , , 8, 
2022/5/27, 33, , , 7, 
2022/5/28, 18, , , 6, 
2022/5/29, 24, , , 8, 
2022/5/30, 44, , , 10, 
2022/5/31, 63, , , 8, 
2022/6/1, 48, , , 7, 
2022/6/2, 37, , , 15, 
2022/6/3, 71, , , 15, 
2022/6/4, 66, , , 5, 
2022/6/5, 60, , , 5, 
2022/6/6, 67, , , 8, 
2022/6/7, 90, , , 8, 
2022/6/8, 84, , , 12, 
2022/6/9, 79, , , , 
2022/6/11, 60, , , 8, 
2022/6/12, 70, , , 9, 
2022/6/13, 66, , , 11, 
2022/6/14, 78, , , 16, 
2022/6/15, 163, , , 14, 
2022/6/16, 132, , , 10, 
2022/6/17, 76, , , 8, 
2022/6/18, 75, , , 9, 
2022/6/19, 115, , , 10, 
2022/6/20, 83, , , 9, 
2022/6/21, 89, , , 11, 
2022/6/22, 66, , , 18, 
2022/6/23, 97, , , 16, 
2022/6/24, 130, , , 12, 
2022/6/25, 106, , , 12, 
2022/6/26, 94, , , 13, 
2022/6/27, 99, , , 16, 
2022/6/28, 128, , , 20, 
2022/6/29, 151, , , 21, 
2022/6/30, 114, , , 14, 
2022/7/1, 75, , , 10, 
2022/1/4, 96, , , 15, 
2022/1/5, 77, , , 15, 
2022/1/6, 85, , , 12, 
2022/1/7, 87, , , 11, 
2022/1/8, 116, , , 11, 
2022/1/9, 108, , , 14, 
2022/1/10, 128, , , 10, 
2022/1/11, 102, , , 13, 
2022/1/12, 104, , , 17, 
2022/1/13, 111, , , 16, 
2022/1/14, 120, , , 9, 
2022/1/15, 60, , , 8, 
2022/1/16, 30, , , 6, 
2022/1/17, 30, , , 3, 
2022/1/18, 21, , , 8, 
2022/1/19, 59, , , 10, 
2022/1/20, 80, , , 4, 
2022/1/21, 24, , , 7, 
2022/1/22, 35, , , 31, 
2022/1/23, 97, , , 13, 
2022/1/24, 127, , , 11, 
2022/1/25, 104, , , 11, 
2022/1/26, 85, , , 11, 
2022/1/27, 74, , , 13, 
2022/1/28, 83, , , 18, 
2022/1/29, 87, , , 14, 
2022/1/30, 79, , , 14, 
2022/1/31, 104, , , 13, 
2022/2/1, 105, , , 29, 
2022/2/2, 114, , , 25, 
2022/2/3, 128, , , 13, 
2022/2/4, 121, , , 14, 
2022/2/5, 97, , , 14, 
2022/2/6, 68, , , 9, 
2022/2/7, 49, , , 7, 
2022/2/8, 81, , , 14, 
2022/2/9, 124, , , 17, 
2022/2/10, 146, , , 4, 
2022/2/11, 101, , , 2, 
2022/2/12, 44, , , 3, 
2022/2/13, 45, , , 4, 
2022/2/14, 65, , , 3, 
2022/2/15, 51, , , 4, 
2022/2/16, 65, , , 4, 
2022/2/17, 75, , , 4, 
2022/2/18, 87, , , 14, 
2022/2/19, 97, , , 5, 
2022/2/20, 117, , , 3, 
2022/2/21, 83, , , 9, 
2022/2/22, 104, , , 7, 
2022/2/23, 110, , , 8, 
2022/2/24, 117, , , 7, 
2022/2/25, 111, , , 6, 
2022/2/26, 87, , , 8, 
2022/2/27, 81, , , 7, 
2022/2/28, 67, , , 7, 
2022/3/1, 83, , , 9, 
2022/3/2, 91, , , 8, 
2022/3/3, 75, , , 8, 
2022/3/4, 77, , , 6, 
2022/3/5, 79, , , 7, 
2022/3/6, 81, , , 7, 
2022/3/7, 65, , , 7, 
2022/3/8, 67, , , 9, 
2022/3/9, 83, , , 7, 
2022/3/10, 52, , , 8, 
2022/3/11, 60, , , 7, 
2022/3/12, 52, , , 5, 
2022/3/13, 57, , , 5, 
2022/3/14, 91, , , 5, 
2022/3/15, 51, , , 5, 
2022/3/16, 60, , , 4, 
2022/3/17, 54, , , 6, 
2022/3/18, 52, , , 6, 
2022/3/19, 71, , , 3, 
2022/3/20, 43, , , 3, 
2022/3/21, 21, , , 3, 
2022/3/22, 19, , , 4, 
2022/3/23, 52, , , 2, 
2022/3/24, 16, , , 4, 
2022/3/25, 42, , , 5, 
2022/3/26, 44, , , 5, 
2022/3/27, 61, , , 6, 
2022/3/28, 70, , , 5, 
2022/3/29, 55, , , 7, 
2022/3/30, 61, , , 8, 
2022/3/31, 68, , , 8, 
2022/4/1, 74, , , 9, 
2021/10/2, 26, , , 1, 
2021/10/3, 23, , , 1, 
2021/10/4, 31, , , 3, 
2021/10/5, 64, , , 6, 
