date, pm25, pm10, no2
2022/8/18, 48, 23, 16
2022/8/19, 51, 29, 9
2022/8/20, 53, 23, 6
2022/8/21, 51, 11, 8
2022/8/22, 20, 13, 12
2022/8/23, 19, 16, 17
2022/8/24, 26, 10, 14
2022/8/25, 13, 14, 18
2022/8/26, 21, 13, 10
2022/8/27, 28, 27, 11
2022/8/28, 54, 6, 5
2022/8/29, 16, 5, 6
2022/8/30, 8, 4, 6
2022/8/31, 6, 5, 7
2022/9/1, 8, 5, 8
2022/9/2, 7, 5, 10
2022/9/3, 8, 5, 10
2022/9/4, 9, 5, 8
2022/9/5, 10, 7, 12
2022/9/6, 12, 12, 15
2022/9/7, 18, 6, 11
2022/9/8, 10, 7, 11
2022/9/9, 12, 9, 9
2022/9/10, 15, 15, 10
2022/9/11, 24, 15, 11
2022/9/12, 25, 18, 16
2022/9/13, 31, 7, 6
2022/9/14, 18, 6, 12
2022/9/15, 10, 4, 11
2022/9/16, 8, 4, 8
2022/9/17, 9, 3, 5
2022/9/18, 9, 4, 4
2022/9/19, 10, 2, 5
2022/9/20, 6, 5, 7
2022/9/21, 9, 6, 14
2022/9/22, 11, 11, 16
2022/9/23, 17, 11, 14
2022/9/24, 22, 14, 15
2022/9/25, 29, 10, 10
2022/9/26, 26, 8, 8
2022/9/27, 23, 14, 6
2022/9/28, 36, 11, 10
2022/9/29, 27, 7, 9
2022/9/30, 16, 9, 12
2022/10/1, 18, 10, 6
2022/4/2, 25, 34, 14
2022/4/3, 28, 29, 9
2022/4/4, 18, 8, 12
2022/4/5, 12, 10, 7
2022/4/6, 11, 31, 11
2022/4/7, 18, 4, 13
2022/4/8, 11, 5, 8
2022/4/9, 11, 3, 6
2022/4/10, 8, 14, 6
2022/4/11, 9, 49, 15
2022/4/12, 25, 71, 17
2022/4/13, 39, 41, 11
2022/4/14, 24, 13, 12
2022/4/15, 31, 13, 4
2022/4/16, 13, 23, 8
2022/4/17, 14, 21, 7
2022/4/18, 16, 25, 8
2022/4/19, 24, 30, 11
2022/4/20, 23, 39, 14
2022/4/21, 32, 44, 13
2022/4/22, 30, 29, 11
2022/4/23, 22, 16, 5
2022/4/24, 15, 14, 5
2022/4/25, 18, 29, 13
2022/4/26, 24, 22, 11
2022/4/27, 16, 23, 10
2022/4/28, 16, 25, 12
2022/4/29, 18, 21, 12
2022/4/30, 15, 19, 9
2022/5/1, 20, 18, 7
2022/5/2, 21, 35, 12
2022/5/3, 22, 16, 7
2022/5/4, 12, 20, 12
2022/5/5, 17, 30, 12
2022/5/6, 29, 26, 11
2022/5/7, 29, 16, 9
2022/5/8, 24, 13, 5
2022/5/9, 11, 22, 9
2022/5/10, 18, 28, 6
2022/5/11, 29, 20, 9
2022/5/12, 28, 24, 9
2022/5/13, 22, 24, 11
2022/5/14, 21, 12, 9
2022/5/15, 16, 12, 6
2022/5/16, 10, 25, 8
2022/5/17, 14, 27, 11
2022/5/18, 16, 34, 19
2022/5/19, 22, 39, 17
2022/5/20, 30, 16, 15
2022/5/21, 31, 14, 15
2022/5/22, 23, , 
2022/5/24, 25, 20, 5
2022/5/25, 27, 22, 11
2022/5/26, 33, 15, 8
2022/5/27, 17, 8, 8
2022/5/28, 12, 5, 7
2022/5/29, 15, 8, 5
2022/5/30, 13, 11, 10
2022/5/31, 17, 10, 11
2022/6/1, 30, 10, 7
2022/6/2, 21, 8, 13
2022/6/3, 22, 15, 11
2022/6/4, 28, 13, 6
2022/6/5, 22, 15, 7
2022/6/6, 19, 8, 3
2022/6/7, 11, 15, 13
2022/6/8, 25, 17, 8
2022/6/9, 30, 17, 13
2022/6/10, 24, 19, 14
2022/6/11, 32, 16, 9
2022/6/12, 28, 16, 6
2022/6/13, 25, 15, 10
2022/6/14, 21, 15, 13
2022/6/15, 16, 13, 12
2022/6/16, 15, 16, 12
2022/6/17, 20, 11, 10
2022/6/18, 16, 15, 8
2022/6/19, 32, 7, 5
2022/6/20, 10, 9, 9
2022/6/21, 16, 12, 13
2022/6/22, 20, 15, 13
2022/6/23, 27, 15, 10
2022/6/24, 25, 10, 5
2022/6/25, 22, 16, 3
2022/6/26, 32, 18, 6
2022/6/27, 35, 21, 
2022/6/28, 40, 21, 8
2022/6/29, 40, 16, 14
2022/6/30, 33, 24, 10
2022/7/1, 55, 16, 6
2022/1/4, 18, 5, 6
2022/1/5, 12, 5, 9
2022/1/6, 14, 3, 5
2022/1/7, 8, 6, 15
2022/1/8, 16, 8, 7
2022/1/9, 20, 12, 9
2022/1/10, 34, 10, 10
2022/1/11, 32, 10, 9
2022/1/12, 34, 12, 8
2022/1/13, 38, 5, 7
2022/1/14, 11, 20, 4
2022/1/15, 11, 35, 7
2022/1/16, 18, 11, 5
2022/1/17, 15, 34, 4
2022/1/18, 15, 45, 12
2022/1/19, 25, 6, 6
2022/1/20, 17, 4, 4
2022/1/21, 6, 4, 6
2022/1/22, 10, 9, 11
2022/1/23, 20, 8, 10
2022/1/24, 24, 6, 10
2022/1/25, 17, 9, 20
2022/1/26, 21, 8, 13
2022/1/27, 20, 5, 11
2022/1/28, 14, 20, 7
2022/1/29, 13, 6, 4
2022/1/30, 8, 2, 2
2022/1/31, 5, 7, 7
2022/2/1, 10, 25, 13
2022/2/2, 25, 25, 13
2022/2/3, 31, 9, 12
2022/2/4, 28, 4, 6
2022/2/5, 12, 6, 10
2022/2/6, 14, 6, 5
2022/2/7, 12, 11, 12
2022/2/8, 11, 4, 12
2022/2/9, 9, 7, 8
2022/2/10, 16, 28, 10
2022/2/11, 22, 72, 14
2022/2/12, 38, 32, 5
2022/2/13, 26, 17, 4
2022/2/14, 27, 13, 9
2022/2/15, 40, 14, 8
2022/2/16, 33, 7, 8
2022/2/17, 19, 3, 7
2022/2/18, 8, 34, 14
2022/2/19, 23, 4, 9
2022/2/20, 11, 5, 8
2022/2/21, 13, 3, 7
2022/2/22, 7, 6, 13
2022/2/23, 19, 6, 14
2022/2/24, 17, 5, 8
2022/2/25, 14, 6, 14
2022/2/26, 14, 58, 11
2022/2/27, 32, 45, 7
2022/2/28, 25, 62, 13
2022/3/1, 31, 70, 11
2022/3/2, 44, 38, 15
2022/3/3, 41, 45, 10
2022/3/4, 20, 56, 19
2022/3/5, 33, 54, 12
2022/3/6, 31, 35, 8
2022/3/7, 24, 44, 17
2022/3/8, 26, 63, 21
