date, pm25, pm10, o3, no2, so2
2022/12/1, 103, 55, , 16, 5
2022/12/2, 106, 54, , 12, 4
2022/12/3, 96, 39, , 6, 8
2022/12/4, 89, 39, , 9, 6
2022/12/5, 94, 43, , 14, 6
2022/12/6, 77, 42, , 19, 4
2022/12/12, 71, 33, , 3, 7
2022/12/13, 72, 32, , 9, 6
2022/12/14, 76, 28, , 19, 6
2022/12/15, 79, 23, , 21, 5
2022/12/16, 75, 20, , 19, 4
2022/12/17, 73, 17, , 15, 4
2022/12/18, 100, 18, , 11, 8
2022/12/19, 80, 19, , 4, 7
2022/12/20, 90, 16, , 13, 9
2022/12/21, 82, 36, 15, 17, 4
2022/12/22, 67, 32, 16, 18, 4
2022/12/23, 86, 44, 17, 17, 4
2022/12/24, 71, 40, 10, 19, 4
2022/12/25, 74, 43, 17, 16, 4
2022/12/26, 69, 57, 15, 8, 5
2022/12/27, 70, 32, 8, 10, 4
2022/12/28, 67, 19, 18, 13, 3
2022/12/29, 71, 111, 18, 11, 9
2022/12/30, 60, 68, 20, 6, 6
2022/12/31, 59, 49, 19, 14, 5
2023/1/1, 63, 49, 18, 11, 5
2023/1/2, 70, 50, 13, 7, 4
2022/7/2, 145, 99, , 14, 3
2022/7/3, 134, 100, , 5, 3
2022/7/4, 132, 99, , 6, 4
2022/7/5, 126, 111, , 7, 4
2022/7/6, 135, 125, , 11, 2
2022/7/7, 135, 127, , 12, 2
2022/7/8, 123, 92, , 5, 2
2022/7/9, 55, 64, , 6, 3
2022/7/10, 66, 69, , 7, 2
2022/7/11, 71, 83, , 4, 2
2022/7/12, 67, 70, , 6, 3
2022/7/13, 68, 70, , 7, 2
2022/7/14, 75, 102, , 10, 2
2022/7/15, 133, 152, , 14, 3
2022/7/16, 160, 184, , 12, 3
2022/7/17, 161, 167, , 11, 3
2022/7/18, 157, 162, , 10, 3
2022/7/19, 137, 154, , 11, 3
2022/7/20, 150, 149, , 12, 2
2022/7/21, 110, 97, , 16, 3
2022/7/22, 86, 86, , 13, 4
2022/7/23, 92, 94, , 12, 3
2022/7/24, 92, 94, , 9, 2
2022/7/25, 103, 101, , 10, 2
2022/7/26, 118, 204, , 10, 3
2022/7/27, 166, 199, , 8, 2
2022/7/28, 101, 104, , 6, 3
2022/7/29, 104, 124, , 6, 2
2022/7/30, 112, 106, , 5, 2
2022/7/31, 119, 125, , 10, 2
2022/8/1, 123, 129, , 9, 2
2022/8/2, 132, 128, , 12, 3
2022/8/3, 124, 114, , 16, 2
2022/8/4, 143, 112, , 10, 3
2022/8/5, 147, 106, , 11, 2
2022/8/6, 152, 130, , 17, 2
2022/8/7, 159, 141, , 21, 2
2022/8/8, 151, 132, , 20, 3
2022/8/9, 147, 116, , 22, 3
2022/8/10, 129, 99, , 17, 2
2022/8/11, 154, 103, , 12, 1
2022/8/12, 150, 100, , 9, 2
2022/8/13, 153, 170, , 10, 1
2022/8/14, 165, 477, , 17, 4
2022/8/15, 330, 999, , 13, 12
2022/8/16, 299, 427, , 18, 4
2022/8/17, 140, 101, , 12, 2
2022/8/18, 143, 110, , 12, 4
2022/8/19, 156, 134, , 11, 7
2022/8/20, 157, 126, , 16, 3
2022/8/21, 121, 91, , 17, 4
2022/8/22, 126, 132, , 28, 6
2022/8/23, 158, 152, , 12, 3
2022/8/24, 124, 109, , 12, 3
2022/8/25, 125, 126, , 22, 4
2022/8/26, 122, 132, , 20, 4
2022/8/27, 109, 156, , 12, 4
2022/8/28, 127, 150, , 14, 6
2022/8/29, 104, 120, , 10, 3
2022/8/30, 114, 141, , 11, 3
2022/8/31, 128, 125, , 10, 3
2022/9/1, 92, 90, , 13, 3
2022/9/2, 95, 82, , 13, 3
2022/9/3, 136, 94, , 9, 2
2022/9/4, 137, , , , 
2022/9/5, 129, 110, , 12, 4
2022/9/6, 99, 94, , 16, 4
2022/9/7, 83, 89, , 14, 3
2022/9/8, 88, 93, , 11, 1
2022/9/9, 103, 88, , 10, 
2022/9/10, 101, 84, , 8, 3
2022/9/11, 111, 80, , 12, 3
