date, pm25, o3
2018/3/11, 45, 28
2018/3/12, 39, 29
2018/3/13, 39, 37
2018/3/14, 30, 34
2018/3/15, 30, 49
2018/3/16, 51, 32
2018/3/17, 42, 16
2018/3/18, 44, 28
2018/3/19, 50, 31
2018/3/20, 60, 29
2018/3/21, 31, 35
2018/3/22, 31, 21
2018/3/23, 53, 31
2018/3/24, 51, 31
2018/3/25, 37, 34
2018/3/26, 33, 28
2018/3/27, 35, 16
2018/3/28, 36, 17
2018/3/29, 62, 19
2018/3/30, 51, 33
2018/3/31, 29, 28
2018/4/1, 36, 29
2017/10/2, 27, 32
2017/10/3, 35, 19
2017/10/4, 41, 21
2017/10/5, 47, 25
2017/10/6, 46, 33
2017/10/7, 52, 25
2017/10/8, 48, 27
2017/10/9, 38, 19
2017/10/10, 47, 10
2017/10/11, 42, 11
2017/10/12, 29, 15
2017/10/13, 46, 26
2017/10/14, 48, 33
2017/10/15, 51, 24
2017/10/16, 40, 24
2017/10/17, 37, 26
2017/10/18, 35, 30
2017/10/19, 34, 38
2017/10/20, 51, 31
2017/10/21, 47, 26
2017/10/22, 42, 19
2017/10/23, 35, 23
2017/10/24, 33, 21
2017/10/25, 28, 21
2017/10/26, 27, 31
2017/10/27, 31, 21
2017/10/28, 35, 19
2017/10/29, 25, 23
2017/10/30, 29, 19
2017/10/31, 26, 17
2017/11/1, 36, 11
2017/11/2, 41, 19
2017/11/3, 39, 12
2017/11/4, 43, 11
2017/11/5, 40, 15
2017/11/6, 51, 8
2017/11/7, 45, 16
2017/11/8, 42, 19
2017/11/9, 43, 23
2017/11/10, 42, 23
2017/11/11, 33, 20
2017/11/12, 33, 21
2017/11/13, 41, 22
2017/11/14, 35, 19
2017/11/15, 45, 15
2017/11/16, 35, 13
2017/11/17, 36, 17
2017/11/18, 52, 18
2017/11/19, 41, 24
2017/11/20, 36, 25
2017/11/21, 34, 20
2017/11/22, 43, 14
2017/11/23, 42, 19
2017/11/24, 40, 24
2017/11/25, 37, 22
2017/11/26, 35, 17
2017/11/27, 47, 25
2017/11/28, 50, 27
2017/11/29, 36, 16
2017/11/30, 36, 5
2017/12/1, 30, 2
2017/12/2, 38, 2
2017/12/3, 48, 2
2017/12/4, 58, 21
2017/12/5, 39, 21
2017/12/6, 44, 19
2017/12/7, 23, 19
2017/12/8, 25, 19
2017/12/9, 27, 16
2017/12/10, 35, 18
2017/12/11, 25, 19
2017/12/12, 31, 20
2017/12/13, 32, 19
2017/12/14, 22, 14
2017/12/15, 38, 16
2017/12/16, 35, 22
2017/12/17, 28, 21
2017/12/18, 37, 13
2017/12/19, 28, 7
2017/12/20, 42, 22
2017/12/21, 31, 12
2017/12/22, 50, 3
2017/12/23, 53, 16
2017/12/24, 51, 19
2017/12/25, 39, 20
2017/12/26, 26, 21
2017/12/27, 26, 19
2017/12/28, 31, 15
2017/12/29, 38, 10
2017/12/30, 51, 20
2017/12/31, 42, 17
2018/1/1, 31, 20
2017/7/2, 3, 49
2017/7/3, 7, 35
2017/7/5, 2, 27
2017/7/6, 88, 42
2017/7/7, 33, 39
2017/7/8, 39, 34
2017/7/9, 40, 31
2017/7/10, 35, 30
2017/7/11, 39, 34
2017/7/12, 34, 27
2017/7/13, 40, 35
2017/7/14, 36, 36
2017/7/15, 16, 38
2017/7/16, 32, 43
2017/7/17, 32, 41
